"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.08,0.112,0.044,0.063,0.066,0.126,0.061,0.11,0.066,0.051,0.122,0.083,0.038,0.02,0.068,0.135,6
"Buena",0.115,0.1,0.133,0.088,0.073,0.205,0.108,0.099,0.099,0.169,0.134,0.174,0.057,0.11,0.051,0.06,6
"Ni buena ni mala",0.287,0.236,0.347,0.22,0.268,0.287,0.416,0.222,0.355,0.299,0.329,0.196,0.242,0.321,0.311,0.44,6
"Mala",0.205,0.185,0.228,0.178,0.199,0.188,0.279,0.156,0.271,0.19,0.15,0.186,0.321,0.271,0.206,0.154,6
"Muy mala",0.258,0.291,0.218,0.362,0.377,0.117,0.048,0.356,0.165,0.224,0.217,0.324,0.133,0.249,0.297,0.196,6
"No sabe",0.055,0.076,0.03,0.089,0.017,0.077,0.088,0.057,0.044,0.067,0.048,0.037,0.209,0.029,0.067,0.015,6
"Positiva",0.195,0.212,0.177,0.151,0.139,0.331,0.169,0.209,0.165,0.22,0.256,0.257,0.095,0.13,0.119,0.195,4
"Neutra",0.287,0.236,0.347,0.22,0.268,0.287,0.416,0.222,0.355,0.299,0.329,0.196,0.242,0.321,0.311,0.44,4
"Negativa",0.463,0.476,0.446,0.54,0.576,0.305,0.327,0.512,0.436,0.414,0.367,0.51,0.454,0.52,0.503,0.35,4
"No sabe",0.055,0.076,0.03,0.089,0.017,0.077,0.088,0.057,0.044,0.067,0.048,0.037,0.209,0.029,0.067,0.015,4
