"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Agua corriente y cloacas",0.519,0.554,0.477,0.63,0.467,0.507,0.579,0.522,0.535,0.491,0.536,0.426,0.759,0.541,0.492,0.57
"Energía eléctrica",0.076,0.069,0.084,0.058,0.077,0.076,0.091,0.076,0.049,0.114,0.075,0.064,0.078,0.044,0.15,0.068
"Red de gas natural",0.113,0.093,0.136,0.117,0.134,0.114,0.044,0.093,0.132,0.119,0.09,0.09,0.092,0.242,0.072,0.109
"Recolección de residuos",0.163,0.155,0.173,0.12,0.172,0.171,0.167,0.149,0.173,0.173,0.206,0.213,0,0.103,0.149,0.184
"Ninguno",0.129,0.129,0.13,0.075,0.15,0.132,0.119,0.16,0.111,0.103,0.093,0.207,0.071,0.07,0.137,0.069
