"var","categoria","A Gustavo Menéndez por el Frente de Todos","A Raúl Othacehé por un partido vecinal","A David Zencich por Juntos por el Cambio","A Pablo Cocuzza por Juntos por el Cambio","Al candidato de Javier Milei por La Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P06","Al candidato del Frente de Todos",0.673,0.229,0.1,0.191,0.063,0.122,0.03,0.234
"P06","Al candidato de Juntos por el Cambio",0.158,0.138,0.698,0.588,0.193,0,0.024,0.031
"P06","Al candidato de la Izquierda",0.038,0.008,0.007,0.02,0.128,0.62,0,0.093
"P06","A otro candidato",0.076,0.224,0.123,0.072,0.511,0.258,0.49,0.107
"P06","No sabe",0.055,0.401,0.072,0.129,0.105,0,0.456,0.535
"P07","A Gustavo Menéndez",0.534,0.679,0.841,0.987,0,0,0,0.463
"P07","A Karina Menéndez",0.308,0.04,0.12,0.013,0.032,0.495,1,0.012
"P07","A Florencia Lizaraso",0.105,0.259,0,0,0,0,0,0
"P07","No sabe",0.053,0.022,0.039,0,0.968,0.505,0,0.525
"P08","A Gustavo Menéndez por el Frente de Todos",0.679,0,0.13,0.022,0,0.036,0,0.008
"P08","A Raúl Othacehé por el Frente de Todos",0.07,0.771,0.046,0.425,0.05,0,0.153,0.009
"P08","A David Zencich por Juntos por el Cambio",0.176,0.04,0.564,0.055,0.017,0.072,0,0
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.027,0.052,0.15,0.424,0.023,0,0.024,0.051
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.042,0.06,0.11,0,0.869,0.09,0,0.149
"P08","Al candidato del Frente de Izquierda",0.001,0.037,0,0.062,0.041,0.708,0,0
"P08","En blanco",0,0,0,0.004,0,0.094,0.586,0.03
"P08","No sabe",0.005,0.04,0,0.008,0,0,0.237,0.753
"P12","Lo votaría",0.738,0.064,0.182,0.03,0.011,0.061,0,0.025
"P12","Puede que lo vote",0.109,0.294,0.112,0.207,0.022,0.219,0.024,0.298
"P12","Nunca lo votaría",0.109,0.425,0.637,0.729,0.902,0.619,0.717,0.315
"P12","No sabe",0.044,0.217,0.069,0.034,0.065,0.101,0.259,0.362
"P13","Lo votaría",0.307,0.633,0.113,0.219,0.094,0,0.196,0.038
"P13","Puede que lo vote",0.14,0.143,0.126,0.216,0.067,0.232,0,0.1
"P13","Nunca lo votaría",0.502,0.173,0.72,0.501,0.801,0.695,0.589,0.375
"P13","No sabe",0.051,0.051,0.041,0.064,0.038,0.073,0.215,0.487
"P14","Lo votaría",0.15,0.256,0.515,0.051,0.061,0,0.028,0.008
"P14","Puede que lo vote",0.065,0.171,0.183,0.651,0.21,0.062,0.103,0.059
"P14","Nunca lo votaría",0.677,0.303,0.266,0.242,0.63,0.81,0.634,0.442
"P14","No sabe",0.108,0.27,0.036,0.056,0.099,0.128,0.235,0.491
"P15","Lo votaría",0.062,0.088,0.289,0.392,0.044,0.008,0,0
"P15","Puede que lo vote",0.138,0.192,0.334,0.518,0.138,0.062,0.032,0.113
"P15","Nunca lo votaría",0.632,0.369,0.244,0.09,0.725,0.795,0.789,0.313
"P15","No sabe",0.168,0.351,0.133,0,0.093,0.135,0.179,0.574
"P16","Lo votaría",0.322,0.119,0.024,0.084,0,0.061,0,0.019
"P16","Puede que lo vote",0.212,0.114,0.132,0.034,0.081,0.219,0.106,0.349
"P16","Nunca lo votaría",0.331,0.657,0.722,0.753,0.879,0.628,0.751,0.294
"P16","No sabe",0.135,0.11,0.122,0.129,0.04,0.092,0.143,0.338
"P17","Lo votaría",0.162,0.095,0.042,0.015,0.028,0.119,0.056,0.015
"P17","Puede que lo vote",0.167,0.087,0.099,0.117,0.099,0.365,0.078,0.102
"P17","Nunca lo votaría",0.473,0.692,0.645,0.397,0.807,0.374,0.692,0.169
"P17","No sabe",0.198,0.126,0.214,0.471,0.066,0.142,0.174,0.714
"P18","Lo votaría",0.065,0.005,0,0.01,0.04,0.172,0,0
"P18","Puede que lo vote",0.19,0.09,0.055,0.204,0.063,0.196,0.112,0.008
"P18","Nunca lo votaría",0.5,0.68,0.693,0.448,0.697,0.449,0.771,0.215
"P18","No sabe",0.245,0.225,0.252,0.338,0.2,0.183,0.117,0.777
"P19","Lo votaría",0.103,0.015,0.079,0.069,0.068,0.169,0.034,0.023
"P19","Puede que lo vote",0.097,0.197,0.124,0.245,0.101,0.22,0.105,0.05
"P19","Nunca lo votaría",0.488,0.681,0.56,0.343,0.632,0.37,0.75,0.195
"P19","No sabe",0.312,0.107,0.237,0.343,0.199,0.241,0.111,0.732
"P20","La seguridad",0.199,0.027,0.057,0.042,0.036,0,0,0.052
"P20","El tránsito",0.005,0.011,0.088,0.015,0.01,0.013,0,0.008
"P20","El arreglo de las calles",0.289,0.108,0.144,0.195,0.151,0.083,0.085,0.021
"P20","El estado de las escuelas y la educación",0.282,0.161,0.262,0.268,0.138,0.289,0.334,0.229
"P20","El sistema de salud",0.025,0.086,0.043,0,0,0.108,0,0.015
"P20","El deporte y la cultura",0.034,0,0.009,0.041,0,0.068,0,0.017
"P20","La obra pública",0.033,0.043,0.086,0.119,0.056,0.323,0.059,0.211
"P20","La luminaria",0.049,0.035,0.029,0.041,0.022,0.011,0,0
"P20","No sabe",0.084,0.529,0.282,0.279,0.587,0.105,0.522,0.447
"P21","La seguridad",0.403,0.247,0.461,0.506,0.4,0.451,0.598,0.449
"P21","El tránsito",0.033,0.05,0,0.006,0.034,0.048,0,0.008
"P21","El arreglo de las calles",0.239,0.089,0.249,0.169,0.294,0.119,0.102,0.079
"P21","El estado de las escuelas y la educación",0.09,0.035,0.069,0.137,0.081,0.058,0,0.108
"P21","El sistema de salud",0.065,0.242,0.111,0.107,0.068,0.078,0.3,0.061
"P21","El deporte y la cultura",0.008,0.005,0.027,0.045,0,0,0,0.073
"P21","La obra pública",0.015,0,0.004,0,0,0.196,0,0.099
"P21","La luminaria",0.047,0.025,0.02,0,0,0,0,0
"P21","No sabe",0.1,0.307,0.059,0.03,0.123,0.05,0,0.123
"P22","Agua corriente y cloacas",0.571,0.46,0.453,0.692,0.455,0.381,0.331,0.697
"P22","Energía eléctrica",0.05,0.061,0.075,0.042,0.165,0.062,0.135,0.04
"P22","Red de gas natural",0.135,0.089,0.153,0.022,0.139,0.09,0.033,0.066
"P22","Recolección de residuos",0.097,0.116,0.252,0.218,0.117,0.328,0.445,0.033
"P22","Ninguno",0.147,0.274,0.067,0.026,0.124,0.139,0.056,0.164
"P23","Los robos",0.664,0.41,0.669,0.501,0.611,0.339,0.569,0.469
"P23","El narcotráfico",0.089,0.121,0.174,0.35,0.105,0.282,0.033,0.073
"P23","La ausencia de patrulleros y personal policial",0.129,0.322,0.095,0.084,0.182,0.164,0.312,0.358
"P23","Otro",0.086,0.114,0.054,0.054,0.014,0.204,0.086,0.037
"P23","Ninguno",0.032,0.033,0.008,0.011,0.088,0.011,0,0.063
"P24","Muy buena",0.309,0.084,0.1,0.033,0.062,0,0.029,0.08
"P24","Buena",0.219,0.107,0.075,0.146,0.07,0.142,0.118,0.074
"P24","Ni buena ni mala",0.261,0.147,0.266,0.284,0.255,0.53,0.142,0.658
"P24","Mala",0.037,0.452,0.263,0.308,0.276,0.259,0.287,0.044
"P24","Muy mala",0.093,0.071,0.247,0.205,0.321,0.041,0.424,0.088
"P24","No sabe",0.081,0.139,0.049,0.024,0.016,0.028,0,0.056
"P25","Muy buena",0.265,0.011,0.057,0.01,0.014,0,0,0.03
"P25","Buena",0.224,0.098,0.031,0.149,0.073,0.125,0.02,0.141
"P25","Ni buena ni mala",0.271,0.186,0.292,0.296,0.144,0.484,0.33,0.578
"P25","Mala",0.052,0.223,0.209,0.333,0.342,0.34,0.223,0.089
"P25","Muy mala",0.109,0.409,0.354,0.205,0.407,0.04,0.427,0.04
"P25","No sabe",0.079,0.073,0.057,0.007,0.02,0.011,0,0.122
"P26","Muy buena",0.357,0.022,0.012,0.01,0.011,0,0,0
"P26","Buena",0.258,0.017,0.033,0.064,0.079,0,0.02,0.066
"P26","Ni buena ni mala",0.255,0.278,0.14,0.205,0.083,0.364,0.058,0.54
"P26","Mala",0.045,0.178,0.301,0.221,0.287,0.333,0.422,0.193
"P26","Muy mala",0.07,0.499,0.51,0.492,0.524,0.292,0.427,0.043
"P26","No sabe",0.015,0.006,0.004,0.008,0.016,0.011,0.073,0.158
"P27","Muy buena",0.077,0.029,0.241,0.077,0.004,0,0,0.034
"P27","Buena",0.113,0.069,0.191,0.154,0.051,0,0,0
"P27","Ni buena ni mala",0.36,0.399,0.198,0.225,0.326,0.504,0.399,0.175
"P27","Mala",0.113,0.106,0.114,0.183,0.219,0.067,0.23,0.122
"P27","Muy mala",0.122,0.092,0.207,0.296,0.228,0.274,0.284,0.064
"P27","No sabe",0.215,0.305,0.049,0.065,0.172,0.155,0.087,0.605
"P28","Muy buena",0.222,0.041,0.018,0.014,0.008,0,0,0.028
"P28","Buena",0.275,0.101,0.116,0.011,0.012,0.012,0.027,0.04
"P28","Ni buena ni mala",0.289,0.194,0.193,0.315,0.201,0.572,0.468,0.398
"P28","Mala",0.073,0.303,0.219,0.146,0.331,0.139,0.211,0.188
"P28","Muy mala",0.067,0.281,0.391,0.5,0.345,0.21,0.163,0.07
"P28","No sabe",0.074,0.08,0.063,0.014,0.103,0.067,0.131,0.276
"P29","Muy buena",0.025,0.011,0.071,0.178,0.01,0.011,0,0
"P29","Buena",0.116,0.054,0.175,0.272,0.017,0,0.042,0.012
"P29","Ni buena ni mala",0.432,0.515,0.426,0.193,0.432,0.455,0.368,0.283
"P29","Mala",0.107,0.075,0.082,0.051,0.234,0.205,0.224,0.287
"P29","Muy mala",0.137,0.26,0.135,0.136,0.231,0.262,0.277,0.052
"P29","No sabe",0.183,0.085,0.111,0.17,0.076,0.067,0.089,0.366
"P30","Muy buena",0.027,0.273,0.119,0.024,0.022,0.04,0.042,0
"P30","Buena",0.015,0.209,0.039,0.227,0.091,0.042,0.039,0.064
"P30","Ni buena ni mala",0.379,0.278,0.271,0.28,0.137,0.42,0.159,0.181
"P30","Mala",0.224,0.05,0.245,0.265,0.301,0.155,0.212,0.242
"P30","Muy mala",0.282,0.175,0.281,0.204,0.403,0.343,0.459,0.123
"P30","No sabe",0.073,0.015,0.045,0,0.046,0,0.089,0.39
"P31","Muy buena",0.029,0.071,0.132,0.084,0.025,0.04,0.044,0
"P31","Buena",0.071,0.144,0.069,0.027,0.076,0.026,0.04,0.056
"P31","Ni buena ni mala",0.264,0.458,0.43,0.32,0.264,0.638,0.578,0.242
"P31","Mala",0.104,0.075,0.064,0.222,0.204,0.115,0.114,0.1
"P31","Muy mala",0.255,0.187,0.159,0.122,0.193,0.075,0.132,0.027
"P31","No sabe",0.277,0.065,0.146,0.225,0.238,0.106,0.092,0.575
"P32","Muy buena",0.018,0.005,0.01,0.008,0,0.036,0.045,0
"P32","Buena",0.053,0.017,0.055,0.053,0.032,0,0,0.056
"P32","Ni buena ni mala",0.318,0.527,0.446,0.422,0.38,0.553,0.669,0.211
"P32","Mala",0.106,0.133,0.041,0.113,0.204,0.253,0.072,0.026
"P32","Muy mala",0.09,0.11,0.096,0.153,0.099,0.035,0.131,0.027
"P32","No sabe",0.415,0.208,0.352,0.251,0.285,0.123,0.083,0.68
"P33","Muy buena",0.018,0,0,0.017,0,0,0,0
"P33","Buena",0.03,0.011,0.003,0.077,0.053,0,0,0.013
"P33","Ni buena ni mala",0.436,0.523,0.482,0.375,0.367,0.539,0.668,0.322
"P33","Mala",0.058,0.155,0.055,0.114,0.224,0.228,0.072,0.036
"P33","Muy mala",0.09,0.11,0.111,0.144,0.098,0.11,0.131,0.039
"P33","No sabe",0.368,0.201,0.349,0.273,0.258,0.123,0.129,0.59
"P34","Muy buena",0.173,0.04,0.003,0.061,0,0.056,0,0
"P34","Buena",0.197,0.166,0.011,0,0.065,0.157,0.029,0.038
"P34","Ni buena ni mala",0.264,0.368,0.117,0.269,0.032,0.411,0.363,0.404
"P34","Mala",0.136,0.193,0.223,0.147,0.306,0.083,0.233,0.069
"P34","Muy mala",0.144,0.144,0.616,0.489,0.495,0.293,0.29,0.173
"P34","No sabe",0.086,0.089,0.03,0.034,0.102,0,0.085,0.316
"P35","Muy buena",0.043,0.055,0.183,0.109,0.042,0,0,0
"P35","Buena",0.034,0.107,0.37,0.181,0.23,0.065,0,0.039
"P35","Ni buena ni mala",0.071,0.225,0.133,0.184,0.27,0.218,0.253,0.149
"P35","Mala",0.164,0.078,0.093,0.196,0.255,0.194,0.131,0.406
"P35","Muy mala",0.653,0.518,0.221,0.33,0.165,0.523,0.531,0.31
"P35","No sabe",0.035,0.017,0,0,0.038,0,0.085,0.096
"P36","Muy buena",0.46,0.165,0.043,0.197,0.087,0.517,0.121,0.22
"P36","Buena",0.125,0.052,0.018,0.054,0.036,0.088,0.132,0.111
"P36","Ni buena ni mala",0.059,0.054,0.036,0.029,0.108,0.231,0.205,0.138
"P36","Mala",0.044,0.181,0.227,0.186,0.157,0.025,0.17,0.238
"P36","Muy mala",0.312,0.548,0.672,0.534,0.595,0.139,0.287,0.201
"P36","No sabe",0,0,0.004,0,0.017,0,0.085,0.092
