"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654"
"Patricia Bullrich","Positiva",0.32,0.296,0.349,0.416,0.248,0.294,0.464,0.329,0.306,0.326,0.222,0.143,0.484,0.428
"Patricia Bullrich","Neutra",0.151,0.136,0.168,0.149,0.195,0.132,0.073,0.087,0.244,0.124,0.163,0.212,0.068,0.071
"Patricia Bullrich","Negativa",0.504,0.539,0.462,0.435,0.53,0.556,0.409,0.582,0.386,0.541,0.518,0.637,0.442,0.47
"Patricia Bullrich","No sabe",0.025,0.029,0.021,0,0.027,0.018,0.054,0.002,0.064,0.009,0.097,0.008,0.006,0.031
"David Zencich","Positiva",0.193,0.181,0.206,0.217,0.163,0.147,0.319,0.149,0.24,0.196,0.235,0.104,0.167,0.189
"David Zencich","Neutra",0.302,0.306,0.298,0.128,0.361,0.326,0.252,0.261,0.339,0.319,0.309,0.306,0.323,0.229
"David Zencich","Negativa",0.318,0.282,0.359,0.441,0.329,0.293,0.24,0.339,0.275,0.344,0.368,0.289,0.28,0.406
"David Zencich","No sabe",0.187,0.231,0.137,0.214,0.147,0.234,0.189,0.251,0.146,0.141,0.088,0.301,0.23,0.176
"Pablo Cocuzza","Positiva",0.151,0.139,0.167,0.146,0.148,0.114,0.223,0.123,0.17,0.171,0.186,0.111,0.085,0.094
"Pablo Cocuzza","Neutra",0.405,0.426,0.379,0.274,0.473,0.378,0.377,0.372,0.468,0.374,0.357,0.433,0.45,0.356
"Pablo Cocuzza","Negativa",0.303,0.319,0.284,0.49,0.311,0.252,0.22,0.331,0.203,0.39,0.367,0.311,0.224,0.358
"Pablo Cocuzza","No sabe",0.141,0.116,0.17,0.09,0.068,0.256,0.18,0.174,0.159,0.065,0.09,0.145,0.241,0.192
"Javier Milei","Positiva",0.252,0.302,0.192,0.327,0.302,0.179,0.181,0.261,0.255,0.232,0.128,0.209,0.38,0.374
"Javier Milei","Neutra",0.21,0.164,0.266,0.194,0.206,0.197,0.257,0.191,0.233,0.211,0.235,0.146,0.156,0.15
"Javier Milei","Negativa",0.506,0.503,0.508,0.479,0.465,0.555,0.552,0.521,0.464,0.54,0.585,0.609,0.406,0.444
"Javier Milei","No sabe",0.032,0.031,0.034,0,0.027,0.069,0.01,0.027,0.048,0.017,0.052,0.036,0.058,0.032
"Horacio Rodríguez Larreta","Positiva",0.242,0.254,0.227,0.411,0.185,0.225,0.268,0.216,0.29,0.215,0.305,0.148,0.304,0.281
"Horacio Rodríguez Larreta","Neutra",0.255,0.225,0.29,0.153,0.275,0.24,0.314,0.289,0.264,0.189,0.172,0.288,0.343,0.232
"Horacio Rodríguez Larreta","Negativa",0.486,0.507,0.461,0.436,0.513,0.522,0.402,0.493,0.409,0.581,0.493,0.545,0.353,0.473
