clave	texto
encuesta_especial	Posicionamiento político y preferencias electorales Entre Ríos - Agosto 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	03/08/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Provincia de Entre Ríos
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Tamaño muestral
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 02/08/2023 al 03/08/2023 abarcando 1713 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo, más seis estratos geográficos: 1 Paraná y Diamante, 2 Concordia, San Salvador y Federación, 3- Gualeguaychú e Ibicuy, 4- Concepcion del Uruguay y Colon, 5- Villaguay, Federal, Feliciano y La Paz, 6- Victoria, Gualeguay, Nogoya y Tala
ficha_Margen de error	+/- 2.37 %
