"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"A Malena Galmarini",0.36,0.487,0.224,0.414,0.372,0.257,0.394,0.471,0.236,0.43,0.331,0.211,0.467
"A Julio Zamora",0.493,0.374,0.619,0.551,0.427,0.53,0.532,0.434,0.594,0.402,0.491,0.606,0.443
"No sabe",0.147,0.139,0.157,0.035,0.201,0.213,0.074,0.095,0.17,0.168,0.178,0.183,0.09
