"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"Al candidato del Frente de Todos",0.359,0.403,0.318,0.312,0.41,0.364,0.275,0.379,0.362,0.331,0.354,0.276,0.397
"Al candidato de Juntos por el Cambio",0.317,0.258,0.373,0.258,0.275,0.41,0.405,0.275,0.317,0.369,0.331,0.35,0.288
"Al candidato de los liberales - libertarios",0.133,0.197,0.071,0.197,0.103,0.102,0.167,0.168,0.102,0.142,0.13,0.117,0.142
"Al candidato de la Izquierda",0.04,0.025,0.054,0.064,0.045,0.014,0.022,0.044,0.022,0.065,0.04,0.004,0.053
"A otro candidato",0.066,0.045,0.086,0.077,0.075,0.046,0.045,0.079,0.065,0.05,0.067,0.1,0.052
"No sabe",0.085,0.072,0.098,0.092,0.092,0.064,0.086,0.055,0.132,0.043,0.078,0.153,0.068
