"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P06","Al candidato del Frente de Todos",0.361,0.329,0.425,0.49,0.596,0.309,0.654,0.125,0.191
"P06","Al candidato de Juntos por el Cambio",0.358,0.311,0.313,0.211,0.188,0.257,0.218,0.496,0.393
"P06","Al candidato de los liberales - libertarios",0.143,0.194,0.076,0.047,0.079,0.127,0.035,0.098,0.239
"P06","Al candidato de la Izquierda",0.02,0.055,0.057,0.026,0.082,0.078,0.02,0.062,0.039
"P06","A otro candidato",0.06,0.046,0.025,0.101,0.015,0.087,0.073,0.1,0.058
"P06","No sabe",0.058,0.065,0.104,0.125,0.04,0.142,0,0.119,0.08
"P07","A Malena Galmarini",0.288,0.253,0.407,0.545,0.389,0.434,0.321,0.24,0.337
"P07","A Julio Zamora",0.61,0.659,0.562,0.333,0.463,0.309,0.554,0.585,0.144
"P07","No sabe",0.102,0.088,0.031,0.122,0.148,0.257,0.125,0.175,0.519
"P08","Muy buena",0.214,0.073,0.206,0.163,0.224,0.081,0.199,0.06,0.089
"P08","Buena",0.126,0.253,0.103,0.051,0.154,0.171,0.251,0.162,0.08
"P08","Ni buena ni mala",0.167,0.223,0.423,0.237,0.217,0.212,0.29,0.125,0.207
"P08","Mala",0.17,0.16,0.099,0.211,0.125,0.116,0.033,0.21,0.199
"P08","Muy mala",0.276,0.197,0.145,0.185,0.188,0.209,0.21,0.412,0.358
"P08","No sabe",0.047,0.094,0.024,0.153,0.092,0.211,0.017,0.031,0.067
"P09","Muy buena",0.24,0.208,0.351,0.168,0.271,0.093,0.297,0.017,0.053
"P09","Buena",0.242,0.313,0.272,0.141,0.253,0.137,0.37,0.174,0.073
"P09","Ni buena ni mala",0.222,0.18,0.199,0.304,0.224,0.265,0.116,0.194,0.268
"P09","Mala",0.129,0.146,0.099,0.345,0.083,0.195,0.052,0.327,0.239
"P09","Muy mala",0.143,0.128,0.076,0.027,0.153,0.247,0.125,0.256,0.311
"P09","No sabe",0.024,0.025,0.003,0.015,0.016,0.063,0.04,0.032,0.056
"P10","Muy buena",0.159,0.036,0.126,0.18,0.052,0.218,0.009,0.223,0.142
"P10","Buena",0.251,0.367,0.188,0.128,0.099,0.113,0.23,0.205,0.141
"P10","Ni buena ni mala",0.283,0.22,0.41,0.254,0.329,0.188,0.198,0.235,0.401
"P10","Mala",0.137,0.195,0.102,0.247,0.153,0.136,0.282,0.091,0.102
"P10","Muy mala",0.111,0.112,0.139,0.085,0.296,0.214,0.237,0.122,0.138
"P10","No sabe",0.059,0.07,0.035,0.106,0.071,0.131,0.044,0.124,0.076
"P11","Muy buena",0.064,0,0.106,0.114,0.036,0.056,0,0,0.02
"P11","Buena",0.078,0.149,0.075,0.027,0.022,0.059,0.083,0.041,0.038
"P11","Ni buena ni mala",0.34,0.361,0.383,0.278,0.443,0.224,0.32,0.329,0.399
"P11","Mala",0.072,0.167,0.142,0.113,0.048,0.07,0.069,0.148,0.095
"P11","Muy mala",0.124,0.047,0.029,0.1,0.092,0.027,0.096,0.051,0.143
"P11","No sabe",0.322,0.276,0.265,0.368,0.359,0.564,0.432,0.431,0.305
"P12","Muy buena",0.077,0.035,0.108,0.019,0.02,0.021,0.064,0.055,0.082
"P12","Buena",0.126,0.191,0.176,0.076,0.075,0.065,0.026,0.091,0.092
