"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"Juan Laborde Rodríguez","Positiva",0.113,0.116,0.109,0.119,0.128,0.096,0.08,0.177,0.084,0.081,0.126,0.089,0.106
"Juan Laborde Rodríguez","Neutra",0.347,0.323,0.371,0.322,0.34,0.392,0.335,0.322,0.368,0.344,0.316,0.388,0.367
"Juan Laborde Rodríguez","Negativa",0.184,0.227,0.143,0.218,0.19,0.124,0.213,0.19,0.198,0.156,0.213,0.11,0.18
"Juan Laborde Rodríguez","No sabe",0.356,0.334,0.377,0.341,0.342,0.388,0.372,0.311,0.35,0.419,0.345,0.413,0.347
"Nicolás Massot","Positiva",0.165,0.185,0.145,0.145,0.151,0.173,0.232,0.195,0.141,0.169,0.205,0.159,0.122
"Nicolás Massot","Neutra",0.357,0.324,0.389,0.365,0.353,0.394,0.293,0.359,0.369,0.334,0.315,0.435,0.375
"Nicolás Massot","Negativa",0.235,0.268,0.203,0.163,0.261,0.232,0.273,0.249,0.229,0.226,0.268,0.156,0.227
"Nicolás Massot","No sabe",0.243,0.223,0.263,0.327,0.235,0.201,0.202,0.197,0.261,0.271,0.212,0.25,0.276
"Segundo Cernadas","Positiva",0.342,0.312,0.37,0.268,0.316,0.39,0.469,0.369,0.313,0.355,0.306,0.427,0.348
"Segundo Cernadas","Neutra",0.291,0.261,0.32,0.33,0.284,0.296,0.241,0.296,0.31,0.255,0.288,0.367,0.268
"Segundo Cernadas","Negativa",0.286,0.34,0.235,0.293,0.336,0.234,0.199,0.256,0.289,0.318,0.326,0.185,0.28
"Segundo Cernadas","No sabe",0.081,0.087,0.075,0.109,0.064,0.08,0.091,0.079,0.088,0.072,0.08,0.021,0.104
"Julio Zamora","Positiva",0.385,0.373,0.397,0.298,0.424,0.37,0.431,0.387,0.406,0.348,0.371,0.416,0.389
"Julio Zamora","Neutra",0.242,0.231,0.252,0.285,0.233,0.212,0.246,0.258,0.231,0.24,0.239,0.234,0.248
"Julio Zamora","Negativa",0.341,0.36,0.323,0.383,0.314,0.393,0.275,0.326,0.323,0.39,0.359,0.308,0.334
"Julio Zamora","No sabe",0.032,0.036,0.028,0.034,0.029,0.025,0.048,0.029,0.04,0.022,0.031,0.042,0.029
"Horacio Rodriguez Larreta","Positiva",0.382,0.352,0.41,0.361,0.317,0.484,0.447,0.382,0.363,0.411,0.384,0.356,0.388
"Horacio Rodriguez Larreta","Neutra",0.209,0.21,0.208,0.153,0.255,0.174,0.209,0.189,0.257,0.155,0.162,0.302,0.228
"Horacio Rodriguez Larreta","Negativa",0.386,0.419,0.355,0.486,0.397,0.318,0.308,0.391,0.358,0.426,0.431,0.329,0.356
"Horacio Rodriguez Larreta","No sabe",0.023,0.019,0.027,0,0.031,0.024,0.036,0.038,0.022,0.008,0.023,0.013,0.028
"Malena Galmarini","Positiva",0.287,0.275,0.299,0.291,0.282,0.301,0.272,0.323,0.258,0.29,0.288,0.235,0.305
"Malena Galmarini","Neutra",0.222,0.217,0.227,0.182,0.245,0.191,0.272,0.266,0.244,0.132,0.19,0.265,0.242
"Malena Galmarini","Negativa",0.406,0.435,0.378,0.369,0.395,0.455,0.421,0.339,0.381,0.53,0.454,0.333,0.381
"Malena Galmarini","No sabe",0.085,0.073,0.096,0.158,0.078,0.053,0.035,0.072,0.117,0.048,0.068,0.167,0.072
"Javier Milei","Positiva",0.288,0.343,0.235,0.364,0.282,0.253,0.245,0.273,0.321,0.252,0.315,0.238,0.275
"Javier Milei","Neutra",0.249,0.205,0.29,0.263,0.234,0.261,0.25,0.269,0.243,0.234,0.217,0.403,0.23
"Javier Milei","Negativa",0.43,0.429,0.431,0.36,0.446,0.441,0.473,0.421,0.397,0.494,0.452,0.342,0.437
"Javier Milei","No sabe",0.033,0.023,0.044,0.013,0.038,0.045,0.032,0.037,0.039,0.02,0.016,0.017,0.058
"Patricia Bullrich","Positiva",0.388,0.38,0.396,0.337,0.348,0.454,0.492,0.359,0.389,0.424,0.39,0.361,0.397
"Patricia Bullrich","Neutra",0.161,0.183,0.14,0.222,0.164,0.131,0.101,0.185,0.173,0.113,0.146,0.185,0.169
"Patricia Bullrich","Negativa",0.433,0.431,0.434,0.422,0.468,0.398,0.394,0.434,0.424,0.443,0.443,0.449,0.414
"Patricia Bullrich","No sabe",0.018,0.006,0.03,0.019,0.02,0.017,0.013,0.022,0.014,0.02,0.021,0.005,0.02
"Alberto Fernandez","Positiva",0.278,0.249,0.305,0.16,0.315,0.283,0.338,0.344,0.258,0.229,0.261,0.289,0.291
"Alberto Fernandez","Neutra",0.195,0.204,0.187,0.25,0.209,0.171,0.101,0.205,0.196,0.183,0.216,0.187,0.175
