"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"Segundo Cernadas","Muy buena",0.157,0.135,0.178,0.172,0.129,0.191,0.167,0.155,0.164,0.149,0.146,0.21,0.15
"Segundo Cernadas","Buena",0.185,0.177,0.192,0.096,0.187,0.199,0.302,0.214,0.149,0.206,0.16,0.217,0.198
"Segundo Cernadas","Ni buena ni mala",0.291,0.261,0.32,0.33,0.284,0.296,0.241,0.296,0.31,0.255,0.288,0.367,0.268
"Segundo Cernadas","Mala",0.135,0.172,0.1,0.137,0.143,0.138,0.099,0.116,0.146,0.141,0.153,0.08,0.136
"Segundo Cernadas","Muy mala",0.151,0.168,0.135,0.156,0.193,0.096,0.1,0.14,0.143,0.177,0.173,0.105,0.144
"Segundo Cernadas","No sabe",0.081,0.087,0.075,0.109,0.064,0.08,0.091,0.079,0.088,0.072,0.08,0.021,0.104
"Julio Zamora","Muy buena",0.192,0.188,0.197,0.187,0.195,0.172,0.227,0.242,0.193,0.131,0.201,0.208,0.177
"Julio Zamora","Buena",0.193,0.185,0.2,0.111,0.229,0.198,0.204,0.145,0.213,0.217,0.17,0.208,0.212
"Julio Zamora","Ni buena ni mala",0.242,0.231,0.252,0.285,0.233,0.212,0.246,0.258,0.231,0.24,0.239,0.234,0.248
"Julio Zamora","Mala",0.17,0.162,0.178,0.195,0.147,0.197,0.159,0.135,0.187,0.185,0.183,0.162,0.159
"Julio Zamora","Muy mala",0.171,0.198,0.145,0.188,0.167,0.196,0.116,0.191,0.136,0.205,0.176,0.146,0.175
"Julio Zamora","No sabe",0.032,0.036,0.028,0.034,0.029,0.025,0.048,0.029,0.04,0.022,0.031,0.042,0.029
"Horacio Rodriguez Larreta","Muy buena",0.172,0.162,0.182,0.13,0.154,0.196,0.258,0.212,0.166,0.134,0.171,0.178,0.17
"Horacio Rodriguez Larreta","Buena",0.21,0.19,0.228,0.231,0.163,0.288,0.189,0.17,0.197,0.277,0.213,0.178,0.218
"Horacio Rodriguez Larreta","Ni buena ni mala",0.209,0.21,0.208,0.153,0.255,0.174,0.209,0.189,0.257,0.155,0.162,0.302,0.228
"Horacio Rodriguez Larreta","Mala",0.126,0.162,0.092,0.195,0.112,0.106,0.097,0.133,0.129,0.116,0.16,0.046,0.117
"Horacio Rodriguez Larreta","Muy mala",0.26,0.257,0.263,0.291,0.285,0.212,0.211,0.258,0.229,0.31,0.271,0.283,0.239
"Horacio Rodriguez Larreta","No sabe",0.023,0.019,0.027,0,0.031,0.024,0.036,0.038,0.022,0.008,0.023,0.013,0.028
"Patricia Bullrich","Muy buena",0.226,0.206,0.245,0.194,0.174,0.279,0.357,0.18,0.234,0.269,0.252,0.189,0.21
"Patricia Bullrich","Buena",0.162,0.174,0.151,0.143,0.174,0.175,0.135,0.179,0.155,0.155,0.138,0.172,0.187
"Patricia Bullrich","Ni buena ni mala",0.161,0.183,0.14,0.222,0.164,0.131,0.101,0.185,0.173,0.113,0.146,0.185,0.169
"Patricia Bullrich","Mala",0.11,0.095,0.123,0.164,0.105,0.084,0.075,0.121,0.112,0.091,0.116,0.097,0.106
"Patricia Bullrich","Muy mala",0.323,0.336,0.311,0.258,0.363,0.314,0.319,0.313,0.312,0.352,0.327,0.352,0.308
"Patricia Bullrich","No sabe",0.018,0.006,0.03,0.019,0.02,0.017,0.013,0.022,0.014,0.02,0.021,0.005,0.02
"Malena Galmarini","Muy buena",0.147,0.14,0.155,0.192,0.123,0.117,0.202,0.201,0.126,0.117,0.16,0.092,0.155
"Malena Galmarini","Buena",0.14,0.135,0.144,0.099,0.159,0.184,0.07,0.122,0.132,0.173,0.128,0.143,0.15
"Malena Galmarini","Ni buena ni mala",0.222,0.217,0.227,0.182,0.245,0.191,0.272,0.266,0.244,0.132,0.19,0.265,0.242
"Malena Galmarini","Mala",0.149,0.164,0.135,0.098,0.151,0.17,0.196,0.116,0.161,0.171,0.163,0.062,0.167
"Malena Galmarini","Muy mala",0.257,0.271,0.243,0.271,0.244,0.285,0.225,0.223,0.22,0.359,0.291,0.271,0.214
"Malena Galmarini","No sabe",0.085,0.073,0.096,0.158,0.078,0.053,0.035,0.072,0.117,0.048,0.068,0.167,0.072
"Nicolás Massot","Muy buena",0.06,0.059,0.06,0.056,0.054,0.058,0.088,0.087,0.034,0.07,0.064,0.064,0.053
"Nicolás Massot","Buena",0.105,0.126,0.085,0.089,0.097,0.115,0.144,0.108,0.107,0.099,0.141,0.095,0.069
"Nicolás Massot","Ni buena ni mala",0.357,0.324,0.389,0.365,0.353,0.394,0.293,0.359,0.369,0.334,0.315,0.435,0.375
"Nicolás Massot","Mala",0.103,0.12,0.087,0.049,0.111,0.151,0.084,0.082,0.118,0.103,0.12,0.051,0.103
"Nicolás Massot","Muy mala",0.132,0.148,0.116,0.114,0.15,0.081,0.189,0.167,0.111,0.123,0.148,0.105,0.124
"Nicolás Massot","No sabe",0.243,0.223,0.263,0.327,0.235,0.201,0.202,0.197,0.261,0.271,0.212,0.25,0.276
"Javier Milei","Muy buena",0.161,0.183,0.14,0.194,0.167,0.133,0.138,0.163,0.189,0.114,0.189,0.155,0.131
"Javier Milei","Buena",0.127,0.16,0.095,0.17,0.115,0.12,0.107,0.11,0.132,0.138,0.126,0.083,0.144
"Javier Milei","Ni buena ni mala",0.249,0.205,0.29,0.263,0.234,0.261,0.25,0.269,0.243,0.234,0.217,0.403,0.23
"Javier Milei","Mala",0.121,0.131,0.113,0.125,0.116,0.116,0.142,0.097,0.12,0.153,0.155,0.074,0.101
"Javier Milei","Muy mala",0.309,0.298,0.318,0.235,0.33,0.325,0.331,0.324,0.277,0.341,0.297,0.268,0.336
"Javier Milei","No sabe",0.033,0.023,0.044,0.013,0.038,0.045,0.032,0.037,0.039,0.02,0.016,0.017,0.058
"Juan Laborde Rodríguez","Muy buena",0.054,0.063,0.045,0.091,0.056,0.028,0.031,0.087,0.038,0.041,0.057,0.022,0.063
"Juan Laborde Rodríguez","Buena",0.059,0.053,0.064,0.028,0.072,0.068,0.049,0.09,0.046,0.04,0.069,0.067,0.043
"Juan Laborde Rodríguez","Ni buena ni mala",0.347,0.323,0.371,0.322,0.34,0.392,0.335,0.322,0.368,0.344,0.316,0.388,0.367
"Juan Laborde Rodríguez","Mala",0.097,0.115,0.079,0.142,0.091,0.072,0.081,0.053,0.141,0.079,0.101,0.059,0.106
"Juan Laborde Rodríguez","Muy mala",0.087,0.112,0.064,0.076,0.099,0.052,0.132,0.137,0.057,0.077,0.112,0.051,0.074
"Juan Laborde Rodríguez","No sabe",0.356,0.334,0.377,0.341,0.342,0.388,0.372,0.311,0.35,0.419,0.345,0.413,0.347
"Sergio Massa","Muy buena",0.13,0.141,0.12,0.054,0.157,0.149,0.133,0.19,0.12,0.075,0.12,0.126,0.143
"Sergio Massa","Buena",0.169,0.159,0.179,0.184,0.174,0.135,0.188,0.132,0.193,0.174,0.166,0.234,0.149
"Sergio Massa","Ni buena ni mala",0.181,0.186,0.175,0.241,0.196,0.123,0.128,0.228,0.167,0.145,0.156,0.165,0.214
"Sergio Massa","Mala",0.143,0.126,0.159,0.204,0.124,0.121,0.14,0.125,0.143,0.163,0.13,0.114,0.168
"Sergio Massa","Muy mala",0.37,0.379,0.361,0.317,0.346,0.45,0.401,0.31,0.371,0.441,0.42,0.353,0.32
"Sergio Massa","No sabe",0.007,0.009,0.006,0,0.003,0.022,0.01,0.015,0.006,0.002,0.008,0.008,0.006
"Alberto Fernandez","Muy buena",0.138,0.141,0.135,0.091,0.133,0.156,0.2,0.208,0.128,0.07,0.162,0.111,0.119
"Alberto Fernandez","Buena",0.14,0.108,0.17,0.069,0.182,0.127,0.138,0.136,0.13,0.159,0.099,0.178,0.172
"Alberto Fernandez","Ni buena ni mala",0.195,0.204,0.187,0.25,0.209,0.171,0.101,0.205,0.196,0.183,0.216,0.187,0.175
"Alberto Fernandez","Mala",0.136,0.113,0.158,0.163,0.129,0.116,0.149,0.141,0.148,0.111,0.11,0.116,0.172
"Alberto Fernandez","Muy mala",0.377,0.428,0.329,0.412,0.33,0.42,0.403,0.307,0.378,0.46,0.392,0.402,0.352
"Alberto Fernandez","No sabe",0.014,0.006,0.021,0.015,0.017,0.01,0.009,0.003,0.02,0.017,0.021,0.006,0.01
"CFK","Muy buena",0.218,0.2,0.235,0.127,0.259,0.219,0.233,0.223,0.216,0.215,0.211,0.123,0.26
"CFK","Buena",0.093,0.11,0.076,0.048,0.117,0.11,0.06,0.101,0.09,0.088,0.1,0.076,0.091
"CFK","Ni buena ni mala",0.104,0.079,0.128,0.134,0.123,0.047,0.095,0.133,0.111,0.059,0.125,0.127,0.073
"CFK","Mala",0.107,0.121,0.093,0.196,0.075,0.085,0.101,0.126,0.121,0.062,0.094,0.083,0.129
"CFK","Muy mala",0.467,0.483,0.452,0.472,0.422,0.525,0.501,0.409,0.444,0.571,0.465,0.548,0.44
"CFK","No sabe",0.011,0.007,0.016,0.023,0.004,0.014,0.01,0.008,0.018,0.005,0.005,0.043,0.007
"Mauricio Macri","Muy buena",0.127,0.121,0.134,0.063,0.111,0.201,0.16,0.133,0.123,0.129,0.155,0.108,0.104
"Mauricio Macri","Buena",0.151,0.143,0.158,0.213,0.1,0.154,0.207,0.157,0.122,0.189,0.149,0.11,0.167
"Mauricio Macri","Ni buena ni mala",0.169,0.159,0.178,0.146,0.18,0.183,0.15,0.148,0.193,0.156,0.177,0.166,0.161
"Mauricio Macri","Mala",0.21,0.202,0.218,0.257,0.225,0.164,0.164,0.226,0.23,0.158,0.179,0.242,0.234
"Mauricio Macri","Muy mala",0.337,0.372,0.304,0.321,0.382,0.285,0.308,0.328,0.329,0.36,0.336,0.36,0.329
"Mauricio Macri","No sabe",0.006,0.003,0.008,0,0.002,0.013,0.011,0.008,0.003,0.008,0.004,0.014,0.005
