"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P06","Al candidato del Frente de Todos",0.369,0.273,0.437,0.353,0.444
"P06","Al candidato de Juntos por el Cambio",0.323,0.44,0.266,0.261,0.2
"P06","Al candidato de los liberales - libertarios",0.13,0.142,0.098,0.16,0.159
"P06","Al candidato de la Izquierda",0.037,0.023,0.061,0.077,0.048
"P06","A otro candidato",0.046,0.059,0.063,0.034,0.088
"P06","No sabe",0.095,0.063,0.075,0.115,0.061
"P07","A Malena Galmarini",0.337,0.248,0.52,0.341,0.347
"P07","A Julio Zamora",0.449,0.546,0.444,0.449,0.581
"P07","No sabe",0.214,0.206,0.036,0.21,0.072
"P08","Muy buena",0.158,0.134,0.174,0.128,0.249
"P08","Buena",0.139,0.097,0.145,0.183,0.137
"P08","Ni buena ni mala",0.245,0.169,0.211,0.279,0.178
"P08","Mala",0.113,0.191,0.158,0.173,0.107
"P08","Muy mala",0.24,0.343,0.256,0.168,0.226
"P08","No sabe",0.105,0.066,0.056,0.069,0.103
"P09","Muy buena",0.175,0.153,0.138,0.226,0.384
"P09","Buena",0.184,0.183,0.27,0.2,0.165
"P09","Ni buena ni mala",0.267,0.216,0.204,0.25,0.137
"P09","Mala",0.148,0.224,0.173,0.154,0.143
"P09","Muy mala",0.177,0.197,0.201,0.148,0.164
"P09","No sabe",0.049,0.027,0.014,0.022,0.007
"P10","Muy buena",0.139,0.234,0.081,0.117,0.092
"P10","Buena",0.24,0.208,0.189,0.1,0.076
"P10","Ni buena ni mala",0.303,0.277,0.299,0.336,0.244
"P10","Mala",0.12,0.086,0.189,0.202,0.155
"P10","Muy mala",0.12,0.146,0.194,0.118,0.286
"P10","No sabe",0.078,0.049,0.048,0.127,0.147
"P11","Muy buena",0.071,0.016,0.044,0.037,0.131
"P11","Buena",0.06,0.1,0.04,0.025,0.022
"P11","Ni buena ni mala",0.356,0.321,0.405,0.349,0.221
"P11","Mala",0.097,0.116,0.086,0.075,0.109
"P11","Muy mala",0.059,0.094,0.064,0.098,0.127
"P11","No sabe",0.357,0.353,0.361,0.416,0.39
"P12","Muy buena",0.056,0.066,0.053,0.066,0.047
"P12","Buena",0.081,0.188,0.055,0.107,0.073
"P12","Ni buena ni mala",0.388,0.321,0.406,0.337,0.233
"P12","Mala",0.104,0.087,0.1,0.106,0.12
"P12","Muy mala",0.123,0.137,0.094,0.131,0.242
"P12","No sabe",0.248,0.201,0.292,0.253,0.285
"P13","La seguridad",0.228,0.296,0.254,0.261,0.468
"P13","El tránsito",0.047,0.047,0.045,0.043,0.04
"P13","El arreglo de las calles",0.142,0.1,0.166,0.093,0.042
"P13","El estado de las escuelas y la educación",0.056,0.03,0.124,0.042,0.021
"P13","El sistema de salud",0.054,0.104,0.065,0.124,0.074
"P13","El deporte y la cultura",0.186,0.098,0.132,0.123,0.112
"P13","La obra pública",0.043,0.036,0.049,0.053,0.051
"P13","La luminaria",0.075,0.108,0.046,0.094,0.049
"P13","No sabe",0.169,0.181,0.119,0.167,0.143
"P14","La seguridad",0.347,0.133,0.176,0.142,0.198
"P14","El tránsito",0.101,0.106,0.129,0.084,0.082
"P14","El arreglo de las calles",0.089,0.147,0.181,0.133,0.109
"P14","El estado de las escuelas y la educación",0.196,0.237,0.239,0.213,0.182
"P14","El sistema de salud",0.085,0.158,0.173,0.137,0.149
"P14","El deporte y la cultura",0.031,0.012,0.015,0.064,0.022
"P14","La obra pública",0.026,0.072,0,0.043,0.013
"P14","La luminaria",0.024,0.031,0.008,0.025,0.074
"P14","No sabe",0.101,0.104,0.079,0.159,0.171
"P15","Agua corriente y cloacas",0.632,0.473,0.452,0.337,0.397
"P15","Energía eléctrica",0.116,0.15,0.167,0.162,0.066
"P15","Red de gas natural",0.025,0.07,0.095,0.038,0.011
"P15","Recolección de residuos",0.104,0.115,0.117,0.215,0.062
