"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"A Alberto Fernández",0.364,0.379,0.349,0.596,0.305,0.316,0.293,0.325,0.364,0.407,0.261,0.446,0.445
"A Sergio Massa",0.232,0.243,0.222,0.175,0.283,0.236,0.172,0.333,0.189,0.176,0.295,0.176,0.185
"A algún candidato del peronismo",0.19,0.16,0.22,0.072,0.176,0.239,0.299,0.177,0.257,0.118,0.254,0.139,0.139
"A algún candidato del kirchnerismo",0.214,0.218,0.209,0.157,0.236,0.209,0.236,0.165,0.19,0.299,0.19,0.239,0.231
