"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"Seguro la votaria",0.583,0.578,0.588,0.457,0.601,0.622,0.633,0.638,0.539,0.578,0.503,0.537,0.684
"Quizás la votaría",0.181,0.146,0.217,0.334,0.154,0.159,0.093,0.087,0.225,0.231,0.096,0.414,0.194
"Nunca la votaría",0.236,0.276,0.195,0.209,0.245,0.219,0.274,0.275,0.236,0.191,0.401,0.049,0.122
