"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno de Javier Milei",0.329,0.326,0.333,0.264,0.329,0.372,0.329,0.35,0.29,0.363,0.306,0.311,0.554,0.118,0.676,0.107,0.337,0.322
"El gobierno de Alberto Fernández",0.507,0.511,0.503,0.547,0.494,0.495,0.527,0.444,0.549,0.5,0.538,0.567,0.321,0.609,0.17,0.775,0.502,0.512
"Ambos",0.141,0.14,0.143,0.168,0.15,0.123,0.115,0.17,0.142,0.119,0.133,0.1,0.111,0.262,0.132,0.101,0.136,0.146
"No sabe",0.023,0.023,0.021,0.021,0.027,0.01,0.029,0.036,0.019,0.018,0.023,0.022,0.014,0.011,0.022,0.017,0.025,0.02
