"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno anterior de Omar Gutierrez",0.457,0.48,0.43,0.352,0.48,0.449,0.54,0.415,0.47,0.468,0.479,0.376,0.457,0.54,0.392,0.497,0.436,0.477
"El actual gobierno de Rolo Figueroa",0.228,0.21,0.249,0.238,0.223,0.241,0.206,0.34,0.198,0.191,0.2,0.258,0.326,0.17,0.283,0.194,0.231,0.226
"No sabe",0.315,0.31,0.321,0.41,0.297,0.31,0.254,0.245,0.332,0.341,0.321,0.366,0.217,0.29,0.325,0.309,0.333,0.297
