"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Correcta",0.284,0.284,0.285,0.276,0.325,0.239,0.235,0.294,0.235,0.347,0.269,0.253,0.416,0.259,0.414,0.183,0.311,0.259
"Incorrecta",0.523,0.569,0.476,0.534,0.493,0.567,0.531,0.499,0.565,0.484,0.552,0.568,0.436,0.567,0.358,0.67,0.497,0.548
"No sabe",0.193,0.147,0.239,0.19,0.182,0.194,0.234,0.207,0.2,0.169,0.179,0.179,0.148,0.174,0.228,0.147,0.192,0.193
