"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena","0.149","0.164","0.134","0.18","0.145","0.113","0.162","0.179","0.17","0.1","0.21","0.193","0.127","0.008","0.21","0.132","0.149","0","6"
"Buena","0.181","0.189","0.173","0.136","0.19","0.198","0.222","0.104","0.239","0.156","0.175","0.257","0.161","0.178","0.225","0.165","0.181","0","6"
"Ni buena ni mala","0.284","0.236","0.332","0.277","0.251","0.349","0.292","0.226","0.283","0.325","0.265","0.314","0.3","0.34","0.279","0.296","0.284","0","6"
"Mala","0.221","0.239","0.203","0.202","0.236","0.229","0.198","0.264","0.208","0.21","0.217","0.109","0.241","0.274","0.161","0.228","0.221","0","6"
"Muy mala","0.137","0.156","0.118","0.143","0.165","0.102","0.089","0.166","0.091","0.179","0.113","0.12","0.159","0.2","0.095","0.149","0.137","0","6"
"No sabe","0.028","0.016","0.04","0.062","0.013","0.009","0.037","0.061","0.009","0.03","0.02","0.007","0.012","0","0.03","0.03","0.028","0","6"
"Positiva","0.33","0.353","0.307","0.316","0.335","0.311","0.384","0.283","0.409","0.256","0.385","0.45","0.288","0.186","0.435","0.297","0.33","0","4"
"Neutra","0.284","0.236","0.332","0.277","0.251","0.349","0.292","0.226","0.283","0.325","0.265","0.314","0.3","0.34","0.279","0.296","0.284","0","4"
"Negativa","0.358","0.395","0.321","0.345","0.401","0.331","0.287","0.43","0.299","0.389","0.33","0.229","0.4","0.474","0.256","0.377","0.358","0","4"
"No sabe","0.028","0.016","0.04","0.062","0.013","0.009","0.037","0.061","0.009","0.03","0.02","0.007","0.012","0","0.03","0.03","0.028","0","4"
