"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P08","Siempre",0.221,0.108,0.17,0.154,0.099,0.204,0.263,0,0,0
"P08","Casi siempre",0.367,0.351,0.274,0.403,0.778,0.392,0.544,0,0.725,0.312
"P08","Casi nunca",0.293,0.401,0.281,0.337,0.033,0.276,0.105,0,0.275,0.624
"P08","Nunca, pero esta es una excepción",0.119,0.14,0.275,0.106,0.09,0.128,0.088,1,0,0.064
"P09","Muy buena",0.179,0.128,0.17,0.137,0.331,0.008,0,0,0,0
"P09","Buena",0.223,0.278,0.18,0.126,0.366,0.072,0.29,1,0,0.135
"P09","Ni buena ni mala",0.306,0.361,0.376,0.553,0.275,0.416,0.452,0,0.725,0.801
"P09","Mala",0.201,0.136,0.167,0.088,0.028,0.372,0.258,0,0.275,0.064
"P09","Muy mala",0.086,0.097,0.012,0.09,0,0.09,0,0,0,0
"P09","No sabe",0.005,0,0.095,0.006,0,0.042,0,0,0,0
"P10","Muy buena",0.229,0.177,0.155,0.19,0.374,0.036,0.29,0,0,0
"P10","Buena",0.261,0.307,0.276,0.213,0.527,0.207,0.211,0,1,0.23
"P10","Ni buena ni mala",0.264,0.331,0.365,0.362,0.071,0.378,0.316,1,0,0.77
"P10","Mala",0.139,0.112,0.111,0.097,0.028,0.317,0.183,0,0,0
"P10","Muy mala",0.086,0.062,0.041,0.108,0,0.062,0,0,0,0
"P10","No sabe",0.021,0.011,0.052,0.03,0,0,0,0,0,0
"P13","Si",0.55,0.492,0.349,0.383,0.726,0.243,0.446,1,1,0.135
"P13","No",0.266,0.32,0.256,0.264,0.274,0.444,0.258,0,0,0
"P13","No sabe",0.184,0.188,0.395,0.353,0,0.313,0.296,0,0,0.865
"P15","Gobierno nacional",0.285,0.329,0.317,0.469,0.076,0.066,0.529,1,0.87,0.624
"P15","Gobierno provincial",0.619,0.502,0.4,0.331,0.723,0.877,0.363,0,0,0.064
"P15","No sabe",0.096,0.169,0.283,0.2,0.201,0.057,0.108,0,0.13,0.312
"P16","El gobierno anterior de Omar Gutierrez",0.502,0.494,0.411,0.502,0.151,0.481,0.215,0,0,0
"P16","El actual gobierno de Rolo Figueroa",0.177,0.294,0.258,0.172,0.339,0.15,0.388,0,0,1
"P16","No sabe",0.321,0.212,0.331,0.326,0.51,0.369,0.397,0,0,0
"P17","El gobierno anterior de Alberto Fernández",0.386,0.491,0.448,0.218,0,0.647,0.109,0,0,0.153
"P17","El actual gobierno de Javier Milei",0.55,0.373,0.497,0.739,1,0.353,0.551,0,1,0.042
"P17","No sabe",0.064,0.136,0.055,0.043,0,0,0.34,1,0,0.805
"P18","Muy buena",0.101,0.063,0.088,0.109,0.232,0.032,0,0,0,0
"P18","Buena",0.217,0.298,0.284,0.395,0.227,0.077,0.817,0,0.13,0.044
"P18","Ni buena ni mala",0.261,0.25,0.403,0.403,0.294,0.129,0.055,1,0.87,0.403
"P18","Mala",0.281,0.295,0.184,0.035,0.085,0.647,0.128,0,0,0
"P18","Muy mala",0.128,0.087,0.031,0.05,0.162,0.115,0,0,0,0.553
"P18","No sabe",0.012,0.007,0.01,0.008,0,0,0,0,0,0
"P19","Muy buena",0.103,0.044,0.067,0.027,0,0,0.056,0,0,0
"P19","Buena",0.117,0.259,0.193,0.292,0.201,0.039,0.388,0,1,0
"P19","Ni buena ni mala",0.194,0.195,0.31,0.355,0.505,0.173,0.156,1,0,0.312
"P19","Mala",0.352,0.384,0.298,0.178,0.132,0.469,0.325,0,0,0.091
"P19","Muy mala",0.232,0.11,0.122,0.148,0.162,0.307,0.075,0,0,0.553
"P19","No sabe",0.002,0.008,0.01,0,0,0.012,0,0,0,0.044
"P20","Muy buena",0.076,0.044,0.034,0.011,0,0,0.075,0,0,0
"P20","Buena",0.219,0.24,0.249,0.515,0.156,0.094,0.143,1,0.13,0
"P20","Ni buena ni mala",0.252,0.332,0.44,0.295,0.536,0.369,0.546,0,0.87,0.511
"P20","Mala",0.274,0.306,0.198,0.081,0.169,0.379,0.236,0,0,0
"P20","Muy mala",0.168,0.073,0.041,0.092,0.139,0.158,0,0,0,0.489
"P20","No sabe",0.011,0.005,0.038,0.006,0,0,0,0,0,0
"P21","Muy de acuerdo",0.396,0.281,0.249,0.505,0.699,0.284,0.841,1,0.87,0.135
"P21","De acuerdo",0.207,0.351,0.155,0.185,0.057,0.159,0.053,0,0,0.216
"P21","Ni de acuerdo ni en desacuerdo",0.208,0.19,0.434,0.225,0.244,0.255,0,0,0,0.489
"P21","En desacuerdo",0.119,0.119,0.078,0.034,0,0.217,0.106,0,0,0
"P21","Muy en desacuerdo",0.059,0.05,0.009,0.034,0,0.073,0,0,0,0.064
"P21","No sabe",0.011,0.009,0.075,0.017,0,0.012,0,0,0.13,0.096
"P22","El estado nacional",0.12,0.121,0.118,0.163,0.186,0.145,0,0,0,0.216
"P22","El estado provincial",0.546,0.575,0.375,0.51,0.497,0.195,0.807,1,0.87,0.091
"P22","Ambos de forma coordinada",0.279,0.258,0.324,0.27,0.317,0.597,0.138,0,0.13,0.693
