"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Correcta",0.466,0.487,0.444,0.327,0.459,0.563,0.546,0.486,0.463,0.453,0.555,0.443,0.34,0.407,0.373,0.55,0.458,0.472
"Incorrecta",0.322,0.294,0.351,0.362,0.334,0.27,0.308,0.248,0.332,0.371,0.271,0.326,0.573,0.432,0.373,0.275,0.322,0.323
"No sabe",0.212,0.219,0.205,0.311,0.207,0.167,0.146,0.266,0.205,0.176,0.174,0.231,0.087,0.161,0.254,0.175,0.22,0.205
