"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P08","Siempre",0.207,0.188,0.124,0.155,0.156,0.114
"P08","Casi siempre",0.337,0.44,0.318,0.286,0.201,0.345
"P08","Casi nunca",0.321,0.289,0.392,0.437,0.375,0.353
"P08","Nunca, pero esta es una excepción",0.135,0.083,0.166,0.122,0.268,0.188
"P09","Muy buena",0.258,0.122,0.09,0.113,0,0.075
"P09","Buena",0.26,0.347,0.148,0.139,0.046,0.133
"P09","Ni buena ni mala",0.297,0.334,0.478,0.348,0.215,0.323
"P09","Mala",0.136,0.163,0.176,0.276,0.363,0.072
"P09","Muy mala",0.047,0.029,0.088,0.11,0.376,0.074
"P09","No sabe",0.002,0.005,0.02,0.014,0,0.323
"P10","Muy buena",0.28,0.194,0.14,0.133,0,0.08
"P10","Buena",0.328,0.373,0.195,0.141,0.101,0.274
"P10","Ni buena ni mala",0.241,0.286,0.412,0.403,0.17,0.115
"P10","Mala",0.09,0.091,0.164,0.213,0.329,0.111
"P10","Muy mala",0.037,0.032,0.065,0.107,0.365,0.053
"P10","No sabe",0.024,0.024,0.024,0.003,0.035,0.367
"P13","Si",0.615,0.575,0.358,0.365,0.253,0.231
"P13","No",0.22,0.24,0.321,0.414,0.523,0.264
"P13","No sabe",0.165,0.185,0.321,0.221,0.224,0.505
"P15","Gobierno nacional",0.479,0.322,0.158,0.172,0.073,0.14
"P15","Gobierno provincial",0.429,0.46,0.672,0.774,0.734,0.316
"P15","No sabe",0.092,0.218,0.17,0.054,0.193,0.544
"P16","El gobierno anterior de Omar Gutierrez",0.435,0.43,0.504,0.473,0.543,0.615
"P16","El actual gobierno de Rolo Figueroa",0.189,0.264,0.164,0.316,0.286,0
"P16","No sabe",0.376,0.306,0.332,0.211,0.171,0.385
"P17","El gobierno anterior de Alberto Fernández",0.375,0.257,0.463,0.369,0.506,0
"P17","El actual gobierno de Javier Milei",0.558,0.526,0.366,0.528,0.051,0.733
"P17","No sabe",0.067,0.217,0.171,0.103,0.443,0.267
"P18","Muy buena",0.151,0.069,0.039,0.067,0.023,0.217
"P18","Buena",0.276,0.364,0.146,0.116,0.111,0.234
"P18","Ni buena ni mala",0.258,0.259,0.356,0.299,0.192,0.213
"P18","Mala",0.252,0.245,0.321,0.419,0.245,0.172
"P18","Muy mala",0.062,0.047,0.117,0.095,0.411,0.059
"P18","No sabe",0.001,0.016,0.021,0.004,0.018,0.105
"P19","Muy buena",0.115,0.079,0.027,0.023,0,0.217
"P19","Buena",0.177,0.297,0.12,0.041,0.059,0.178
"P19","Ni buena ni mala",0.247,0.225,0.271,0.15,0.063,0.117
"P19","Mala",0.334,0.296,0.388,0.592,0.105,0.279
"P19","Muy mala",0.124,0.097,0.189,0.192,0.767,0.089
"P19","No sabe",0.003,0.006,0.005,0.002,0.006,0.12
"P20","Muy buena",0.087,0.052,0.038,0.029,0,0.078
"P20","Buena",0.274,0.354,0.128,0.132,0.011,0.127
"P20","Ni buena ni mala",0.301,0.273,0.421,0.17,0.15,0.402
"P20","Mala",0.25,0.248,0.255,0.606,0.116,0.087
"P20","Muy mala",0.077,0.071,0.149,0.063,0.694,0.072
"P20","No sabe",0.011,0.002,0.009,0,0.029,0.234
"P22","El estado nacional",0.147,0.108,0.093,0.204,0.159,0.082
"P22","El estado provincial",0.699,0.63,0.319,0.302,0.203,0.283
"P22","Ambos de forma coordinada",0.148,0.238,0.481,0.348,0.481,0.227
"P22","No sabe",0.006,0.024,0.107,0.146,0.157,0.408
"P23","Si",0.621,0.51,0.408,0.459,0.438,0.336
"P23","No",0.321,0.388,0.371,0.441,0.489,0.447
"P23","No sabe",0.058,0.102,0.221,0.1,0.073,0.217
"P24","Excesiva",0.096,0.078,0.113,0.161,0.381,0.031
"P24","Adecuada",0.396,0.467,0.385,0.372,0.131,0.358
"P24","Insuficiente",0.339,0.35,0.23,0.294,0.137,0.201
"P24","Inaceptable",0.115,0.049,0.094,0.107,0.202,0.02
"P24","No sabe",0.054,0.056,0.178,0.066,0.149,0.39
"P26","Si",0.726,0.546,0.539,0.732,0.691,0.427
"P26","No",0.173,0.332,0.218,0.218,0.236,0.366
"P26","No sabe",0.101,0.122,0.243,0.05,0.073,0.207
"P27","Correcta",0.381,0.251,0.19,0.2,0.373,0.32
"P27","Incorrecta",0.493,0.561,0.492,0.643,0.57,0.237
"P27","No sabe",0.126,0.188,0.318,0.157,0.057,0.443
"P28","Si",0.637,0.501,0.469,0.643,0.575,0.367
"P28","No",0.297,0.395,0.321,0.334,0.378,0.189
"P28","No sabe",0.066,0.104,0.21,0.023,0.047,0.444
"P29","Correcta",0.527,0.395,0.436,0.516,0.503,0.2
"P29","Incorrecta",0.329,0.401,0.215,0.341,0.41,0.256
"P29","No sabe",0.144,0.204,0.349,0.143,0.087,0.544
"P30","Si",0.758,0.587,0.597,0.724,0.666,0.444
"P30","No",0.173,0.321,0.278,0.237,0.273,0.132
"P30","No sabe",0.069,0.092,0.125,0.039,0.061,0.424
"P31","Adecuada",0.291,0.163,0.145,0.221,0.237,0.185
"P31","Insuficiente",0.09,0.147,0.11,0.068,0.046,0.033
"P31","Excesiva",0.252,0.301,0.218,0.197,0.107,0.266
"P31","Inaceptable",0.293,0.345,0.447,0.495,0.587,0.178
"P31","No sabe",0.074,0.044,0.08,0.019,0.023,0.338
"P33","Si",0.55,0.464,0.35,0.421,0.388,0.306
"P33","No",0.354,0.404,0.445,0.463,0.545,0.248
"P33","No sabe",0.096,0.132,0.205,0.116,0.067,0.446
"P34","Si",0.502,0.499,0.531,0.525,0.616,0.207
"P34","No",0.384,0.393,0.265,0.397,0.36,0.443
"P34","No sabe",0.114,0.108,0.204,0.078,0.024,0.35
"P35","Inseguridad y narcotráfico",0.537,0.419,0.425,0.515,0.588,0.271
"P35","Altos impuestos y tarifas",0.231,0.431,0.234,0.312,0.3,0.132
"P35","Educación y estado de las escuelas",0.089,0.083,0.233,0.089,0.024,0.497
"P35","Inflación",0.059,0.033,0.04,0.013,0.029,0.036
"P35","Estado de la salud",0.038,0.005,0.02,0,0,0
"P35","Corrupción",0.027,0.023,0.037,0.067,0.052,0.021
"P35","Pobreza",0.011,0.001,0,0.004,0,0
"P35","Medio ambiente, incendios y contaminación",0.001,0,0,0,0,0
"P35","Falta de trabajo",0.005,0,0,0,0,0.015
"P35","No sabe",0.002,0.005,0.011,0,0.007,0.028
"P39","Muy buena",0.118,0.071,0.025,0.075,0.18,0.063
"P39","Buena",0.332,0.451,0.169,0.15,0.062,0.238
"P39","Ni buena ni mala",0.353,0.27,0.501,0.354,0.231,0.526
"P39","Mala",0.156,0.165,0.223,0.354,0.173,0.053
"P39","Muy mala",0.03,0.018,0.055,0.052,0.341,0.056
"P39","No sabe",0.011,0.025,0.027,0.015,0.013,0.064
"P40","Peor",0.344,0.323,0.297,0.352,0.54,0.222
"P40","Igual",0.439,0.464,0.444,0.444,0.319,0.591
"P40","Mejor",0.148,0.167,0.118,0.105,0.073,0
"P40","No sabe",0.069,0.046,0.141,0.099,0.068,0.187
"P41","Peor",0.337,0.262,0.304,0.351,0.485,0.219
"P41","Igual",0.266,0.401,0.288,0.39,0.26,0.079
"P41","Mejor",0.291,0.222,0.263,0.17,0.13,0.44
"P41","No sabe",0.106,0.115,0.145,0.089,0.125,0.262
"P42","El gobierno de Javier Milei",0.528,0.302,0.195,0.074,0.296,0.162
"P42","El gobierno de Alberto Fernández",0.343,0.544,0.579,0.752,0.63,0.503
"P42","Ambos",0.113,0.128,0.198,0.174,0.048,0.186
"P42","No sabe",0.016,0.026,0.028,0,0.026,0.149
"P43","Javier Milei",0.311,0.371,0.55,0.684,0.751,0.279
"P43","Los gobernadores",0.631,0.538,0.282,0.215,0.237,0.322
"P43","No sabe",0.058,0.091,0.168,0.101,0.012,0.399
"P44","Muy buena",0.27,0.151,0.142,0.157,0.113,0.179
"P44","Buena",0.349,0.405,0.157,0.242,0.048,0.173
"P44","Ni buena ni mala",0.302,0.301,0.433,0.316,0.224,0.147
"P44","Mala",0.059,0.107,0.146,0.244,0.285,0.113
