"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno anterior de Alberto Fernández",0.37,0.421,0.319,0.277,0.438,0.307,0.437,0.423,0.41,0.248,0.431,0.379,0.11,0.253,0.254,0.516,0.365,0.375
"El actual gobierno de Javier Milei",0.515,0.523,0.506,0.517,0.485,0.591,0.478,0.504,0.455,0.618,0.455,0.521,0.839,0.747,0.648,0.403,0.491,0.539
"No sabe",0.115,0.056,0.175,0.206,0.077,0.102,0.085,0.073,0.135,0.134,0.114,0.1,0.051,0,0.098,0.081,0.144,0.086
