"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P06","Mucho",0.504,0.365,0.402,0.344,0.307,0.21
"P06","Bastante",0.291,0.349,0.284,0.225,0.259,0.22
"P06","Poco",0.17,0.236,0.227,0.282,0.311,0.327
"P06","Nada",0.029,0.042,0.071,0.11,0.069,0.183
"P06","No sabe",0.006,0.008,0.016,0.039,0.054,0.06
"P07","Siempre",0.288,0.257,0.229,0.21,0.197,0.133
"P07","Casi siempre",0.425,0.442,0.319,0.339,0.351,0.305
"P07","Casi nunca",0.221,0.23,0.341,0.282,0.317,0.344
"P07","Nunca, pero esta es una excepción",0.066,0.071,0.111,0.169,0.135,0.218
"P08","Tiene Decidido que va a ir a votar",0.876,0.865,0.821,0.759,0.786,0.665
"P08","Tiene dudas sobre si va a ir a  votar",0.078,0.092,0.112,0.152,0.153,0.195
"P08","Tiene Decidido que no va a ir a votar",0.046,0.043,0.067,0.089,0.061,0.14
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.608,0.083,0.024,0.14,0.172,0.125
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.175,0.027,0.018,0.086,0.073,0.038
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.093,0.552,0.068,0.084,0.051,0.094
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.249,0.033,0.026,0.061,0.058
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.044,0.8,0.126,0.188,0.146
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.003,0.005,0.008,0.35,0.015,0.019
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.012,0.01,0.009,0.167,0.051
"P11","Otros",0.008,0.011,0.015,0.097,0.191,0.09
"P11","En blanco",0.003,0.007,0.011,0.07,0.044,0.085
"P11","No sabe",0.006,0.01,0.013,0.012,0.038,0.294
"P14","Totalmente seguro",0.715,0.629,0.723,0.48,0.531,0.223
"P14","Bastante seguro",0.163,0.184,0.116,0.139,0.189,0.112
"P14","Algo seguro",0.067,0.11,0.11,0.191,0.141,0.227
"P14","Para nada seguro",0.055,0.077,0.051,0.19,0.139,0.438
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.481,0.094,0.049,0.206,0.205,0.151
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.199,0.042,0.013,0.092,0.089,0.037
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.095,0.421,0.319,0.082,0.153,0.127
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.072,0.253,0.079,0.084,0.063,0.131
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.072,0.127,0.453,0.192,0.145,0.172
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.004,0.005,0.183,0.036,0.014
