"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.417,0.202,0.164
"P06","Bastante",0.311,0.247,0.133
"P06","Poco",0.204,0.396,0.395
"P06","Nada",0.052,0.122,0.264
"P06","No sabe",0.016,0.033,0.044
"P07","Siempre",0.267,0.083,0.088
"P07","Casi siempre",0.387,0.482,0.088
"P07","Casi nunca",0.25,0.252,0.57
"P07","Nunca, pero esta es una excepción",0.096,0.183,0.254
"P10","Unión por la Patria",0.31,0.209,0.213
"P10","Juntos por el Cambio",0.358,0.287,0.237
"P10","Liberales",0.146,0.15,0.157
"P10","Izquierda",0.027,0.041,0.042
"P10","Otro",0.051,0.075,0.052
"P10","No sabe",0.108,0.238,0.299
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.257,0.174,0.188
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.078,0.06,0.066
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.251,0.232,0.197
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.115,0.125,0.081
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.185,0.164,0.177
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.028,0.039
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.026,0.021
"P11","Otros",0.029,0.052,0.036
"P11","En blanco",0.013,0.039,0.085
"P11","No sabe",0.034,0.1,0.11
"P14","Totalmente seguro",0.659,0.36,0.413
"P14","Bastante seguro",0.152,0.202,0.174
"P14","Algo seguro",0.102,0.208,0.113
"P14","Para nada seguro",0.087,0.23,0.3
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.23,0.146,0.248
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.092,0.079,0.067
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.255,0.246,0.197
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.142,0.142,0.169
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.168,0.173,0.135
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.019,0.037
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.035,0.007
"P23","Otros",0.034,0.039,0.016
"P23","En blanco",0.017,0.036,0.05
"P23","No sabe",0.028,0.085,0.074
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.32,0.222,0.262
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.33,0.305,0.302
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.198,0.209,0.208
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.042,0.016
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.031,0.06,0.017
"P30","Otros",0.046,0.036,0.034
"P30","En blanco",0.017,0.042,0.049
"P30","No sabe",0.033,0.084,0.112
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.325,0.253,0.268
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.298,0.262,0.291
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.228,0.256,0.192
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.017,0.023
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.032,0.08,0.019
"P31","Otros",0.04,0.032,0.057
"P31","En blanco",0.021,0.018,0.054
"P31","No sabe",0.035,0.082,0.096
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.372,0.282,0.291
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.45,0.449,0.414
"P36","En blanco",0.101,0.141,0.166
"P36","No sabe",0.077,0.128,0.129
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.394,0.336,0.378
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.227,0.262,0.235
"P37","En blanco",0.254,0.245,0.183
"P37","No sabe",0.125,0.157,0.204
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.36,0.287,0.327
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.397,0.349,0.292
"P38","En blanco",0.139,0.19,0.204
"P38","No sabe",0.104,0.174,0.177
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.372,0.291,0.293
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.266,0.312,0.226
"P39","En blanco",0.226,0.226,0.23
"P39","No sabe",0.136,0.171,0.251
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.374,0.274,0.296
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.342,0.384,0.354
"P40","En blanco",0.152,0.169,0.185
"P40","No sabe",0.132,0.173,0.165
"P43","Lo votaría",0.327,0.277,0.307
"P43","Puede que lo vote",0.098,0.154,0.097
"P43","Nunca lo votaría",0.527,0.494,0.508
"P43","No sabe",0.048,0.075,0.088
"P44","Lo votaría",0.234,0.18,0.179
"P44","Puede que lo vote",0.109,0.119,0.04
"P44","Nunca lo votaría",0.608,0.607,0.659
"P44","No sabe",0.049,0.094,0.122
"P45","Lo votaría",0.366,0.291,0.34
"P45","Puede que lo vote",0.141,0.186,0.1
"P45","Nunca lo votaría",0.457,0.455,0.413
"P45","No sabe",0.036,0.068,0.147
"P46","Lo votaría",0.291,0.257,0.237
"P46","Puede que lo vote",0.188,0.239,0.164
"P46","Nunca lo votaría",0.479,0.405,0.44
"P46","No sabe",0.042,0.099,0.159
"P47","Lo votaría",0.249,0.211,0.32
"P47","Puede que lo vote",0.158,0.255,0.112
"P47","Nunca lo votaría",0.555,0.454,0.481
"P47","No sabe",0.038,0.08,0.087
"P48","Lo votaría",0.069,0.062,0.117
"P48","Puede que lo vote",0.168,0.175,0.072
"P48","Nunca lo votaría",0.711,0.663,0.674
"P48","No sabe",0.052,0.1,0.137
"P49","Lo votaría",0.067,0.089,0.075
"P49","Puede que lo vote",0.202,0.224,0.145
"P49","Nunca lo votaría",0.666,0.562,0.632
"P49","No sabe",0.065,0.125,0.148
"P60","Si",0.523,0.404,0.286
"P60","No",0.477,0.596,0.714
