"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.222,0.206,0.237,0.179,0.22,0.249,0.231,0.254,0.222,0.194,0.426,0.079,0.13,0.183,0.221,0.272,0.247
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.09,0.088,0.091,0.091,0.094,0.089,0.079,0.074,0.077,0.119,0.173,0.034,0.054,0.087,0.073,0.112,0.096
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.251,0.255,0.247,0.215,0.231,0.258,0.317,0.251,0.257,0.244,0.089,0.417,0.2,0.242,0.264,0.174,0.264
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.143,0.131,0.154,0.11,0.134,0.156,0.177,0.139,0.133,0.159,0.068,0.217,0.188,0.149,0.134,0.126,0.144
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.167,0.198,0.138,0.253,0.184,0.137,0.09,0.171,0.182,0.145,0.11,0.189,0.226,0.173,0.186,0.189,0.151
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.016,0.019,0.033,0.016,0.013,0.013,0.014,0.012,0.027,0.024,0.005,0.03,0.025,0.003,0.023,0.017
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.019,0.02,0.016,0.023,0.018,0.018,0.015,0.022,0.021,0.018,0.014,0.058,0.036,0.015,0.014,0.009
"Otros",0.034,0.033,0.035,0.044,0.044,0.022,0.018,0.035,0.033,0.034,0.039,0.015,0.041,0.038,0.044,0.035,0.026
"En blanco",0.02,0.024,0.017,0.027,0.021,0.016,0.017,0.016,0.019,0.024,0.02,0.01,0.03,0.029,0.018,0.011,0.015
"No sabe",0.036,0.03,0.042,0.032,0.033,0.042,0.04,0.031,0.043,0.033,0.033,0.02,0.043,0.038,0.042,0.044,0.031
