"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.396,0.391,0.507,0.374
"P06","Bastante",0.36,0.3,0.299,0.288
"P06","Poco",0.204,0.234,0.157,0.262
"P06","Nada",0.029,0.067,0.023,0.056
"P06","No sabe",0.011,0.008,0.014,0.02
"P07","Siempre",0.286,0.233,0.286,0.253
"P07","Casi siempre",0.466,0.398,0.445,0.426
"P07","Casi nunca",0.198,0.274,0.207,0.221
"P07","Nunca, pero esta es una excepción",0.05,0.095,0.062,0.1
"P08","Tiene Decidido que va a ir a votar",0.89,0.855,0.864,0.817
"P08","Tiene dudas sobre si va a ir a  votar",0.078,0.112,0.097,0.115
"P08","Tiene Decidido que no va a ir a votar",0.032,0.033,0.039,0.068
"P10","Unión por la Patria",0.201,0.122,0.686,0.447
"P10","Juntos por el Cambio",0.689,0.244,0.153,0.217
"P10","Liberales",0.027,0.518,0.029,0.05
"P10","Izquierda",0.021,0.012,0.027,0.033
"P10","Otro",0.024,0.044,0.054,0.063
"P10","No sabe",0.038,0.06,0.051,0.19
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.14,0.058,0.528,0.436
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.041,0.02,0.213,0.095
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.463,0.241,0.096,0.181
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.276,0.033,0.023,0.041
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.023,0.603,0.033,0.052
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.001,0.025,0.021
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.019,0.028,0.031
"P11","Otros",0.013,0.016,0.035,0.063
"P11","En blanco",0.007,0.004,0.008,0.003
"P11","No sabe",0.013,0.005,0.011,0.077
"P14","Totalmente seguro",0.618,0.705,0.695,0.533
"P14","Bastante seguro",0.193,0.114,0.16,0.2
"P14","Algo seguro",0.107,0.137,0.076,0.122
"P14","Para nada seguro",0.082,0.044,0.069,0.145
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.128,0.06,0.43,0.38
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.057,0.022,0.23,0.13
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.373,0.338,0.108,0.14
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.309,0.069,0.034,0.07
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.433,0.055,0.075
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.007,0.035,0.018
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.018,0.023,0.028
"P23","Otros",0.008,0.022,0.042,0.065
"P23","En blanco",0.008,0.017,0.028,0.008
"P23","No sabe",0.018,0.014,0.015,0.086
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.181,0.061,0.687,0.493
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.629,0.262,0.119,0.171
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.618,0.029,0.042
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.014,0.039,0.03
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.018,0.04,0.058
"P30","Otros",0.047,0.014,0.047,0.073
"P30","En blanco",0.017,0.004,0.025,0.011
"P30","No sabe",0.026,0.009,0.014,0.122
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.179,0.064,0.702,0.498
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.688,0.115,0.063,0.104
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.043,0.745,0.034,0.036
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.005,0.04,0.032
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.024,0.041,0.069
"P31","Otros",0.022,0.014,0.051,0.088
"P31","En blanco",0.012,0.015,0.045,0.02
"P31","No sabe",0.021,0.018,0.024,0.153
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.251,0.078,0.732,0.559
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.658,0.633,0.108,0.165
"P36","En blanco",0.044,0.193,0.142,0.036
"P36","No sabe",0.047,0.096,0.018,0.24
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.72,0.241,0.153,0.214
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.699,0.042,0.041
"P37","En blanco",0.127,0.038,0.762,0.155
"P37","No sabe",0.078,0.022,0.043,0.59
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.235,0.095,0.723,0.52
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.708,0.44,0.038,0.079
"P38","En blanco",0.029,0.294,0.211,0.058
"P38","No sabe",0.028,0.171,0.028,0.343
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.269,0.071,0.717,0.54
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.269,0.879,0.044,0.06
"P40","En blanco",0.251,0.026,0.216,0.059
"P40","No sabe",0.211,0.024,0.023,0.341
"P43","Lo votaría",0.207,0.059,0.7,0.498
"P43","Puede que lo vote",0.092,0.142,0.078,0.102
"P43","Nunca lo votaría",0.666,0.744,0.206,0.246
"P43","No sabe",0.035,0.055,0.016,0.154
"P44","Lo votaría",0.129,0.042,0.552,0.299
"P44","Puede que lo vote",0.071,0.07,0.18,0.154
"P44","Nunca lo votaría",0.766,0.842,0.238,0.362
"P44","No sabe",0.034,0.046,0.03,0.185
"P45","Lo votaría",0.568,0.337,0.146,0.184
"P45","Puede que lo vote",0.129,0.274,0.052,0.085
"P45","Nunca lo votaría",0.274,0.353,0.777,0.603
"P45","No sabe",0.029,0.036,0.025,0.128
"P46","Lo votaría",0.61,0.141,0.045,0.082
"P46","Puede que lo vote",0.231,0.283,0.063,0.131
"P46","Nunca lo votaría",0.139,0.529,0.858,0.606
"P46","No sabe",0.02,0.047,0.034,0.181
"P47","Lo votaría",0.153,0.669,0.026,0.063
"P47","Puede que lo vote",0.243,0.196,0.042,0.099
"P47","Nunca lo votaría",0.561,0.116,0.917,0.698
"P47","No sabe",0.043,0.019,0.015,0.14
"P48","Lo votaría",0.055,0.081,0.089,0.058
