codigo	bloque	paleta	texto	label	aclaracion
P06	Control	quali	Y podría decirnos entonces si usted:	Nivel de decisión sobre ir o no a votar	
P07	Control	muchopoco	Usted diría que la política le importa…	Opinión sobre la importancia de la política	
P08	Control	frecuencia	¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas	
P11	Escenarios Electorales: elecciones PASO	politica	¿En las elecciones de presidente y diputados nacionales de este año, al candidato de qué espacio político votaría?	Intención de voto por espacios políticos en elecciones PASO	
P12	Escenarios Electorales: elecciones PASO	politica	¿Podría indicarnos cuáles serían los candidatos a presidente, vicepresidente y diputados nacionales que usted preferiría votar en las próximas elecciones primarias PASO?	Intención de voto por candidatos a Presidente, Vicepresidente y Diputados en elecciones PASO	
P16	Escenarios Electorales: elecciones PASO	quali	Podría usted decirnos cuán seguro está de sus preferencias de voto a presidente y vicepresidente en las próximas elecciones primarias paso.	Nivel de seguridad sobre la preferencia de voto a Presidencial en PASO	
P17	Escenarios Electorales: elecciones PASO	politica	Además de la opción de Diputados Nacional, ¿usted seleccionaría alguna opción de presidente y vicepresidente cortando la boleta?	Intención de voto por candidatos a Presidente, Vicepresidente	(Sólo aquellos con int. de voto por Di Giacomo)
P20	Escenarios Electorales: elecciones PASO	sino	En las elecciones a Diputados Nacionales por la Provincia de Rio Negro, ¿usted estaría dispuesto a cortar boleta?	Intención de corte de boleta	(Todos excepto aquellos con int. de voto por Di Giacomo)
P21	Escenarios Electorales: elecciones PASO	politica	¿Podría indicarnos cuáles serían los candidatos a Diputados Nacionales que usted preferiría votar en las próximas elecciones primarias PASO?	Intención de voto por candidatos a Diputado Nacional en PASO	(Sólo quienes cortarían boleta)
P25	Escenarios Electorales: Primera y Segunda vuelta electoral	politica	Si los candidatos en las elecciones de primera vuelta a Presidente, Vicepresidente y generales a Diputados nacionales fueran los siguientes ¿A cúal preferiría votar?	Intención de voto Presidencial en primera vuelta y Diputados 	(Escenario 1)
P29	Escenarios Electorales: Primera y Segunda vuelta electoral	politica	Si los candidatos en las elecciones de primera vuelta a Presidente, Vicepresidente y generales a Diputados nacionales fueran los siguientes ¿A cúal preferiría votar?	Intención de voto Presidencial en primera vuelta y Diputados 	(Escenario 2)
P33	Escenarios Electorales: Primera y Segunda vuelta electoral	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto Presidencial en segunda vuelta	(Escenario 1)
P34	Escenarios Electorales: Primera y Segunda vuelta electoral	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto Presidencial en segunda vuelta	(Escenario 2)
P35	Escenarios Electorales: Primera y Segunda vuelta electoral	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto Presidencial en segunda vuelta	(Escenario 3)
P36	Escenarios Electorales: Primera y Segunda vuelta electoral	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto Presidencial en segunda vuelta	(Escenario 4)
P37	Escenarios Electorales: Primera y Segunda vuelta electoral	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto Presidencial en segunda vuelta	(Escenario 5)
P38	Reach de intención de voto	votaria	Si Sergio Massa fuese candidato a Presidente, Agustin Rossi a Vicepresidente y Martín Soria a Diputado Nacional ud...	Intención de voto por fórmula Massa - Rossi - Soria.	
P39	Reach de intención de voto	votaria	Si Juan Grabois fuese candidato a Presidente y Paula Abal Medina a Vicepresidente ud y Martín Soria a Diputado Nacional...	Intención de voto por fórmula Grabois - Abal Medina - Soria.	
P40	Reach de intención de voto	votaria	Si Patricia Bullrich fuese candidato a Presidente,  Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional ud...	Intención de voto por fórmula Bullrich - Petri - Capozzi.	
P41	Reach de intención de voto	votaria	Si Horacio Rodríguez Larreta fuese candidato a Presidente,  Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional ud...	Intención de voto por fórmula Rodríguez Larreta - Morales - Brusa.	
P42	Reach de intención de voto	votaria	Si Luis Di Giacomo fuese candidato a Diputado Nacional ud...	Intención de voto por Luis Di Giacomo a Diputado Nacional.	
P43	Reach de intención de voto	votaria	Si Javier Milei fuese candidato a Presidente, Victoria Villaruel a Vicepresidente y Lorena Villaverde a Diputada Nacional ud...	Intención de voto por fórmula Milei - Villaruel - Villaverde.	
P44	Reach de intención de voto	votaria	Si Myriam Bregman fuese candidato a Presidente, Nicolás del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional ud...	Intención de voto por fórmula Bregman - Del Caño - Gavuzzo.	
P45	Control	sino	Nos gustaría volver a contactarlo para otras encuestas que se realizan de manera online. La misma se la enviaremos a través de un enlace por mensaje de texto a su celular ¿Está interesado en realizarla?  	Interés en próximas encuestas	
DIPUTADOS	Escenarios Electorales: elecciones PASO	politica	Intención de voto para Diputado Nacional	Intención de voto para Diputado Nacional	(Considerando corte de boleta)
PRESIDENTE	Escenarios Electorales: elecciones PASO	politica	Intención de voto a Presidente	Intención de voto a Presidente	(Considerando corte de boleta)
