"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.28,0.264,0.294,0.178,0.296,0.305,0.329,0.329,0.25,0.267,0.523,0.068,0.107,0.301,0.236
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.091,0.089,0.094,0.13,0.1,0.071,0.055,0.064,0.092,0.124,0.143,0.031,0.108,0.092,0.089
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.232,0.218,0.246,0.159,0.181,0.293,0.347,0.219,0.234,0.245,0.075,0.473,0.167,0.238,0.221
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.122,0.118,0.126,0.144,0.11,0.11,0.135,0.103,0.138,0.119,0.067,0.204,0.194,0.11,0.146
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.16,0.21,0.113,0.258,0.191,0.109,0.048,0.181,0.154,0.146,0.092,0.188,0.158,0.149,0.183
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.017,0.012,0.02,0.023,0.019,0.01,0.013,0.006,0.018,0.025,0.018,0.003,0.008,0.015,0.018
"Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.01,0.014,0.007,0,0.015,0.013,0.007,0.013,0.008,0.009,0.01,0.003,0.039,0.013,0.005
"Otros",0.029,0.029,0.029,0.043,0.036,0.016,0.017,0.026,0.034,0.026,0.027,0.004,0.111,0.024,0.041
"En blanco",0.012,0.009,0.014,0.016,0.007,0.016,0.012,0.013,0.015,0.005,0.012,0.003,0.049,0.012,0.011
"No sabe",0.047,0.037,0.057,0.049,0.045,0.057,0.037,0.046,0.057,0.034,0.033,0.023,0.059,0.046,0.05
