"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.478,0.531,0.414,0.341,0.408,0.53,0.356,0.461,0.262,0.212
"P06","Bastante",0.365,0.339,0.349,0.429,0.349,0.182,0.42,0.193,0.439,0.384
"P06","Poco",0.104,0.084,0.169,0.185,0.145,0.117,0.133,0.26,0.115,0.262
"P06","Nada",0.047,0.028,0.057,0.041,0.096,0.167,0.069,0.047,0.136,0.102
"P06","No sabe",0.006,0.018,0.011,0.004,0.002,0.004,0.022,0.039,0.048,0.04
"P07","Siempre",0.247,0.288,0.295,0.191,0.314,0.22,0.068,0.275,0.28,0.155
"P07","Casi siempre",0.438,0.466,0.424,0.485,0.344,0.385,0.48,0.461,0.382,0.349
"P07","Casi nunca",0.247,0.157,0.209,0.234,0.235,0.187,0.372,0.232,0.264,0.318
"P07","Nunca, pero esta es una excepción",0.068,0.089,0.072,0.09,0.107,0.208,0.08,0.032,0.074,0.178
"P08","Tiene Decidido que va a ir a votar",0.893,0.891,0.879,0.851,0.896,0.768,0.648,0.829,0.729,0.592
"P08","Tiene dudas sobre si va a ir a  votar",0.073,0.091,0.1,0.109,0.089,0.082,0.311,0.139,0.161,0.303
"P08","Tiene Decidido que no va a ir a votar",0.034,0.018,0.021,0.04,0.015,0.15,0.041,0.032,0.11,0.105
