"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P06","Mucho",0.516,0.379,0.417,0.437,0.37,0.199
"P06","Bastante",0.338,0.382,0.311,0.239,0.293,0.315
"P06","Poco",0.109,0.18,0.172,0.135,0.232,0.248
"P06","Nada",0.028,0.054,0.096,0.166,0.075,0.204
"P06","No sabe",0.009,0.005,0.004,0.023,0.03,0.034
"P07","Siempre",0.297,0.262,0.266,0.197,0.169,0.099
"P07","Casi siempre",0.431,0.447,0.328,0.367,0.377,0.295
"P07","Casi nunca",0.202,0.208,0.303,0.292,0.323,0.371
"P07","Nunca, pero esta es una excepción",0.07,0.083,0.103,0.144,0.131,0.235
"P08","Tiene Decidido que va a ir a votar",0.906,0.864,0.824,0.78,0.776,0.63
"P08","Tiene dudas sobre si va a ir a  votar",0.064,0.09,0.128,0.163,0.184,0.221
"P08","Tiene Decidido que no va a ir a votar",0.03,0.046,0.048,0.057,0.04,0.149
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.662,0.076,0.041,0.133,0.214,0.111
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.18,0.032,0.026,0.076,0.165,0.059
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.068,0.552,0.051,0.144,0.051,0.104
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.04,0.279,0.035,0.027,0.037,0.07
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.037,0.04,0.778,0.071,0.189,0.11
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.004,0.001,0.005,0.435,0.008,0.015
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.001,0.014,0.013,0.05,0.041
"P19","Otros",0.003,0.005,0.031,0.051,0.251,0.075
"P19","En blanco",0.002,0.006,0.003,0.044,0.011,0.061
"P19","No sabe",0.003,0.008,0.016,0.006,0.024,0.354
"P22","Totalmente seguro",0.726,0.634,0.72,0.459,0.476,0.143
"P22","Bastante seguro",0.159,0.203,0.116,0.204,0.239,0.121
"P22","Algo seguro",0.067,0.103,0.116,0.178,0.153,0.238
"P22","Para nada seguro",0.048,0.06,0.048,0.159,0.132,0.498
