"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.508,0.397,0.46,0.305
"P06","Bastante",0.383,0.401,0.315,0.31
"P06","Poco",0.083,0.144,0.14,0.249
"P06","Nada",0.02,0.051,0.072,0.088
"P06","No sabe",0.006,0.007,0.013,0.048
"P07","Siempre",0.287,0.283,0.329,0.216
"P07","Casi siempre",0.485,0.469,0.398,0.348
"P07","Casi nunca",0.171,0.176,0.232,0.34
"P07","Nunca, pero esta es una excepción",0.057,0.072,0.041,0.096
"P08","Tiene Decidido que va a ir a votar",0.92,0.885,0.819,0.757
"P08","Tiene dudas sobre si va a ir a  votar",0.063,0.091,0.14,0.218
"P08","Tiene Decidido que no va a ir a votar",0.017,0.024,0.041,0.025
"P10","Unión por la Patria",0.766,0.075,0.21,0.134
"P10","Juntos por el Cambio",0.122,0.652,0.123,0.255
"P10","Liberales",0.023,0.199,0.425,0.256
"P10","Izquierda",0.024,0.006,0.083,0.03
"P10","Otro",0.032,0.023,0.067,0.071
"P10","No sabe",0.033,0.045,0.092,0.254
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.687,0.008,0.133,0.079
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.175,0.009,0.095,0.052
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.034,0.574,0.066,0.057
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.039,0.186,0.109,0.204
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.023,0.2,0.421,0.332
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.002,0.039,0.014
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.007,0.026,0.028
"P19","Otros",0.011,0.005,0.063,0.077
"P19","En blanco",0.002,0.002,0.034,0.007
"P19","No sabe",0.009,0.007,0.014,0.15
"P22","Totalmente seguro",0.699,0.646,0.636,0.484
"P22","Bastante seguro",0.181,0.185,0.107,0.129
"P22","Algo seguro",0.082,0.121,0.15,0.126
"P22","Para nada seguro",0.038,0.048,0.107,0.261
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.524,0.034,0.094,0.09
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.232,0.013,0.087,0.059
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.05,0.517,0.168,0.157
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.052,0.225,0.117,0.198
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.077,0.175,0.372,0.23
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.001,0.043,0.007
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.006,0.016,0.017
"P29","Otros",0.023,0.009,0.05,0.085
"P29","En blanco",0.008,0.003,0.051,0.013
"P29","No sabe",0.01,0.017,0.002,0.144
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.822,0.012,0.12,0.088
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.052,0.717,0.115,0.141
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.036,0.21,0.478,0.275
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.027,0.017,0.098,0.024
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.007,0.044,0.073
"P34","Otros",0.021,0.017,0.061,0.158
"P34","En blanco",0.009,0.005,0.036,0.041
"P34","No sabe",0.02,0.015,0.048,0.2
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.814,0.015,0.163,0.092
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.068,0.587,0.169,0.205
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.032,0.287,0.455,0.273
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.031,0.005,0.062,0.021
"P35","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.012,0.016,0.053
"P35","Otros",0.016,0.026,0.054,0.123
"P35","En blanco",0.005,0.027,0.039,0.053
"P35","No sabe",0.025,0.041,0.042,0.18
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.152,0.704,0.1,0.096
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.26,0.487,0.328
"P37","En blanco",0.565,0.014,0.372,0.127
"P37","No sabe",0.218,0.022,0.041,0.449
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.872,0.054,0.111,0.071
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.067,0.739,0.16,0.285
"P38","En blanco",0.031,0.122,0.663,0.098
"P38","No sabe",0.03,0.085,0.066,0.546
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.229,0.524,0.197,0.229
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.372,0.472,0.268
"P39","En blanco",0.5,0.053,0.295,0.079
"P39","No sabe",0.218,0.051,0.036,0.424
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.908,0.045,0.107,0.076
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.553,0.473,0.376
"P40","En blanco",0.019,0.232,0.34,0.044
"P40","No sabe",0.029,0.17,0.08,0.504
