"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.384,0.44,0.545,0.361
"P06","Bastante",0.415,0.344,0.342,0.418
"P06","Poco",0.157,0.146,0.065,0.147
"P06","Nada",0.038,0.067,0.031,0.052
"P06","No sabe",0.006,0.003,0.017,0.022
"P07","Siempre",0.299,0.271,0.289,0.269
"P07","Casi siempre",0.459,0.426,0.469,0.478
"P07","Casi nunca",0.174,0.218,0.188,0.202
"P07","Nunca, pero esta es una excepción",0.068,0.085,0.054,0.051
"P08","Tiene Decidido que va a ir a votar",0.909,0.855,0.888,0.867
"P08","Tiene dudas sobre si va a ir a  votar",0.071,0.113,0.095,0.107
"P08","Tiene Decidido que no va a ir a votar",0.02,0.032,0.017,0.026
"P10","Unión por la Patria",0.163,0.142,0.753,0.493
"P10","Juntos por el Cambio",0.734,0.162,0.097,0.18
"P10","Liberales",0.038,0.588,0.027,0.062
"P10","Izquierda",0.005,0.021,0.045,0.018
"P10","Otro",0.022,0.038,0.036,0.056
"P10","No sabe",0.038,0.049,0.042,0.191
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.092,0.072,0.62,0.576
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.03,0.022,0.209,0.085
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.617,0.122,0.016,0.061
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.203,0.098,0.043,0.099
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.033,0.634,0.022,0.043
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.003,0.002,0.029,0.011
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.007,0.017,0.009,0.011
"P19","Otros",0.007,0.019,0.022,0.034
"P19","En blanco",0.003,0.002,0.01,0.007
"P19","No sabe",0.005,0.012,0.02,0.073
"P22","Totalmente seguro",0.651,0.685,0.726,0.454
"P22","Bastante seguro",0.193,0.129,0.142,0.269
"P22","Algo seguro",0.106,0.13,0.082,0.13
"P22","Para nada seguro",0.05,0.056,0.05,0.147
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.076,0.072,0.455,0.493
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.033,0.048,0.264,0.12
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.477,0.327,0.048,0.072
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.251,0.084,0.063,0.097
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.129,0.399,0.054,0.086
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.006,0.001,0.029,0.021
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.007,0.004,0.008,0.011
"P29","Otros",0.002,0.034,0.041,0.032
"P29","En blanco",0.004,0.012,0.023,0.007
"P29","No sabe",0.015,0.019,0.015,0.061
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.091,0.081,0.769,0.604
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.796,0.159,0.04,0.062
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.051,0.691,0.013,0.028
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.01,0.013,0.06,0.054
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.012,0.014,0.022,0.027
"P34","Otros",0.018,0.022,0.04,0.088
"P34","En blanco",0.007,0.002,0.029,0.018
"P34","No sabe",0.015,0.018,0.027,0.119
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.096,0.095,0.79,0.583
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.656,0.152,0.06,0.117
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.11,0.704,0.016,0.043
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0.003,0.038,0.032
"P35","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.013,0.016,0.016
"P35","Otros",0.031,0.005,0.035,0.076
"P35","En blanco",0.031,0.002,0.027,0.011
"P35","No sabe",0.045,0.026,0.018,0.122
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.152,0.123,0.823,0.662
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.809,0.562,0.022,0.078
"P36","En blanco",0.023,0.21,0.124,0.029
"P36","No sabe",0.016,0.105,0.031,0.231
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.159,0.117,0.799,0.6
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.688,0.453,0.052,0.128
"P38","En blanco",0.082,0.305,0.13,0.035
"P38","No sabe",0.071,0.125,0.019,0.237
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.675,0.128,0.171,0.187
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.169,0.788,0.025,0.077
"P39","En blanco",0.09,0.044,0.723,0.08
"P39","No sabe",0.066,0.04,0.081,0.656
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.165,0.084,0.828,0.648
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.369,0.841,0.028,0.05
"P40","En blanco",0.262,0.034,0.126,0.028
"P40","No sabe",0.204,0.041,0.018,0.274
"P50","Lo votaría",0.133,0.073,0.799,0.604
"P50","Puede que lo vote",0.079,0.144,0.07,0.082
"P50","Nunca lo votaría",0.762,0.748,0.107,0.156
"P50","No sabe",0.026,0.035,0.024,0.158
"P51","Lo votaría",0.076,0.068,0.582,0.356
"P51","Puede que lo vote",0.053,0.072,0.224,0.228
"P51","Nunca lo votaría",0.86,0.848,0.155,0.264
"P51","No sabe",0.011,0.012,0.039,0.152
"P52","Lo votaría",0.727,0.206,0.056,0.101
"P52","Puede que lo vote",0.104,0.354,0.059,0.081
"P52","Nunca lo votaría",0.16,0.411,0.863,0.663
"P52","No sabe",0.009,0.029,0.022,0.155
"P53","Lo votaría",0.535,0.214,0.036,0.122
"P53","Puede que lo vote",0.262,0.245,0.086,0.088
"P53","Nunca lo votaría",0.171,0.506,0.856,0.635
"P53","No sabe",0.032,0.035,0.022,0.155
"P54","Lo votaría",0.145,0.694,0.02,0.087
"P54","Puede que lo vote",0.277,0.164,0.05,0.033
"P54","Nunca lo votaría",0.532,0.118,0.92,0.749
"P54","No sabe",0.046,0.024,0.01,0.131
"P55","Lo votaría",0.037,0.096,0.119,0.039
"P55","Puede que lo vote",0.058,0.079,0.348,0.235
"P55","Nunca lo votaría",0.888,0.777,0.497,0.56
"P55","No sabe",0.017,0.048,0.036,0.166
"P56","Lo votaría",0.042,0.051,0.031,0.02
"P56","Puede que lo vote",0.172,0.16,0.231,0.179
"P56","Nunca lo votaría",0.743,0.719,0.688,0.598
"P56","No sabe",0.043,0.07,0.05,0.203
"P60","Si",0.521,0.513,0.547,0.473
"P60","No",0.479,0.487,0.453,0.527
