"var","categoria","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero","No sabe"
"P08","Del Frente de Todos y el peronismo",0.052,0.065,0.05,0.791,0.722,0.511,0.21,0.146,0,0.106
"P08","De Juntos por el cambio",0.69,0.469,0.175,0.057,0.045,0.135,0.566,0.018,0,0.057
"P08","De los Liberales libertarios",0.17,0.228,0.58,0.01,0.062,0.176,0.138,0.039,0.452,0.267
"P08","De la Izquierda",0.003,0.02,0.02,0.024,0.024,0.178,0.009,0.74,0.056,0.04
"P08","No sabe",0.085,0.218,0.175,0.118,0.147,0,0.077,0.057,0.492,0.53
"P09","A Sergio Massa",0.371,0.615,0.638,0.16,0.318,0.162,0.431,0,0,0.244
"P09","A Daniel Scioli",0.051,0.116,0.155,0.139,0.161,0.046,0,0.606,0,0.055
"P09","A algún candidato del peronismo",0.578,0.049,0.087,0.096,0.239,0.191,0.133,0,0,0.038
"P09","A algún candidato del kirchnerismo",0,0.22,0.12,0.605,0.282,0.601,0.436,0.394,0,0.663
"P10","A Horacio Rodriguez Larreta",0.105,0.119,0.277,0.025,0,0.68,0.296,0,0,0.312
"P10","A Patricia Bullrich",0.73,0.843,0.522,0.975,0.937,0.263,0.586,1,0,0.655
"P10","A Facundo Manes",0.078,0.022,0.16,0,0.063,0,0.105,0,0,0.033
"P10","A Gerardo Morales",0.087,0.016,0.041,0,0,0.057,0.013,0,0,0
"P11","Alfredo Cornejo por Cambia Mendoza",0.722,0.126,0.156,0.091,0.072,0.067,0.494,0.057,0.125,0.062
"P11","Luis Petri por Cambia Mendoza",0.113,0.689,0.064,0.034,0.029,0.055,0.088,0.072,0,0.049
"P11","Omar De Marchi por La Unión Mendocina",0.05,0.043,0.479,0.106,0.071,0.316,0.067,0.075,0.216,0.053
"P11","Omar Parisi por Elegí Mendoza",0.015,0.021,0.026,0.428,0.056,0.019,0.049,0,0,0.026
"P11","Guillermo Carmona por Elegí Mendoza",0.012,0.037,0.019,0.122,0.584,0.107,0.023,0.012,0,0.028
"P11","Nicolás Guillén por Elegí Mendoza",0.011,0.01,0.018,0.005,0,0.192,0.018,0.036,0,0
"P11","Alfredo Guevara por Elegí Mendoza",0.015,0.012,0.011,0.042,0.014,0,0.189,0.033,0,0.011
"P11","Lautaro Giménez por el Frente de Izquierda",0.007,0.006,0.006,0.014,0,0.186,0,0.616,0,0.062
"P11","Victor da Vila por el Frente de Izquierda",0.004,0.004,0,0.006,0.011,0.058,0,0.099,0.509,0.018
"P11","No sabe",0.051,0.052,0.221,0.152,0.163,0,0.072,0,0.15,0.691
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.541,0.127,0.15,0.077,0.089,0.289,0.441,0.128,0.125,0.133
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.254,0.68,0.196,0.06,0.054,0.055,0.164,0.018,0,0.136
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.092,0.098,0.328,0.197,0.189,0.125,0.094,0.06,0,0.076
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.051,0.026,0.105,0.389,0.133,0.104,0.043,0.012,0.45,0.024
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.011,0.028,0.01,0.129,0.445,0.041,0.025,0.015,0,0.01
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.022,0.011,0.051,0.039,0.012,0.132,0.01,0.039,0,0.012
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.011,0.004,0.016,0.024,0.011,0,0.137,0.012,0,0.006
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0,0.003,0,0.001,0.003,0.188,0.012,0.608,0,0
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0,0.005,0.015,0,0.004,0.058,0.005,0.084,0.318,0.018
"P14","No sabe",0.018,0.018,0.129,0.084,0.06,0.008,0.069,0.024,0.107,0.585
"P20","Lo votaría",0.829,0.267,0.184,0.136,0.029,0.096,0.512,0,0.153,0.101
"P20","Puede que lo vote",0.122,0.301,0.169,0.102,0.047,0.115,0.109,0.049,0.205,0.118
"P20","Nunca lo votaría",0.032,0.312,0.5,0.652,0.792,0.73,0.278,0.867,0.575,0.491
"P20","No sabe",0.017,0.12,0.147,0.11,0.132,0.059,0.101,0.084,0.067,0.29
"P21","Lo votaría",0.263,0.705,0.103,0.084,0.029,0.043,0.159,0,0,0.067
"P21","Puede que lo vote",0.306,0.195,0.238,0.077,0.213,0.111,0.264,0.013,0.064,0.166
"P21","Nunca lo votaría",0.335,0.054,0.458,0.641,0.589,0.482,0.406,0.9,0.738,0.366
"P21","No sabe",0.096,0.046,0.201,0.198,0.169,0.364,0.171,0.087,0.198,0.401
"P22","Lo votaría",0.061,0.093,0.47,0.105,0.051,0.122,0.086,0.076,0,0.043
"P22","Puede que lo vote",0.217,0.23,0.213,0.119,0.302,0.072,0.193,0,0.252,0.129
"P22","Nunca lo votaría",0.634,0.545,0.147,0.63,0.466,0.747,0.615,0.879,0.604,0.394
"P22","No sabe",0.088,0.132,0.17,0.146,0.181,0.059,0.106,0.045,0.144,0.434
"P23","Lo votaría",0.017,0.035,0.068,0.5,0.114,0.037,0.017,0,0.416,0.018
"P23","Puede que lo vote",0.069,0.091,0.117,0.09,0.346,0.189,0.175,0.013,0.186,0.071
"P23","Nunca lo votaría",0.814,0.715,0.58,0.224,0.336,0.523,0.62,0.818,0.398,0.44
"P23","No sabe",0.1,0.159,0.235,0.186,0.204,0.251,0.188,0.169,0,0.471
"P24","Lo votaría",0.027,0.019,0.057,0.202,0.504,0.172,0.039,0.062,0,0
"P24","Puede que lo vote",0.069,0.048,0.07,0.314,0.17,0.098,0.209,0.029,0.289,0.093
