"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P08","Del Frente de Todos y el peronismo",0.909,0.511,0.15,0.216
"P08","De Juntos por el cambio",0.019,0.099,0.446,0.225
"P08","De los Liberales libertarios",0.014,0.194,0.277,0.285
"P08","De la Izquierda",0,0.019,0.032,0.016
"P08","No sabe",0.058,0.177,0.095,0.258
"P09","A Sergio Massa",0.252,0.439,0.272,0.233
"P09","A Daniel Scioli",0.218,0.181,0.06,0.081
"P09","A algún candidato del peronismo",0.198,0.062,0.129,0.17
"P09","A algún candidato del kirchnerismo",0.332,0.318,0.539,0.516
"P10","A Horacio Rodriguez Larreta",0,0.113,0.124,0.248
"P10","A Patricia Bullrich",1,0.631,0.696,0.66
"P10","A Facundo Manes",0,0.256,0.08,0.084
"P10","A Gerardo Morales",0,0,0.1,0.008
"P11","Alfredo Cornejo por Cambia Mendoza",0.01,0.062,0.366,0.227
"P11","Luis Petri por Cambia Mendoza",0.019,0.081,0.175,0.118
"P11","Omar De Marchi por La Unión Mendocina",0.072,0.116,0.182,0.151
"P11","Omar Parisi por Elegí Mendoza",0.23,0.194,0.07,0.076
"P11","Guillermo Carmona por Elegí Mendoza",0.495,0.211,0.039,0.067
"P11","Nicolás Guillén por Elegí Mendoza",0.026,0.012,0.017,0.018
"P11","Alfredo Guevara por Elegí Mendoza",0.101,0.076,0.016,0.025
"P11","Lautaro Giménez por el Frente de Izquierda",0.004,0,0.018,0.017
"P11","Victor da Vila por el Frente de Izquierda",0.031,0,0.012,0.011
"P11","No sabe",0.012,0.248,0.105,0.29
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.046,0.057,0.298,0.21
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.009,0.135,0.272,0.208
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.141,0.172,0.189,0.179
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.225,0.222,0.096,0.109
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.466,0.186,0.014,0.054
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.027,0.083,0.017,0.043
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.074,0.059,0.018,0.007
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0,0,0.014,0.007
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.006,0.009,0.009,0.006
"P14","No sabe",0.006,0.077,0.073,0.177
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.009,0.067,0.326,0.168
