"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P30","Puede que la vote",0.054,0.303,0.092,0.029
"P30","Nunca la votaría",0.606,0.429,0.732,0.085
"P30","No sabe",0.203,0.222,0.111,0.848
"P32","Lo votaría",0.085,0.117,0.096,0.019
"P32","Puede que lo vote",0.095,0.187,0.087,0.029
"P32","Nunca lo votaría",0.675,0.514,0.79,0.136
"P32","No sabe",0.145,0.182,0.027,0.816
"P33","La votaría",0.045,0.072,0.06,0.01
"P33","Puede que la vote",0.056,0.223,0.055,0.035
"P33","Nunca la votaría",0.687,0.493,0.769,0.111
"P33","No sabe",0.212,0.212,0.116,0.844
"P34","La votaría",0.04,0.018,0.039,0.028
"P34","Puede que la vote",0.024,0.185,0.03,0.037
"P34","Nunca la votaría",0.769,0.444,0.772,0.115
"P34","No sabe",0.167,0.353,0.159,0.82
"P35","La votaría",0.055,0.003,0.019,0.021
"P35","Puede que la vote",0.022,0.203,0.047,0.035
"P35","Nunca la votaría",0.692,0.467,0.765,0.13
"P35","No sabe",0.231,0.327,0.169,0.814
"P36","La votaría",0.063,0.041,0.047,0.028
"P36","Puede que la vote",0.038,0.221,0.062,0.071
"P36","Nunca la votaría",0.787,0.571,0.833,0.382
"P36","No sabe",0.112,0.167,0.058,0.519
"P37","La votaría",0.031,0.008,0.005,0.018
"P37","Puede que la vote",0.052,0.134,0.021,0.024
"P37","Nunca la votaría",0.718,0.516,0.819,0.237
"P37","No sabe",0.199,0.342,0.155,0.721
"P38","Muy buena",0.275,0.158,0.255,0.183
"P38","Buena",0.048,0.307,0.144,0.132
"P38","Ni buena ni mala",0.159,0.169,0.189,0.227
"P38","Mala",0.227,0.191,0.15,0.193
"P38","Muy mala",0.291,0.175,0.249,0.168
"P38","No sabe",0,0,0.013,0.097
"P39","Muy buena",0.221,0.198,0.195,0.124
"P39","Buena",0.206,0.318,0.18,0.135
"P39","Ni buena ni mala",0.296,0.325,0.297,0.279
"P39","Mala",0.135,0.069,0.105,0.173
"P39","Muy mala",0.085,0.057,0.174,0.057
"P39","No sabe",0.057,0.033,0.049,0.232
"P40","Muy buena",0.513,0.119,0.081,0.07
"P40","Buena",0.256,0.344,0.108,0.197
"P40","Ni buena ni mala",0.158,0.399,0.28,0.375
"P40","Mala",0.038,0.057,0.239,0.104
"P40","Muy mala",0.026,0.037,0.259,0.071
"P40","No sabe",0.009,0.044,0.033,0.183
"P41","Muy buena",0.078,0.064,0.084,0.012
"P41","Buena",0.101,0.231,0.081,0.051
"P41","Ni buena ni mala",0.322,0.309,0.297,0.417
"P41","Mala",0.189,0.219,0.221,0.111
"P41","Muy mala",0.248,0.054,0.23,0.066
"P41","No sabe",0.062,0.123,0.087,0.343
"P42","Muy buena",0.104,0.107,0.082,0.031
"P42","Buena",0.101,0.224,0.092,0.088
"P42","Ni buena ni mala",0.277,0.217,0.235,0.304
"P42","Mala",0.193,0.196,0.273,0.128
"P42","Muy mala",0.27,0.159,0.255,0.089
"P42","No sabe",0.055,0.097,0.063,0.36
"P43","Muy buena",0.077,0.024,0.021,0.01
"P43","Buena",0.025,0.143,0.032,0.024
"P43","Ni buena ni mala",0.388,0.294,0.343,0.332
"P43","Mala",0.16,0.154,0.198,0.116
"P43","Muy mala",0.22,0.079,0.208,0.045
"P43","No sabe",0.13,0.306,0.198,0.473
"P44","Muy buena",0.026,0.02,0.046,0.015
"P44","Buena",0.067,0.101,0.044,0.019
"P44","Ni buena ni mala",0.35,0.26,0.288,0.27
"P44","Mala",0.134,0.215,0.193,0.104
"P44","Muy mala",0.245,0.107,0.252,0.066
"P44","No sabe",0.178,0.297,0.177,0.526
"P45","Muy buena",0.022,0.035,0.034,0.007
"P45","Buena",0.027,0.13,0.03,0.012
"P45","Ni buena ni mala",0.435,0.238,0.314,0.288
"P45","Mala",0.091,0.167,0.197,0.115
"P45","Muy mala",0.289,0.086,0.218,0.072
"P45","No sabe",0.136,0.344,0.207,0.506
"P46","Muy buena",0.044,0.02,0.012,0.017
"P46","Buena",0.007,0.078,0.018,0.022
"P46","Ni buena ni mala",0.431,0.244,0.311,0.297
"P46","Mala",0.089,0.175,0.17,0.084
"P46","Muy mala",0.233,0.081,0.213,0.04
"P46","No sabe",0.196,0.402,0.276,0.54
"P47","Muy buena",0.03,0.074,0.077,0.032
"P47","Buena",0.036,0.171,0.07,0.103
"P47","Ni buena ni mala",0.431,0.25,0.304,0.229
"P47","Mala",0.096,0.154,0.127,0.079
"P47","Muy mala",0.276,0.125,0.233,0.066
"P47","No sabe",0.131,0.226,0.189,0.491
"P48","Muy buena",0.031,0.025,0.037,0.004
"P48","Buena",0.086,0.073,0.058,0.013
"P48","Ni buena ni mala",0.382,0.349,0.368,0.315
"P48","Mala",0.068,0.115,0.147,0.103
"P48","Muy mala",0.243,0.068,0.186,0.021
"P48","No sabe",0.19,0.37,0.204,0.544
"P49","Muy buena",0.494,0.029,0.014,0.041
"P49","Buena",0.216,0.397,0.038,0.021
"P49","Ni buena ni mala",0.203,0.406,0.284,0.33
"P49","Mala",0.02,0.062,0.22,0.109
"P49","Muy mala",0.043,0.032,0.317,0.03
"P49","No sabe",0.024,0.074,0.127,0.469
"P50","Muy buena",0.073,0.11,0.109,0.029
"P50","Buena",0.098,0.116,0.053,0.04
"P50","Ni buena ni mala",0.289,0.247,0.226,0.255
"P50","Mala",0.121,0.153,0.203,0.115
"P50","Muy mala",0.321,0.216,0.269,0.071
"P50","No sabe",0.098,0.158,0.14,0.49
"P51","Muy buena",0.026,0.06,0.047,0.001
"P51","Buena",0.083,0.094,0.064,0.03
"P51","Ni buena ni mala",0.351,0.349,0.304,0.288
"P51","Mala",0.15,0.094,0.15,0.109
"P51","Muy mala",0.236,0.075,0.209,0.052
"P51","No sabe",0.154,0.328,0.226,0.52
"P52","Muy buena",0.031,0.049,0.037,0.037
"P52","Buena",0,0.055,0.014,0.008
"P52","Ni buena ni mala",0.408,0.307,0.317,0.279
"P52","Mala",0.168,0.073,0.147,0.089
"P52","Muy mala",0.177,0.051,0.201,0.041
"P52","No sabe",0.216,0.465,0.284,0.546
"P53","Muy buena",0.027,0.013,0.014,0.009
"P53","Buena",0,0.049,0.041,0.041
"P53","Ni buena ni mala",0.383,0.308,0.331,0.277
"P53","Mala",0.191,0.109,0.114,0.089
"P53","Muy mala",0.193,0.054,0.222,0.026
"P53","No sabe",0.206,0.467,0.278,0.558
"P54","Muy buena",0.037,0.061,0.038,0.008
"P54","Buena",0.134,0.126,0.061,0.08
"P54","Ni buena ni mala",0.211,0.272,0.228,0.256
"P54","Mala",0.139,0.17,0.239,0.192
"P54","Muy mala",0.414,0.208,0.307,0.144
"P54","No sabe",0.065,0.163,0.127,0.32
"P55","Muy buena",0.023,0.033,0.007,0
"P55","Buena",0.082,0.073,0.009,0.017
"P55","Ni buena ni mala",0.419,0.267,0.311,0.274
"P55","Mala",0.114,0.083,0.154,0.12
"P55","Muy mala",0.155,0.079,0.225,0.065
"P55","No sabe",0.207,0.465,0.294,0.524
"P56","Si",0.622,0.513,0.507,0.477
"P56","No",0.378,0.487,0.493,0.523
