"var","categoria","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero"
"P08","Del Frente de Todos y el peronismo",0.049,0.058,0.053,0.728,0.712,0.511,0.186,0.117,0
"P08","De Juntos por el cambio",0.666,0.432,0.151,0.05,0.043,0.135,0.5,0.015,0
"P08","De los Liberales libertarios",0.177,0.213,0.564,0.031,0.059,0.176,0.138,0.031,0.314
"P08","De la Izquierda",0.003,0.018,0.031,0.021,0.022,0.178,0.014,0.593,0.039
"P08","No sabe",0.105,0.279,0.201,0.17,0.164,0,0.162,0.244,0.647
"P09","A Sergio Massa",0.371,0.615,0.529,0.168,0.313,0.162,0.439,0,0
"P09","A Daniel Scioli",0.051,0.116,0.162,0.131,0.157,0.046,0,0.606,0
"P09","A algún candidato del peronismo",0.578,0.049,0.068,0.095,0.232,0.191,0.131,0,0
"P09","A algún candidato del kirchnerismo",0,0.22,0.241,0.606,0.298,0.601,0.43,0.394,0
"P10","A Horacio Rodriguez Larreta",0.113,0.116,0.276,0.025,0,0.68,0.295,0,0
"P10","A Patricia Bullrich",0.726,0.842,0.524,0.975,0.937,0.263,0.59,1,0
"P10","A Facundo Manes",0.077,0.026,0.159,0,0.063,0,0.103,0,0
"P10","A Gerardo Morales",0.084,0.016,0.041,0,0,0.057,0.012,0,0
"P11_imputadas","Alfredo Cornejo por Cambia Mendoza",0.74,0.16,0.204,0.114,0.178,0.067,0.468,0.046,0.256
"P11_imputadas","Luis Petri por Cambia Mendoza",0.121,0.65,0.139,0.066,0.033,0.055,0.086,0.107,0.157
"P11_imputadas","Omar De Marchi por La Unión Mendocina",0.055,0.05,0.532,0.132,0.08,0.316,0.114,0.06,0.189
"P11_imputadas","Omar Parisi por Elegí Mendoza",0.028,0.022,0.035,0.468,0.104,0.019,0.123,0,0
"P11_imputadas","Guillermo Carmona por Elegí Mendoza",0.016,0.076,0.031,0.135,0.558,0.107,0.022,0.01,0.045
"P11_imputadas","Nicolás Guillén por Elegí Mendoza",0.01,0.009,0.024,0.004,0.004,0.192,0.016,0.028,0
"P11_imputadas","Alfredo Guevara por Elegí Mendoza",0.014,0.011,0.017,0.057,0.032,0,0.171,0.026,0
"P11_imputadas","Lautaro Giménez por el Frente de Izquierda",0.007,0.006,0.018,0.012,0,0.186,0,0.644,0
"P11_imputadas","Victor da Vila por el Frente de Izquierda",0.009,0.016,0,0.012,0.011,0.058,0,0.079,0.353
"P14_imputadas","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.542,0.121,0.174,0.083,0.111,0.289,0.483,0.102,0.087
