"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P11","Alfredo Cornejo por Cambia Mendoza",0.105,0.017,0.095,0.041
"P11","Luis Petri por Cambia Mendoza",0.028,0.063,0.003,0.036
"P11","Omar De Marchi por La Unión Mendocina",0.173,0.272,0.148,0.087
"P11","Omar Parisi por Elegí Mendoza",0.246,0.149,0.219,0.384
"P11","Guillermo Carmona por Elegí Mendoza",0.224,0.433,0.178,0.178
"P11","Nicolás Guillén por Elegí Mendoza",0.015,0.012,0.014,0.013
"P11","Alfredo Guevara por Elegí Mendoza",0.084,0,0.049,0.089
"P11","Lautaro Giménez por el Frente de Izquierda",0.002,0,0,0.038
"P11","Victor da Vila por el Frente de Izquierda",0,0,0,0.006
"P11","No sabe",0.123,0.054,0.294,0.128
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.075,0.172,0.189,0.073
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.02,0.003,0.008,0.03
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.29,0.257,0.213,0.163
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.218,0.19,0.169,0.399
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.226,0.304,0.082,0.163
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.022,0,0.012,0.021
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.059,0,0.027,0.039
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.004,0.056,0,0.011
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0,0.005,0,0
"P14","No sabe",0.086,0.013,0.3,0.101
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.068,0.019,0.185,0
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.064,0.025,0.009,0.013
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.125,0.063,0.029,0.014
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.288,0.519,0.302,0.634
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.271,0.284,0.353,0.14
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.023,0.014,0.048,0.051
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.116,0,0.062,0.068
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0,0.055,0,0.01
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0,0,0,0
"P17","No sabe",0.045,0.021,0.012,0.07
"P20","Lo votaría",0.135,0.109,0.116,0.037
"P20","Puede que lo vote",0.023,0.131,0.144,0.078
"P20","Nunca lo votaría",0.761,0.693,0.67,0.836
"P20","No sabe",0.081,0.067,0.07,0.049
"P21","Lo votaría",0.137,0.173,0.027,0.043
"P21","Puede que lo vote",0.173,0.05,0.065,0.08
"P21","Nunca lo votaría",0.558,0.663,0.68,0.686
"P21","No sabe",0.132,0.114,0.228,0.191
"P22","Lo votaría",0.189,0.114,0.102,0.054
"P22","Puede que lo vote",0.203,0.135,0.172,0.104
"P22","Nunca lo votaría",0.456,0.636,0.518,0.749
"P22","No sabe",0.152,0.115,0.208,0.093
"P23","Lo votaría",0.322,0.348,0.184,0.44
"P23","Puede que lo vote",0.301,0.271,0.193,0.141
"P23","Nunca lo votaría",0.268,0.346,0.378,0.223
"P23","No sabe",0.109,0.035,0.245,0.196
"P24","Lo votaría",0.389,0.37,0.343,0.287
