"var","categoria","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda","No sabe"
"P08","Del Frente de Todos y el peronismo",0.102,0.023,0.309,0.632,0.732,0.163,0.418,0.165,0.021,0.172
"P08","De Juntos por el cambio",0.577,0.485,0.223,0.099,0.049,0.121,0.172,0.115,0.165,0.039
"P08","De los Liberales libertarios",0.191,0.331,0.317,0.128,0.085,0.385,0.133,0.048,0.321,0.284
"P08","De la Izquierda",0.017,0.01,0.001,0.019,0.025,0,0.184,0.672,0.258,0.034
"P08","No sabe",0.113,0.151,0.15,0.122,0.109,0.331,0.093,0,0.235,0.471
"P09","A Sergio Massa",0.201,0.291,0.377,0.22,0.348,0.364,0.449,0.086,0,0.207
"P09","A Daniel Scioli",0.207,0.022,0.149,0.086,0.209,0,0,0.547,1,0.014
"P09","A algún candidato del peronismo",0.301,0.064,0.164,0.101,0.075,0.118,0.121,0,0,0.424
"P09","A algún candidato del kirchnerismo",0.291,0.623,0.31,0.593,0.368,0.518,0.43,0.367,0,0.355
"P10","A Horacio Rodriguez Larreta",0.238,0.073,0.184,0.052,0,0.047,0.055,0.878,0.582,0.05
"P10","A Patricia Bullrich",0.612,0.888,0.572,0.421,1,0.892,0.895,0.122,0.295,0.95
"P10","A Facundo Manes",0.101,0.026,0.155,0.084,0,0.061,0.05,0,0,0
"P10","A Gerardo Morales",0.049,0.013,0.089,0.443,0,0,0,0,0.123,0
"P11","Alfredo Cornejo por Cambia Mendoza",0.688,0.265,0.137,0.129,0.026,0.254,0.193,0.06,0.034,0.067
"P11","Luis Petri por Cambia Mendoza",0.045,0.453,0.059,0.042,0.039,0.095,0.018,0.074,0.061,0.005
"P11","Omar De Marchi por La Unión Mendocina",0.097,0.115,0.497,0.121,0.045,0.33,0.126,0.121,0.021,0.015
"P11","Omar Parisi por Elegí Mendoza",0.016,0.021,0.098,0.424,0.105,0.035,0.048,0,0,0.016
"P11","Guillermo Carmona por Elegí Mendoza",0.018,0.05,0.055,0.048,0.673,0.058,0.023,0,0.021,0.018
"P11","Nicolás Guillén por Elegí Mendoza",0.017,0.005,0.007,0.032,0.002,0.102,0,0.034,0,0.001
"P11","Alfredo Guevara por Elegí Mendoza",0.017,0.001,0.026,0.042,0.006,0,0.585,0.043,0,0.014
"P11","Lautaro Giménez por el Frente de Izquierda",0.013,0,0.01,0.002,0.003,0,0,0.644,0.118,0.056
"P11","Victor da Vila por el Frente de Izquierda",0,0,0,0.021,0.019,0,0,0.015,0.372,0.014
"P11","No sabe",0.089,0.09,0.111,0.139,0.082,0.126,0.007,0.009,0.373,0.794
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.511,0.279,0.129,0.104,0.044,0.17,0.118,0,0,0.035
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.051,0.316,0.058,0.023,0.046,0.036,0.018,0.017,0.043,0.015
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.139,0.212,0.452,0.21,0.039,0.396,0.162,0,0.319,0.245
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.045,0.041,0.171,0.495,0.31,0.193,0.155,0.013,0,0.1
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.024,0.017,0.077,0.078,0.495,0.026,0.034,0.015,0.024,0.033
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.022,0.005,0.014,0.017,0.013,0.085,0,0.227,0.104,0.001
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.138,0.06,0.044,0.029,0.032,0.026,0.476,0.058,0.038,0.044
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.009,0.001,0.006,0.002,0.004,0.023,0.009,0.67,0.139,0.003
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0.003,0,0,0.019,0,0,0,0,0.149,0.004
"P17","No sabe",0.058,0.069,0.049,0.023,0.017,0.045,0.028,0,0.184,0.52
"P20","Lo votaría",0.687,0.417,0.157,0.205,0.097,0.202,0.139,0.058,0.168,0.092
"P20","Puede que lo vote",0.109,0.201,0.196,0.1,0.066,0.1,0.092,0.054,0.027,0.129
"P20","Nunca lo votaría",0.15,0.278,0.578,0.556,0.791,0.399,0.563,0.795,0.744,0.49
"P20","No sabe",0.054,0.104,0.069,0.139,0.046,0.299,0.206,0.093,0.061,0.289
"P21","Lo votaría",0.212,0.437,0.086,0.078,0.09,0.193,0.096,0,0.051,0.039
"P21","Puede que lo vote",0.293,0.212,0.221,0.213,0.16,0.114,0.2,0.061,0.055,0.108
"P21","Nunca lo votaría",0.329,0.272,0.558,0.517,0.515,0.401,0.656,0.825,0.645,0.456
"P21","No sabe",0.166,0.079,0.135,0.192,0.235,0.292,0.048,0.114,0.249,0.397
"P22","Lo votaría",0.11,0.126,0.426,0.156,0.032,0.317,0.14,0.018,0.027,0.076
"P22","Puede que lo vote",0.188,0.269,0.214,0.131,0.237,0.085,0.104,0,0.081,0.142
"P22","Nunca lo votaría",0.578,0.499,0.284,0.526,0.554,0.286,0.684,0.982,0.597,0.373
"P22","No sabe",0.124,0.106,0.076,0.187,0.177,0.312,0.072,0,0.295,0.409
"P23","Lo votaría",0.037,0.014,0.132,0.449,0.221,0.295,0.028,0.014,0,0.015
"P23","Puede que lo vote",0.082,0.111,0.156,0.085,0.313,0.037,0.247,0.018,0.137,0.068
"P23","Nunca lo votaría",0.701,0.726,0.585,0.222,0.295,0.289,0.67,0.905,0.791,0.459
"P23","No sabe",0.18,0.149,0.127,0.244,0.171,0.379,0.055,0.063,0.072,0.458
"P24","Lo votaría",0.039,0.008,0.12,0.17,0.517,0.217,0.058,0.09,0,0.012
"P24","Puede que lo vote",0.066,0.059,0.186,0.248,0.195,0.083,0.543,0.034,0.034,0.063
"P24","Nunca lo votaría",0.753,0.809,0.545,0.341,0.165,0.347,0.387,0.862,0.696,0.425
"P24","No sabe",0.142,0.124,0.149,0.241,0.123,0.353,0.012,0.014,0.27,0.5
"P25","Lo votaría",0.036,0.006,0.021,0.059,0.013,0.303,0.107,0.014,0.192,0.002
"P25","Puede que lo vote",0.053,0.019,0.097,0.106,0.181,0.041,0.3,0.03,0.099,0.048
"P25","Nunca lo votaría",0.693,0.824,0.65,0.504,0.503,0.306,0.487,0.943,0.544,0.464
"P25","No sabe",0.218,0.151,0.232,0.331,0.303,0.35,0.106,0.013,0.165,0.486
"P26","Lo votaría",0.024,0.006,0.036,0.046,0.017,0,0.501,0.04,0,0.009
"P26","Puede que lo vote",0.039,0.024,0.086,0.15,0.165,0.186,0.149,0.034,0.1,0.047
"P26","Nunca lo votaría",0.755,0.815,0.66,0.532,0.537,0.429,0.31,0.804,0.543,0.423
"P26","No sabe",0.182,0.155,0.218,0.272,0.281,0.385,0.04,0.122,0.357,0.521
"P27","Lo votaría",0.055,0.005,0.019,0.017,0.003,0,0.088,0.512,0.208,0.008
"P27","Puede que lo vote",0.025,0.013,0.065,0.139,0.091,0.021,0.297,0.013,0.301,0.052
"P27","Nunca lo votaría",0.722,0.824,0.669,0.559,0.571,0.587,0.471,0.387,0.325,0.43
"P27","No sabe",0.198,0.158,0.247,0.285,0.335,0.392,0.144,0.088,0.166,0.51
"P28","Lo votaría",0.019,0.006,0.012,0.031,0.005,0,0.013,0.038,0.277,0.005
"P28","Puede que lo vote",0.051,0.015,0.065,0.074,0.031,0.21,0.114,0.277,0.068,0.06
"P28","Nunca lo votaría",0.732,0.815,0.668,0.588,0.618,0.39,0.563,0.583,0.287,0.495
"P28","No sabe",0.198,0.164,0.255,0.307,0.346,0.4,0.31,0.102,0.368,0.44
"P29","La votaría",0.26,0.097,0.034,0.079,0.018,0.32,0.034,0.273,0.256,0.002
"P29","Puede que la vote",0.116,0.129,0.089,0.053,0.036,0.122,0.175,0,0.076,0.055
"P29","Nunca la votaría",0.443,0.508,0.641,0.552,0.535,0.315,0.632,0.618,0.21,0.449
"P29","No sabe",0.181,0.266,0.236,0.316,0.411,0.243,0.159,0.109,0.458,0.494
"P30","La votaría",0.073,0.134,0.033,0.025,0.008,0.165,0.109,0,0,0.005
"P30","Puede que la vote",0.144,0.11,0.043,0.134,0.085,0.241,0.03,0,0.088,0.055
"P30","Nunca la votaría",0.529,0.498,0.595,0.581,0.557,0.322,0.642,0.781,0.451,0.469
"P30","No sabe",0.254,0.258,0.329,0.26,0.35,0.272,0.219,0.219,0.461,0.471
"P31","Lo votaría",0.064,0.078,0.214,0.077,0.016,0.021,0.062,0,0.04,0.026
"P31","Puede que lo vote",0.175,0.103,0.187,0.142,0.186,0.281,0.152,0,0.085,0.064
"P31","Nunca lo votaría",0.573,0.602,0.421,0.56,0.667,0.288,0.636,0.747,0.416,0.496
"P31","No sabe",0.188,0.217,0.178,0.221,0.131,0.41,0.15,0.253,0.459,0.414
"P32","Lo votaría",0.01,0.013,0.116,0.338,0.184,0.063,0.07,0.024,0,0.008
"P32","Puede que lo vote",0.03,0.049,0.114,0.076,0.373,0.091,0.371,0.052,0.086,0.074
"P32","Nunca lo votaría",0.737,0.758,0.561,0.307,0.27,0.519,0.435,0.726,0.826,0.477
"P32","No sabe",0.223,0.18,0.209,0.279,0.173,0.327,0.124,0.198,0.088,0.441
"P33","La votaría",0.01,0.002,0.038,0.096,0.378,0.044,0.181,0,0.04,0.003
"P33","Puede que la vote",0.018,0.044,0.071,0.145,0.229,0.205,0.219,0,0.084,0.058
"P33","Nunca la votaría",0.713,0.684,0.599,0.478,0.13,0.33,0.497,0.798,0.655,0.416
"P33","No sabe",0.259,0.27,0.292,0.281,0.263,0.421,0.103,0.202,0.221,0.523
"P34","La votaría",0.026,0.02,0.012,0.036,0.071,0.386,0.092,0,0,0
"P34","Puede que la vote",0.031,0.033,0.076,0.067,0.04,0.213,0.11,0.04,0.096,0.051
"P34","Nunca la votaría",0.686,0.655,0.588,0.538,0.308,0.292,0.411,0.515,0.823,0.454
"P34","No sabe",0.257,0.292,0.324,0.359,0.581,0.109,0.387,0.445,0.081,0.495
"P35","La votaría",0.008,0,0.018,0.029,0.017,0,0.289,0,0.272,0.024
"P35","Puede que la vote",0.033,0.028,0.061,0.094,0.091,0.195,0.26,0.284,0.096,0.093
"P35","Nunca la votaría",0.668,0.65,0.616,0.534,0.33,0.543,0.309,0.61,0.436,0.386
"P35","No sabe",0.291,0.322,0.305,0.343,0.562,0.262,0.142,0.106,0.196,0.497
"P36","La votaría",0.027,0.005,0.071,0.077,0.069,0.027,0.189,0.173,0.254,0.014
"P36","Puede que la vote",0.038,0.02,0.121,0.115,0.209,0.259,0.368,0.323,0,0.061
"P36","Nunca la votaría",0.791,0.86,0.662,0.592,0.559,0.478,0.378,0.456,0.632,0.452
"P36","No sabe",0.144,0.115,0.146,0.216,0.163,0.236,0.065,0.048,0.114,0.473
"P37","La votaría",0.018,0,0.005,0.022,0.017,0,0.014,0,0.078,0.011
"P37","Puede que la vote",0.015,0.015,0.052,0.058,0.009,0.215,0.156,0.114,0,0.066
"P37","Nunca la votaría",0.71,0.718,0.668,0.633,0.447,0.446,0.414,0.499,0.727,0.459
"P37","No sabe",0.257,0.267,0.275,0.287,0.527,0.339,0.416,0.387,0.195,0.464
"P38","Muy buena",0.537,0.255,0.085,0.089,0.041,0.12,0.142,0,0.281,0.033
"P38","Buena",0.187,0.255,0.135,0.085,0,0.296,0.075,0,0.064,0.072
"P38","Ni buena ni mala",0.131,0.206,0.331,0.163,0.053,0.096,0.138,0.13,0.075,0.217
"P38","Mala",0.079,0.214,0.19,0.119,0.279,0.18,0.128,0.386,0.178,0.248
"P38","Muy mala",0.065,0.067,0.252,0.458,0.616,0.308,0.517,0.484,0.402,0.28
"P38","No sabe",0.001,0.003,0.007,0.086,0.011,0,0,0,0,0.15
"P39","Muy buena",0.27,0.343,0.097,0.052,0.059,0.118,0.149,0.273,0,0.018
"P39","Buena",0.28,0.269,0.186,0.076,0.106,0.074,0.037,0,0.062,0.082
"P39","Ni buena ni mala",0.253,0.191,0.412,0.422,0.239,0.546,0.295,0.126,0.368,0.282
"P39","Mala",0.056,0.126,0.131,0.077,0.212,0.06,0.126,0.161,0.311,0.189
"P39","Muy mala",0.014,0.049,0.133,0.308,0.336,0.161,0.362,0.44,0.259,0.119
"P39","No sabe",0.127,0.022,0.041,0.065,0.048,0.041,0.031,0,0,0.31
"P40","Muy buena",0.098,0.122,0.267,0.11,0.025,0.025,0.086,0.058,0,0.06
"P40","Buena",0.192,0.203,0.292,0.065,0.055,0.157,0.149,0,0.039,0.072
"P40","Ni buena ni mala",0.353,0.348,0.26,0.236,0.297,0.533,0.159,0.126,0.338,0.235
