"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"A Sergio Massa",0.297,0.302,0.292,0.332,0.288,0.295,0.255,0.358,0.289,0.227,0.28,0.554,0.288,0.419,0.294,0.226,0.093
"A Daniel Scioli",0.115,0.13,0.101,0.12,0.097,0.116,0.148,0.107,0.138,0.092,0.112,0.133,0.194,0.121,0.109,0.209,0
"A algún candidato del peronismo",0.191,0.182,0.2,0.214,0.209,0.213,0.075,0.201,0.15,0.24,0.185,0.015,0.305,0.235,0.161,0.161,0.373
"A algún candidato del kirchnerismo",0.397,0.386,0.407,0.334,0.406,0.376,0.522,0.334,0.423,0.441,0.423,0.298,0.213,0.225,0.436,0.404,0.534
