"var","categoria","Alfredo Cornejo por Cambia Mendoza","Luis Petri por Cambia Mendoza","Omar De Marchi por La Unión Mendocina","Omar Parisi por Elegí Mendoza","Guillermo Carmona por Elegí Mendoza","Nicolás Guillén por Elegí Mendoza","Alfredo Guevara por Elegí Mendoza","Lautaro Giménez por el Frente de Izquierda","Victor da Vila por el Frente de Izquierda"
"P08","Del Frente de Todos y el peronismo",0.057,0.051,0.162,0.774,0.587,0.266,0.465,0.176,0.054
"P08","De Juntos por el cambio",0.544,0.393,0.152,0.072,0.063,0.23,0.067,0.055,0
"P08","De los Liberales libertarios",0.236,0.298,0.438,0.004,0.113,0.442,0.068,0.015,0.233
"P08","De la Izquierda",0.001,0.011,0.023,0.002,0.017,0.033,0.11,0.642,0.145
"P08","No sabe",0.162,0.247,0.225,0.148,0.22,0.029,0.29,0.112,0.568
"P09","A Sergio Massa",0.377,0.214,0.297,0.251,0.281,0.332,0.275,0.031,0
"P09","A Daniel Scioli",0.027,0.22,0.204,0.057,0.224,0.103,0,0,0
"P09","A algún candidato del peronismo",0.246,0.134,0.265,0.206,0.148,0.195,0.187,0,0
"P09","A algún candidato del kirchnerismo",0.35,0.432,0.234,0.486,0.347,0.37,0.538,0.969,1
"P10","A Horacio Rodriguez Larreta",0.153,0.12,0.347,0.409,0.162,0,0,0,0
"P10","A Patricia Bullrich",0.703,0.796,0.58,0.428,0.68,0.852,1,0,0
"P10","A Facundo Manes",0.082,0.059,0.056,0.163,0.158,0.148,0,0,0
"P10","A Gerardo Morales",0.062,0.025,0.017,0,0,0,0,1,0
"P14_imputadas","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.554,0.11,0.168,0.09,0.068,0.258,0.214,0.151,0
"P14_imputadas","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.229,0.628,0.162,0.05,0.209,0.07,0.05,0,0
