"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.099,0.094,0.103,0.082,0.096,0.112,0.105,0.102,0.106,0.083,0.107,0.082,0.214,0.025,0.07
"Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.177,0.172,0.182,0.145,0.19,0.187,0.167,0.168,0.174,0.192,0.184,0.162,0.38,0.047,0.059
"Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.248,0.233,0.262,0.15,0.207,0.292,0.38,0.245,0.236,0.271,0.25,0.244,0.089,0.426,0.213
"Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.12,0.106,0.134,0.118,0.118,0.118,0.128,0.133,0.106,0.126,0.121,0.118,0.061,0.183,0.177
"María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.036,0.029,0.044,0.04,0.031,0.039,0.041,0.034,0.04,0.034,0.036,0.038,0.015,0.057,0.069
"Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.047,0.042,0.052,0.056,0.044,0.049,0.041,0.049,0.044,0.048,0.035,0.07,0.032,0.043,0.119
"José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.017,0.02,0.013,0.029,0.013,0.014,0.016,0.013,0.016,0.022,0.016,0.018,0.008,0.014,0.019
"Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.147,0.208,0.088,0.264,0.173,0.088,0.05,0.137,0.172,0.121,0.139,0.164,0.068,0.159,0.139
"A los candidatos del Frente de Izquierda",0.018,0.019,0.018,0.022,0.027,0.009,0.01,0.015,0.02,0.022,0.02,0.015,0.017,0.009,0.008
"No sabe",0.091,0.077,0.104,0.094,0.101,0.092,0.062,0.104,0.086,0.081,0.092,0.089,0.116,0.037,0.127
