"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P10","De Cambiemos",0.074,0.731,0.609,0.643,0.497,0.372,0.049,0.042,0.072
"P10","De los Liberales libertarios",0.025,0.135,0.085,0.07,0.116,0.366,0.847,0.611,0.027
"P10","De la Izquierda",0.013,0.007,0.005,0.018,0.017,0.053,0.016,0.173,0.111
"P10","No sabe",0.058,0.06,0.117,0.15,0.257,0.133,0.054,0.076,0.389
"P11","A Alberto Fernández",0.126,0.436,0.089,0.573,0.113,0.066,0.16,0.141,0.142
"P11","A Sergio Massa",0.222,0.043,0.281,0.303,0.194,0.094,0.13,0.005,0.107
"P11","A algún candidato del peronismo",0.131,0.277,0.252,0.01,0.212,0.312,0.151,0.253,0.167
"P11","A algún candidato del kirchnerismo",0.521,0.244,0.378,0.114,0.481,0.528,0.559,0.601,0.584
"P12","A Alberto Fernández",0.069,0.114,0.058,0.196,0.121,0.066,0.073,0.161,0.106
"P12","A Sergio Massa",0.156,0.077,0.056,0.263,0.068,0,0.023,0.005,0.03
"P12","A algún candidato del peronismo",0.08,0.284,0.177,0.127,0.43,0.276,0.19,0.118,0.156
"P12","A Cristina Fernández de Kirchner",0.695,0.525,0.709,0.414,0.381,0.658,0.714,0.716,0.708
"P13","A Horacio Rodriguez Larreta",0.132,0.131,0.538,0.357,0.298,0.334,0.058,0,0.36
"P13","A Patricia Bullrich",0.523,0.83,0.352,0.472,0.218,0.444,0.865,0.648,0.382
"P13","A Facundo Manes",0.264,0.023,0.054,0.074,0.343,0.077,0.041,0.145,0.155
"P13","A Gerardo Morales",0.081,0.016,0.056,0.097,0.141,0.145,0.036,0.207,0.103
"P14","Lo votaría",0.759,0.041,0.142,0.051,0.092,0.082,0.041,0.128,0.342
"P14","Puede que lo vote",0.107,0.057,0.057,0.095,0.054,0.062,0.029,0.093,0.139
"P14","Nunca lo votaría",0.083,0.869,0.728,0.783,0.792,0.808,0.911,0.743,0.322
"P14","No sabe",0.051,0.033,0.073,0.071,0.062,0.048,0.019,0.036,0.197
"P15","Lo votaría",0.224,0.028,0.079,0.038,0.074,0.004,0.031,0.016,0.08
"P15","Puede que lo vote",0.437,0.063,0.155,0.115,0.114,0.105,0.063,0.09,0.231
"P15","Nunca lo votaría",0.224,0.862,0.658,0.762,0.726,0.826,0.841,0.789,0.452
"P15","No sabe",0.115,0.047,0.108,0.085,0.086,0.065,0.065,0.105,0.237
"P16","Lo votaría",0.038,0.304,0.412,0.317,0.183,0.132,0.087,0.039,0.022
"P16","Puede que lo vote",0.115,0.406,0.237,0.325,0.291,0.363,0.225,0.129,0.156
