"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P47","Buena",0.326,0.031,0.08,0.051,0.071,0.059,0.032,0.077,0.127
"P47","Ni buena ni mala",0.264,0.09,0.148,0.134,0.179,0.141,0.119,0.165,0.268
"P47","Mala",0.091,0.153,0.16,0.105,0.138,0.149,0.091,0.137,0.164
"P47","Muy mala",0.09,0.67,0.486,0.609,0.52,0.581,0.698,0.542,0.265
"P47","No sabe",0.03,0.031,0.072,0.047,0.045,0.055,0.05,0.046,0.1
"P48","Muy buena",0.116,0.016,0.038,0.053,0,0.027,0.007,0.007,0.036
"P48","Buena",0.385,0.017,0.087,0.054,0.015,0.015,0.015,0.066,0.184
"P48","Ni buena ni mala",0.307,0.049,0.111,0.062,0.14,0.006,0.05,0.122,0.265
"P48","Mala",0.129,0.087,0.12,0.099,0.165,0.155,0.074,0.159,0.223
"P48","Muy mala",0.053,0.825,0.611,0.72,0.648,0.797,0.844,0.626,0.264
"P48","No sabe",0.01,0.006,0.033,0.012,0.032,0,0.01,0.02,0.028
"P49","Muy buena",0.137,0.015,0.03,0.038,0.008,0.027,0.015,0.046,0.064
"P49","Buena",0.316,0.029,0.095,0.05,0.018,0,0.012,0.016,0.151
"P49","Ni buena ni mala",0.304,0.041,0.091,0.059,0.142,0.031,0.036,0.113,0.275
"P49","Mala",0.152,0.083,0.139,0.169,0.174,0.158,0.059,0.121,0.221
"P49","Muy mala",0.084,0.828,0.629,0.672,0.658,0.784,0.868,0.694,0.275
"P49","No sabe",0.007,0.004,0.016,0.012,0,0,0.01,0.01,0.014
"P50","Muy buena",0.724,0.048,0.149,0.081,0.03,0.041,0.032,0.104,0.455
"P50","Buena",0.099,0.014,0.033,0.07,0.052,0,0.022,0.029,0.116
"P50","Ni buena ni mala",0.069,0.015,0.062,0.039,0.138,0,0.038,0.08,0.113
"P50","Mala",0.026,0.063,0.066,0.085,0.067,0.031,0.028,0.104,0.067
"P50","Muy mala",0.076,0.858,0.673,0.721,0.696,0.917,0.872,0.673,0.202
"P50","No sabe",0.006,0.002,0.017,0.004,0.017,0.011,0.008,0.01,0.047
"P51","Muy buena",0.078,0.403,0.309,0.34,0.107,0.062,0.142,0.064,0.086
"P51","Buena",0.023,0.226,0.196,0.178,0.219,0.235,0.193,0.065,0.063
"P51","Ni buena ni mala",0.026,0.146,0.101,0.164,0.232,0.209,0.248,0.106,0.065
"P51","Mala",0.144,0.053,0.079,0.196,0.126,0.114,0.179,0.127,0.158
"P51","Muy mala",0.72,0.165,0.299,0.108,0.311,0.38,0.237,0.628,0.621
"P51","No sabe",0.009,0.007,0.016,0.014,0.005,0,0.001,0.01,0.007
"P52","Muy buena",0.01,0.166,0.344,0.29,0.117,0.05,0.056,0.031,0.028
"P52","Buena",0.047,0.353,0.273,0.281,0.298,0.368,0.14,0.077,0.045
"P52","Ni buena ni mala",0.111,0.277,0.124,0.205,0.307,0.249,0.235,0.175,0.123
"P52","Mala",0.206,0.087,0.079,0.098,0.115,0.171,0.171,0.197,0.211
"P52","Muy mala",0.616,0.112,0.164,0.123,0.158,0.142,0.388,0.509,0.569
"P52","No sabe",0.01,0.005,0.016,0.003,0.005,0.02,0.01,0.011,0.024
"P53","Muy buena",0.152,0.039,0.051,0.109,0.04,0.015,0.014,0.004,0.041
"P53","Buena",0.419,0.075,0.12,0.074,0.122,0.037,0.047,0.047,0.111
"P53","Ni buena ni mala",0.261,0.078,0.146,0.122,0.208,0.135,0.085,0.169,0.322
"P53","Mala",0.073,0.094,0.166,0.111,0.137,0.22,0.152,0.162,0.181
"P53","Muy mala",0.081,0.702,0.499,0.577,0.474,0.585,0.696,0.608,0.303
"P53","No sabe",0.014,0.012,0.018,0.007,0.019,0.008,0.006,0.01,0.042
"P54","Muy buena",0.05,0.629,0.27,0.285,0.135,0.186,0.263,0.107,0.02
"P54","Buena",0.066,0.186,0.236,0.217,0.261,0.277,0.248,0.143,0.063
"P54","Ni buena ni mala",0.052,0.044,0.143,0.205,0.297,0.124,0.206,0.059,0.113
"P54","Mala",0.112,0.013,0.083,0.12,0.094,0.183,0.095,0.141,0.162
"P54","Muy mala",0.709,0.121,0.234,0.171,0.199,0.23,0.186,0.536,0.611
"P54","No sabe",0.011,0.007,0.034,0.002,0.014,0,0.002,0.014,0.031
"P55","Muy buena",0.028,0.225,0.121,0.094,0.048,0.126,0.75,0.399,0.039
"P55","Buena",0.036,0.197,0.148,0.145,0.14,0.188,0.142,0.183,0.04
"P55","Ni buena ni mala",0.069,0.282,0.282,0.33,0.342,0.183,0.056,0.051,0.139
"P55","Mala",0.116,0.114,0.128,0.13,0.188,0.084,0.013,0.053,0.121
"P55","Muy mala",0.736,0.153,0.28,0.245,0.261,0.414,0.032,0.303,0.607
"P55","No sabe",0.015,0.029,0.041,0.056,0.021,0.005,0.007,0.011,0.054
"P56","Muy buena",0.011,0.249,0.211,0.424,0.166,0.054,0.152,0.125,0.01
"P56","Buena",0.048,0.351,0.325,0.299,0.178,0.227,0.18,0.088,0.067
"P56","Ni buena ni mala",0.054,0.2,0.143,0.144,0.272,0.258,0.225,0.166,0.086
"P56","Mala",0.145,0.077,0.084,0.056,0.127,0.074,0.196,0.125,0.23
"P56","Muy mala",0.733,0.118,0.215,0.069,0.257,0.387,0.243,0.477,0.562
"P56","No sabe",0.009,0.005,0.022,0.008,0,0,0.004,0.019,0.045
"P57","Muy buena",0.184,0.056,0.089,0.047,0.045,0.045,0.041,0.017,0.042
"P57","Buena",0.447,0.067,0.137,0.109,0.042,0.051,0.041,0.078,0.236
"P57","Ni buena ni mala",0.21,0.109,0.169,0.184,0.19,0.157,0.122,0.192,0.251
"P57","Mala",0.049,0.153,0.157,0.133,0.228,0.129,0.135,0.2,0.177
"P57","Muy mala",0.106,0.608,0.427,0.52,0.495,0.618,0.647,0.495,0.285
"P57","No sabe",0.004,0.007,0.021,0.007,0,0,0.014,0.018,0.009
"P58","Muy buena",0.038,0.067,0.113,0.063,0.365,0.066,0.06,0.09,0.054
"P58","Buena",0.153,0.166,0.178,0.24,0.253,0.234,0.128,0.064,0.097
"P58","Ni buena ni mala",0.369,0.375,0.38,0.395,0.177,0.201,0.274,0.212,0.388
"P58","Mala",0.201,0.164,0.136,0.107,0.057,0.204,0.142,0.199,0.2
"P58","Muy mala",0.185,0.199,0.143,0.149,0.122,0.282,0.309,0.35,0.19
"P58","No sabe",0.054,0.029,0.05,0.046,0.026,0.013,0.087,0.085,0.071
"P59","Siempre",0.309,0.309,0.323,0.317,0.303,0.298,0.289,0.258,0.275
"P59","Casi siempre",0.429,0.401,0.329,0.485,0.41,0.421,0.334,0.329,0.365
"P59","Casi nunca",0.197,0.207,0.253,0.1,0.243,0.266,0.275,0.238,0.249
"P59","Nunca, pero esta es una excepción",0.065,0.083,0.095,0.098,0.044,0.015,0.102,0.175,0.111
"P60","Si",0.606,0.576,0.612,0.542,0.539,0.498,0.613,0.565,0.522
"P60","No",0.394,0.424,0.388,0.458,0.461,0.502,0.387,0.435,0.478
