"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P06","1",0.293,0.281,0.325,0.313
"P06","2",0.05,0.109,0.072,0.041
"P06","3",0.053,0.047,0.073,0.025
"P06","4",0.053,0.039,0.057,0.103
"P06","5",0.227,0.217,0.211,0.177
"P06","6",0.053,0.048,0.032,0.047
"P06","7",0.081,0.047,0.047,0.054
"P06","8",0.05,0.038,0.03,0.051
"P06","9",0.14,0.174,0.153,0.189
"P07","1",0.254,0.254,0.323,0.325
"P07","2",0.046,0.059,0.052,0.052
"P07","3",0.05,0.03,0.037,0.036
"P07","4",0.051,0.039,0.029,0.034
"P07","5",0.216,0.233,0.183,0.16
"P07","6",0.058,0.028,0.033,0.042
"P07","7",0.067,0.049,0.028,0.047
"P07","8",0.062,0.052,0.059,0.054
"P07","9",0.196,0.256,0.256,0.25
"P08","1",0.414,0.346,0.337,0.359
"P08","2",0.034,0.036,0.034,0.031
"P08","3",0.031,0.025,0.015,0.024
"P08","4",0.03,0.022,0.015,0.018
"P08","5",0.13,0.107,0.122,0.097
"P08","6",0.024,0.014,0.017,0.023
"P08","7",0.037,0.033,0.012,0.03
"P08","8",0.036,0.048,0.035,0.039
"P08","9",0.264,0.369,0.413,0.379
"P10","Del Frente de Todos y el peronismo",0.323,0.246,0.276,0.326
"P10","De Cambiemos",0.284,0.267,0.278,0.425
"P10","De los Liberales libertarios",0.229,0.249,0.203,0.08
"P10","De la Izquierda",0.042,0.043,0.055,0.027
"P10","No sabe",0.122,0.195,0.188,0.142
"P11","A Alberto Fernández",0.153,0.197,0.244,0.152
"P11","A Sergio Massa",0.192,0.185,0.213,0.175
"P11","A algún candidato del peronismo",0.168,0.187,0.187,0.152
"P11","A algún candidato del kirchnerismo",0.487,0.431,0.356,0.521
"P12","A Alberto Fernández",0.074,0.112,0.197,0.093
"P12","A Sergio Massa",0.122,0.145,0.133,0.104
"P12","A algún candidato del peronismo",0.121,0.15,0.188,0.091
"P12","A Cristina Fernández de Kirchner",0.683,0.593,0.482,0.712
"P13","A Horacio Rodriguez Larreta",0.24,0.31,0.354,0.234
"P13","A Patricia Bullrich",0.604,0.532,0.582,0.668
