"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P05","Tengo trabajo estable",0.462,0.515,0.67,0.522
"P05","Realizo changas o trabajos de vez en cuando",0.185,0.139,0.151,0.236
"P05","No tengo trabajo",0.186,0.135,0.071,0.063
"P05","Soy jubilado o pensionado",0.167,0.211,0.108,0.179
"P06","1",0.343,0.387,0.249,0.314
"P06","2",0.092,0.056,0.061,0.024
"P06","3",0.085,0.085,0.063,0.04
"P06","4",0.08,0.108,0.016,0.144
"P06","5",0.254,0.197,0.338,0.216
"P06","6",0.042,0.042,0.042,0.035
"P06","7",0.024,0.035,0.145,0.008
"P06","8",0.021,0.025,0.013,0.098
"P06","9",0.059,0.065,0.073,0.121
"P07","1",0.219,0.146,0.252,0.198
"P07","2",0.06,0.031,0.026,0.088
"P07","3",0.028,0.046,0.037,0.003
"P07","4",0.05,0.041,0.085,0.04
"P07","5",0.284,0.199,0.255,0.274
"P07","6",0.062,0.068,0.105,0.049
"P07","7",0.051,0.098,0.065,0.061
"P07","8",0.065,0.057,0.069,0.02
"P07","9",0.181,0.314,0.106,0.267
"P08","1",0.322,0.203,0.486,0.284
"P08","2",0.048,0.045,0.017,0.075
"P08","3",0.024,0.034,0.014,0.011
"P08","4",0.029,0.027,0.008,0.035
"P08","5",0.101,0.145,0.157,0.141
"P08","6",0.031,0.022,0.086,0.013
"P08","7",0.025,0.058,0.016,0.047
"P08","8",0.04,0.058,0.015,0.115
"P08","9",0.38,0.408,0.201,0.279
"P14","Lo votaría",0.102,0.009,0.091,0.053
"P14","Puede que lo vote",0.016,0.096,0.049,0.079
"P14","Nunca lo votaría",0.856,0.879,0.831,0.726
"P14","No sabe",0.026,0.016,0.029,0.142
"P15","Lo votaría",0.044,0.012,0.098,0.061
"P15","Puede que lo vote",0.106,0.04,0.181,0.096
"P15","Nunca lo votaría",0.755,0.911,0.665,0.733
"P15","No sabe",0.095,0.037,0.056,0.11
"P16","Lo votaría",0.453,0.337,0.247,0.225
"P16","Puede que lo vote",0.288,0.403,0.302,0.305
"P16","Nunca lo votaría",0.171,0.202,0.432,0.307
"P16","No sabe",0.088,0.058,0.019,0.163
"P17","Lo votaría",0.232,0.355,0.094,0.199
"P17","Puede que lo vote",0.342,0.41,0.259,0.336
"P17","Nunca lo votaría",0.25,0.131,0.552,0.307
"P17","No sabe",0.176,0.104,0.095,0.158
"P18","Lo votaría",0.068,0.05,0.11,0.13
"P18","Puede que lo vote",0.071,0.045,0.066,0.073
"P18","Nunca lo votaría",0.813,0.865,0.802,0.671
"P18","No sabe",0.048,0.04,0.022,0.126
"P19","Lo votaría",0.094,0.045,0.15,0.029
"P19","Puede que lo vote",0.174,0.128,0.143,0.205
"P19","Nunca lo votaría",0.641,0.778,0.672,0.674
"P19","No sabe",0.091,0.049,0.035,0.092
"P20","Lo votaría",0.113,0.228,0.115,0.227
"P20","Puede que lo vote",0.363,0.397,0.198,0.311
"P20","Nunca lo votaría",0.398,0.284,0.599,0.368
"P20","No sabe",0.126,0.091,0.088,0.094
"P21","Lo votaría",0.052,0.056,0.152,0.181
"P21","Puede que lo vote",0.178,0.175,0.136,0.188
"P21","Nunca lo votaría",0.459,0.502,0.525,0.428
"P21","No sabe",0.311,0.267,0.187,0.203
"P22","Lo votaría",0.02,0.017,0.058,0.009
"P22","Puede que lo vote",0.034,0.027,0.144,0.051
"P22","Nunca lo votaría",0.851,0.917,0.742,0.801
"P22","No sabe",0.095,0.039,0.056,0.139
"P23","Lo votaría",0.061,0.105,0.108,0.152
"P23","Puede que lo vote",0.126,0.216,0.188,0.158
"P23","Nunca lo votaría",0.56,0.489,0.492,0.444
"P23","No sabe",0.253,0.19,0.212,0.246
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.017,0.009,0.107,0.081
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.049,0.031,0.157,0.042
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.27,0.726,0.134,0.16
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.501,0.096,0.141,0.165
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.067,0.064,0.071,0.185
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.05,0.022,0.27,0.107
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.013,0.025,0.058
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.015,0.031,0.019
"P24","A los candidatos del Frente de Izquierda",0.001,0.001,0,0.004
"P24","No sabe",0.026,0.023,0.064,0.179
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.033,0.008,0.108,0.044
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.025,0.008,0.19,0.018
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.257,0.738,0.057,0.162
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.561,0.095,0.11,0.174
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.052,0.054,0.035,0.201
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.011,0.029,0.353,0.137
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.02,0.026,0.028,0.075
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.026,0.079,0.009
"P25","A los candidatos del Frente de Izquierda",0.012,0.001,0.005,0.027
"P25","No sabe",0.013,0.015,0.035,0.153
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.031,0.049,0.203,0.091
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.26,0.663,0.151,0.147
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.393,0.104,0.129,0.194
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.169,0.09,0.115,0.219
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.079,0.023,0.298,0.178
