"var","categoria","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.617,0.538,0.614,0.725,0.463
"P05","Realizo changas o trabajos de vez en cuando",0.095,0.084,0.168,0.122,0.159
"P05","No tengo trabajo",0.087,0.1,0.15,0.067,0.183
"P05","Soy jubilado o pensionado",0.201,0.278,0.068,0.086,0.195
"P06","1",0.137,0.366,0.385,0.069,0.248
"P06","2",0.042,0.059,0.088,0.051,0.043
"P06","3",0.015,0.073,0.11,0.041,0.05
"P06","4",0.029,0.1,0.061,0.035,0.088
"P06","5",0.17,0.24,0.211,0.093,0.323
"P06","6",0.075,0.042,0.021,0.076,0.039
"P06","7",0.162,0.033,0.025,0.216,0.059
"P06","8",0.086,0.027,0.02,0.075,0.041
"P06","9",0.284,0.06,0.079,0.344,0.109
"P07","1",0.459,0.188,0.141,0.231,0.209
"P07","2",0.078,0.038,0.038,0.028,0.047
"P07","3",0.076,0.042,0.027,0.118,0.051
"P07","4",0.037,0.044,0.034,0.091,0.054
"P07","5",0.141,0.229,0.184,0.202,0.289
"P07","6",0.04,0.071,0.046,0.084,0.039
"P07","7",0.042,0.083,0.082,0.019,0.072
"P07","8",0.033,0.069,0.088,0.088,0.029
"P07","9",0.094,0.236,0.36,0.139,0.21
"P08","1",0.683,0.264,0.182,0.662,0.308
"P08","2",0.026,0.049,0.029,0.016,0.043
"P08","3",0.041,0.02,0.029,0.024,0.019
"P08","4",0.014,0.044,0.027,0.074,0.041
"P08","5",0.07,0.127,0.158,0.071,0.151
"P08","6",0.006,0.031,0.026,0,0.03
"P08","7",0.009,0.055,0.046,0.073,0.025
"P08","8",0.014,0.051,0.063,0.003,0.026
"P08","9",0.137,0.359,0.44,0.077,0.357
"P10","Del Frente de Todos y el peronismo",0.872,0.046,0.028,0.116,0.269
"P10","De Cambiemos",0.041,0.831,0.167,0.07,0.356
"P10","De los Liberales libertarios",0.011,0.056,0.736,0.032,0.052
"P10","De la Izquierda",0.029,0.008,0.005,0.656,0.028
