"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P05","Tengo trabajo estable",0.519,0.576,0.566,0.59
"P05","Realizo changas o trabajos de vez en cuando",0.144,0.119,0.136,0.112
"P05","No tengo trabajo",0.166,0.129,0.127,0.087
"P05","Soy jubilado o pensionado",0.171,0.176,0.171,0.211
"P06","1",0.317,0.178,0.21,0.131
"P06","2",0.034,0.07,0.075,0.038
"P06","3",0.008,0.025,0.031,0.022
"P06","4",0.026,0.025,0.073,0.023
"P06","5",0.166,0.236,0.155,0.138
"P06","6",0.06,0.088,0.096,0.069
"P06","7",0.07,0.15,0.085,0.195
"P06","8",0.093,0.044,0.042,0.101
"P06","9",0.226,0.184,0.233,0.283
"P07","1",0.426,0.389,0.389,0.511
"P07","2",0.055,0.045,0.08,0.087
"P07","3",0.033,0.082,0.083,0.073
"P07","4",0.034,0.053,0.078,0.043
"P07","5",0.153,0.177,0.176,0.137
"P07","6",0.042,0.055,0.05,0.016
"P07","7",0.047,0.053,0.024,0.025
"P07","8",0.039,0.051,0.026,0.034
"P07","9",0.171,0.095,0.094,0.074
"P08","1",0.5,0.584,0.541,0.713
"P08","2",0.01,0.037,0.039,0.029
"P08","3",0.014,0.04,0.043,0.035
"P08","4",0.01,0.019,0.013,0.018
"P08","5",0.111,0.056,0.08,0.07
"P08","6",0.006,0.004,0.018,0.016
"P08","7",0.006,0.017,0.034,0.012
"P08","8",0.019,0.034,0.031,0.005
"P08","9",0.324,0.209,0.201,0.102
"P12","A Alberto Fernández",0.466,0.045,0.038,0.01
"P12","A Sergio Massa",0.08,0.508,0.041,0.011
"P12","A algún candidato del peronismo",0.059,0.081,0.513,0.031
"P12","A Cristina Fernández de Kirchner",0.395,0.366,0.408,0.948
"P14","Lo votaría",0.579,0.664,0.622,0.894
"P14","Puede que lo vote",0.139,0.16,0.117,0.042
"P14","Nunca lo votaría",0.136,0.082,0.212,0.015
"P14","No sabe",0.146,0.094,0.049,0.049
"P15","Lo votaría",0.17,0.236,0.227,0.224
"P15","Puede que lo vote",0.389,0.379,0.358,0.49
"P15","Nunca lo votaría",0.247,0.241,0.33,0.155
"P15","No sabe",0.194,0.144,0.085,0.131
"P16","Lo votaría",0.062,0.046,0.066,0.02
"P16","Puede que lo vote",0.273,0.151,0.111,0.061
"P16","Nunca lo votaría",0.498,0.706,0.752,0.867
"P16","No sabe",0.167,0.097,0.071,0.052
"P17","Lo votaría",0.043,0.022,0.084,0.019
"P17","Puede que lo vote",0.175,0.07,0.084,0.044
"P17","Nunca lo votaría",0.629,0.805,0.738,0.879
"P17","No sabe",0.153,0.103,0.094,0.058
"P18","Lo votaría",0.206,0.523,0.185,0.131
"P18","Puede que lo vote",0.335,0.243,0.43,0.532
"P18","Nunca lo votaría",0.389,0.174,0.317,0.253
"P18","No sabe",0.07,0.06,0.068,0.084
"P19","Lo votaría",0.132,0.089,0.093,0.029
"P19","Puede que lo vote",0.179,0.146,0.134,0.084
"P19","Nunca lo votaría",0.558,0.691,0.729,0.856
"P19","No sabe",0.131,0.074,0.044,0.031
"P20","Lo votaría",0.039,0.011,0.07,0.012
"P20","Puede que lo vote",0.124,0.074,0.076,0.022
"P20","Nunca lo votaría",0.694,0.823,0.796,0.93
"P20","No sabe",0.143,0.092,0.058,0.036
"P21","Lo votaría",0.045,0.006,0.054,0.013
"P21","Puede que lo vote",0.116,0.065,0.062,0.032
"P21","Nunca lo votaría",0.62,0.737,0.72,0.781
"P21","No sabe",0.219,0.192,0.164,0.174
"P22","Lo votaría",0.227,0.165,0.185,0.175
"P22","Puede que lo vote",0.281,0.345,0.333,0.469
"P22","Nunca lo votaría",0.297,0.389,0.399,0.281
"P22","No sabe",0.195,0.101,0.083,0.075
"P23","Lo votaría",0.085,0.011,0.045,0.018
"P23","Puede que lo vote",0.142,0.085,0.078,0.059
"P23","Nunca lo votaría",0.524,0.711,0.694,0.692
"P23","No sabe",0.249,0.193,0.183,0.231
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.307,0.308,0.235,0.22
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.297,0.368,0.41,0.606
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.124,0.034,0.1,0.052
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.122,0.103,0.057,0.031
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.022,0.009,0.022,0.003
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.045,0.059,0.032,0.018
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.001,0,0.001
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.014,0.007,0.004
"P24","A los candidatos del Frente de Izquierda",0.001,0.014,0.002,0.007
"P24","No sabe",0.071,0.09,0.135,0.058
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.445,0.278,0.179,0.143
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.355,0.432,0.478,0.718
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.021,0.017,0.111,0.007
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.068,0.027,0.019,0.009
