"var","categoria","Si","No"
"P05","Tengo trabajo estable",0.596,0.563
"P05","Realizo changas o trabajos de vez en cuando",0.11,0.123
"P05","No tengo trabajo",0.116,0.119
"P05","Soy jubilado o pensionado",0.178,0.195
"P06","1",0.287,0.278
"P06","2",0.052,0.066
"P06","3",0.059,0.06
"P06","4",0.061,0.068
"P06","5",0.22,0.229
"P06","6",0.049,0.044
"P06","7",0.085,0.07
"P06","8",0.05,0.049
"P06","9",0.137,0.136
"P07","1",0.259,0.255
"P07","2",0.042,0.049
"P07","3",0.061,0.044
"P07","4",0.038,0.044
"P07","5",0.199,0.197
"P07","6",0.056,0.045
"P07","7",0.074,0.064
"P07","8",0.063,0.06
"P07","9",0.208,0.242
"P08","1",0.394,0.375
"P08","2",0.031,0.035
"P08","3",0.032,0.023
"P08","4",0.036,0.023
"P08","5",0.116,0.115
"P08","6",0.018,0.028
"P08","7",0.04,0.036
"P08","8",0.039,0.041
"P08","9",0.294,0.324
"P10","Del Frente de Todos y el peronismo",0.332,0.307
"P10","De Cambiemos",0.347,0.33
"P10","De los Liberales libertarios",0.221,0.228
"P10","De la Izquierda",0.033,0.027
"P10","No sabe",0.067,0.108
"P11","A Alberto Fernández",0.179,0.138
"P11","A Sergio Massa",0.183,0.249
"P11","A algún candidato del peronismo",0.121,0.132
"P11","A algún candidato del kirchnerismo",0.517,0.481
"P12","A Alberto Fernández",0.079,0.061
"P12","A Sergio Massa",0.124,0.156
"P12","A algún candidato del peronismo",0.079,0.131
"P12","A Cristina Fernández de Kirchner",0.718,0.652
"P13","A Horacio Rodriguez Larreta",0.253,0.211
"P13","A Patricia Bullrich",0.665,0.651
"P13","A Facundo Manes",0.064,0.081
"P13","A Gerardo Morales",0.018,0.057
"P14","Lo votaría",0.29,0.259
"P14","Puede que lo vote",0.067,0.082
"P14","Nunca lo votaría",0.597,0.601
"P14","No sabe",0.046,0.058
"P15","Lo votaría",0.098,0.07
"P15","Puede que lo vote",0.201,0.185
"P15","Nunca lo votaría",0.63,0.633
"P15","No sabe",0.071,0.112
"P16","Lo votaría",0.175,0.164
"P16","Puede que lo vote",0.24,0.24
"P16","Nunca lo votaría",0.52,0.511
"P16","No sabe",0.065,0.085
"P17","Lo votaría",0.159,0.143
"P17","Puede que lo vote",0.235,0.245
"P17","Nunca lo votaría",0.517,0.494
"P17","No sabe",0.089,0.118
"P18","Lo votaría",0.116,0.106
"P18","Puede que lo vote",0.213,0.183
"P18","Nunca lo votaría",0.631,0.639
"P18","No sabe",0.04,0.072
"P19","Lo votaría",0.06,0.058
"P19","Puede que lo vote",0.148,0.162
"P19","Nunca lo votaría",0.735,0.702
"P19","No sabe",0.057,0.078
"P20","Lo votaría",0.189,0.175
"P20","Puede que lo vote",0.228,0.24
"P20","Nunca lo votaría",0.516,0.501
"P20","No sabe",0.067,0.084
"P21","Lo votaría",0.039,0.055
"P21","Puede que lo vote",0.125,0.113
"P21","Nunca lo votaría",0.598,0.561
"P21","No sabe",0.238,0.271
"P22","Lo votaría",0.074,0.056
"P22","Puede que lo vote",0.184,0.172
"P22","Nunca lo votaría",0.656,0.685
"P22","No sabe",0.086,0.087
"P23","Lo votaría",0.054,0.046
