"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P19","Puede que lo vote",0.103,0.133,0.201,0.142,0.237,0.246,0.121,0.119
"P19","Nunca lo votaría",0.771,0.775,0.628,0.686,0.677,0.584,0.766,0.664
"P19","No sabe",0.052,0.051,0.081,0.064,0.054,0.07,0.09,0.131
"P20","Lo votaría",0.021,0.247,0.124,0.163,0.516,0.4,0.125,0.099
"P20","Puede que lo vote",0.036,0.403,0.304,0.251,0.251,0.282,0.046,0.132
"P20","Nunca lo votaría",0.878,0.275,0.454,0.49,0.23,0.257,0.772,0.634
"P20","No sabe",0.065,0.075,0.118,0.096,0.003,0.061,0.057,0.135
"P21","Lo votaría",0.015,0.067,0.037,0.166,0.079,0.048,0.014,0.017
"P21","Puede que lo vote",0.024,0.187,0.155,0.163,0.188,0.112,0.074,0.039
"P21","Nunca lo votaría",0.769,0.498,0.526,0.457,0.525,0.521,0.667,0.658
"P21","No sabe",0.192,0.248,0.282,0.214,0.208,0.319,0.245,0.286
"P22","Lo votaría",0.202,0.014,0.035,0.025,0.073,0.021,0.056,0.054
"P22","Puede que lo vote",0.403,0.033,0.048,0.127,0.072,0.043,0.166,0.191
"P22","Nunca lo votaría",0.288,0.908,0.829,0.777,0.805,0.84,0.608,0.611
"P22","No sabe",0.107,0.045,0.088,0.071,0.05,0.096,0.17,0.144
"P23","Lo votaría",0.029,0.117,0.044,0.051,0.004,0.038,0.007,0.024
"P23","Puede que lo vote",0.076,0.221,0.142,0.162,0.19,0.094,0.087,0.066
"P23","Nunca lo votaría",0.671,0.473,0.573,0.552,0.589,0.63,0.632,0.614
"P23","No sabe",0.224,0.189,0.241,0.235,0.217,0.238,0.274,0.296
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.291,0.017,0.013,0.047,0.056,0.021,0.087,0.09
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.479,0.044,0.044,0.115,0.05,0.026,0.264,0.24
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.077,0.773,0.184,0.163,0.152,0.109,0.042,0.054
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.059,0.051,0.601,0.156,0.105,0.053,0.076,0.054
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.008,0.045,0.082,0.012,0.098,0.025,0.025,0.045
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.029,0.028,0.029,0.368,0.024,0.018,0.017,0.021
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0,0.006,0.007,0.007,0.272,0.035,0.027,0.01
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.013,0.014,0.107,0.172,0.7,0.07,0.159
"P24","A los candidatos del Frente de Izquierda",0.008,0.001,0.002,0.006,0,0,0.309,0.008
"P24","No sabe",0.037,0.022,0.024,0.019,0.071,0.013,0.083,0.319
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.301,0.005,0.026,0.066,0.04,0.013,0.034,0.022
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.58,0.016,0.03,0.102,0.105,0.011,0.308,0.286
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.01,0.827,0.108,0.082,0.075,0.06,0.015,0.047
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.015,0.046,0.686,0.142,0.05,0.016,0.016,0.008
