"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P49","Ni buena ni mala",0.309,0.03,0.079,0.073,0.053,0.022,0.203,0.277
"P49","Mala",0.129,0.074,0.162,0.175,0.097,0.068,0.295,0.221
"P49","Muy mala",0.032,0.863,0.712,0.66,0.714,0.877,0.407,0.376
"P49","No sabe",0.003,0.006,0.004,0.01,0.012,0.015,0,0.022
"P50","Muy buena",0.744,0.019,0.036,0.115,0.117,0.016,0.302,0.424
"P50","Buena",0.121,0.004,0.04,0.045,0.013,0.02,0.09,0.064
"P50","Ni buena ni mala",0.067,0.021,0.066,0.049,0.07,0.029,0.134,0.099
"P50","Mala",0.033,0.053,0.081,0.104,0.018,0.035,0.121,0.063
"P50","Muy mala",0.028,0.901,0.777,0.677,0.762,0.89,0.318,0.316
"P50","No sabe",0.007,0.002,0,0.01,0.02,0.01,0.035,0.034
"P51","Muy buena",0.11,0.41,0.299,0.142,0.065,0.125,0.07,0.083
"P51","Buena",0.014,0.236,0.229,0.152,0.214,0.206,0.018,0.032
"P51","Ni buena ni mala",0.021,0.133,0.177,0.147,0.224,0.211,0.069,0.12
"P51","Mala",0.148,0.047,0.131,0.14,0.254,0.167,0.095,0.141
"P51","Muy mala",0.697,0.171,0.155,0.408,0.243,0.283,0.748,0.605
"P51","No sabe",0.01,0.003,0.009,0.011,0,0.008,0,0.019
"P52","Muy buena",0.012,0.18,0.438,0.111,0.045,0.062,0.003,0.013
"P52","Buena",0.018,0.373,0.366,0.244,0.252,0.141,0.053,0.051
"P52","Ni buena ni mala",0.09,0.298,0.13,0.241,0.266,0.208,0.019,0.218
"P52","Mala",0.23,0.074,0.02,0.157,0.229,0.187,0.256,0.134
"P52","Muy mala",0.638,0.071,0.046,0.24,0.194,0.385,0.669,0.561
"P52","No sabe",0.012,0.004,0,0.007,0.014,0.017,0,0.023
"P53","Muy buena",0.142,0.045,0.082,0.071,0,0.01,0.006,0.057
"P53","Buena",0.38,0.08,0.097,0.165,0.062,0.052,0.058,0.167
"P53","Ni buena ni mala",0.285,0.072,0.129,0.154,0.15,0.08,0.168,0.291
"P53","Mala",0.088,0.096,0.152,0.084,0.186,0.129,0.283,0.15
"P53","Muy mala",0.082,0.702,0.531,0.502,0.596,0.716,0.485,0.309
"P53","No sabe",0.023,0.005,0.009,0.024,0.006,0.013,0,0.026
"P54","Muy buena",0.019,0.679,0.274,0.139,0.133,0.231,0.071,0.038
"P54","Buena",0.063,0.175,0.273,0.257,0.344,0.245,0.011,0.105
"P54","Ni buena ni mala",0.07,0.03,0.212,0.17,0.133,0.179,0.065,0.123
"P54","Mala",0.132,0.013,0.089,0.133,0.214,0.101,0.081,0.114
"P54","Muy mala",0.699,0.1,0.135,0.286,0.176,0.237,0.772,0.584
"P54","No sabe",0.017,0.003,0.017,0.015,0,0.007,0,0.036
"P55","Muy buena",0.012,0.245,0.08,0.195,0.191,0.69,0.079,0.122
"P55","Buena",0.024,0.213,0.148,0.146,0.211,0.186,0.01,0.052
"P55","Ni buena ni mala",0.055,0.302,0.369,0.227,0.131,0.065,0.007,0.157
"P55","Mala",0.116,0.11,0.142,0.173,0.106,0.02,0.055,0.112
"P55","Muy mala",0.769,0.108,0.203,0.251,0.357,0.024,0.849,0.514
"P55","No sabe",0.024,0.022,0.058,0.008,0.004,0.015,0,0.043
"P56","Muy buena",0.007,0.279,0.311,0.138,0.103,0.165,0.006,0.054
"P56","Buena",0.019,0.388,0.336,0.219,0.213,0.172,0.012,0.1
"P56","Ni buena ni mala",0.036,0.214,0.197,0.154,0.169,0.233,0.051,0.114
"P56","Mala",0.16,0.062,0.061,0.17,0.168,0.187,0.07,0.165
"P56","Muy mala",0.762,0.055,0.088,0.31,0.347,0.226,0.858,0.542
"P56","No sabe",0.016,0.002,0.007,0.009,0,0.017,0.003,0.025
"P57","Muy buena",0.174,0.068,0.053,0.05,0.006,0.031,0.05,0.073
"P57","Buena",0.458,0.064,0.078,0.102,0.073,0.04,0.1,0.237
"P57","Ni buena ni mala",0.203,0.106,0.212,0.156,0.139,0.135,0.181,0.255
"P57","Mala",0.051,0.165,0.166,0.219,0.075,0.147,0.226,0.108
"P57","Muy mala",0.111,0.592,0.484,0.473,0.707,0.623,0.443,0.304
"P57","No sabe",0.003,0.005,0.007,0,0,0.024,0,0.023
"P58","Muy buena",0.027,0.057,0.121,0.35,0.032,0.081,0.008,0.067
"P58","Buena",0.145,0.17,0.245,0.237,0.109,0.108,0.101,0.115
"P58","Ni buena ni mala",0.383,0.377,0.392,0.172,0.352,0.255,0.296,0.335
"P58","Mala",0.211,0.161,0.097,0.071,0.14,0.152,0.268,0.175
"P58","Muy mala",0.17,0.217,0.105,0.113,0.363,0.311,0.276,0.23
"P58","No sabe",0.064,0.018,0.04,0.057,0.004,0.093,0.051,0.078
"P59","Siempre",0.298,0.318,0.327,0.362,0.229,0.278,0.248,0.286
"P59","Casi siempre",0.426,0.399,0.407,0.345,0.384,0.36,0.364,0.342
"P59","Casi nunca",0.201,0.201,0.189,0.242,0.286,0.233,0.267,0.269
"P59","Nunca, pero esta es una excepción",0.075,0.082,0.077,0.051,0.101,0.129,0.121,0.103
"P60","Si",0.617,0.559,0.589,0.533,0.55,0.621,0.551,0.536
"P60","No",0.383,0.441,0.411,0.467,0.45,0.379,0.449,0.464
