"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.533,0.583,0.518,0.564,0.436,0.639,0.539,0.58,0.674,0.482
"P05","Realizo changas o trabajos de vez en cuando",0.135,0.129,0.116,0.164,0.207,0.126,0.124,0.201,0.113,0.219
"P05","No tengo trabajo",0.145,0.094,0.125,0.083,0.167,0.094,0.176,0.148,0.117,0.146
"P05","Soy jubilado o pensionado",0.187,0.194,0.241,0.189,0.19,0.141,0.161,0.071,0.096,0.153
"P06","1",0.238,0.142,0.386,0.31,0.321,0.228,0.325,0.417,0.131,0.194
"P06","2",0.033,0.046,0.058,0.064,0.067,0.072,0.052,0.069,0.104,0.03
"P06","3",0.019,0.041,0.081,0.071,0.057,0.038,0.085,0.059,0.005,0.026
"P06","4",0.037,0.027,0.094,0.082,0.104,0.064,0.122,0.05,0.019,0.06
"P06","5",0.17,0.178,0.196,0.237,0.277,0.303,0.241,0.218,0.138,0.379
"P06","6",0.076,0.054,0.032,0.058,0.052,0.085,0.027,0.021,0.032,0.085
"P06","7",0.136,0.156,0.042,0.033,0.053,0.092,0.047,0.017,0.134,0.073
"P06","8",0.057,0.087,0.024,0.035,0.009,0.043,0.046,0.021,0.038,0.047
"P06","9",0.234,0.269,0.087,0.11,0.06,0.075,0.055,0.128,0.399,0.106
"P07","1",0.446,0.493,0.185,0.206,0.163,0.191,0.144,0.134,0.36,0.219
"P07","2",0.076,0.06,0.038,0.045,0.038,0.071,0.042,0.023,0.062,0.047
"P07","3",0.048,0.087,0.038,0.041,0.008,0.083,0.052,0.011,0.1,0.031
"P07","4",0.059,0.038,0.047,0.038,0.041,0.077,0.017,0.028,0.1,0.058
"P07","5",0.154,0.138,0.2,0.258,0.3,0.261,0.135,0.187,0.202,0.358
"P07","6",0.03,0.034,0.061,0.053,0.089,0.066,0.043,0.039,0.004,0.046
"P07","7",0.034,0.038,0.087,0.065,0.059,0.051,0.106,0.054,0.029,0.063
"P07","8",0.056,0.031,0.058,0.057,0.073,0.055,0.14,0.112,0.043,0.036
"P07","9",0.097,0.081,0.286,0.237,0.229,0.145,0.321,0.412,0.1,0.142
"P08","1",0.516,0.666,0.218,0.364,0.315,0.317,0.27,0.225,0.717,0.383
"P08","2",0.041,0.03,0.037,0.032,0.022,0.076,0.046,0.021,0.028,0.03
"P08","3",0.022,0.035,0.028,0.032,0.038,0.022,0.02,0.015,0.049,0.013
"P08","4",0.017,0.013,0.029,0.032,0.01,0.028,0.039,0.028,0.043,0.021
"P08","5",0.094,0.067,0.131,0.118,0.145,0.12,0.183,0.154,0.054,0.16
"P08","6",0.01,0.015,0.024,0.022,0.039,0.045,0.003,0.016,0.019,0.03
"P08","7",0.012,0.015,0.056,0.035,0.037,0.033,0.057,0.031,0,0.039
"P08","8",0.023,0.015,0.053,0.035,0.041,0.041,0.054,0.078,0,0.033
"P08","9",0.265,0.144,0.424,0.33,0.353,0.318,0.328,0.432,0.09,0.291
"P10","Del Frente de Todos y el peronismo",0.771,0.816,0.081,0.157,0.084,0.207,0.011,0.013,0.099,0.26
"P10","De Cambiemos",0.064,0.075,0.699,0.543,0.645,0.359,0.292,0.031,0.017,0.116
"P10","De los Liberales libertarios",0.042,0.038,0.137,0.134,0.09,0.15,0.615,0.863,0.011,0.044
"P10","De la Izquierda",0.028,0.032,0.011,0.021,0.029,0.044,0.015,0.014,0.761,0.036
"P10","No sabe",0.095,0.039,0.072,0.145,0.152,0.24,0.067,0.079,0.112,0.544
"P11","A Alberto Fernández",0.181,0.092,0.276,0.289,0.326,0.208,0.335,0.188,0.024,0.135
"P11","A Sergio Massa",0.234,0.146,0.098,0.317,0.176,0.349,0.256,0.366,0.419,0.222
"P11","A algún candidato del peronismo",0.149,0.136,0.24,0.148,0.347,0.161,0,0.155,0.041,0.275
"P11","A algún candidato del kirchnerismo",0.436,0.626,0.386,0.246,0.151,0.282,0.409,0.291,0.516,0.368
"P12","A Alberto Fernández",0.113,0.051,0.07,0.1,0.097,0.177,0.335,0.18,0,0.108
"P12","A Sergio Massa",0.178,0.08,0.075,0.212,0.112,0.16,0.256,0.331,0.419,0.164
"P12","A algún candidato del peronismo",0.13,0.076,0.24,0.158,0.098,0.217,0,0.155,0.041,0.134
"P12","A Cristina Fernández de Kirchner",0.579,0.793,0.615,0.53,0.693,0.446,0.409,0.334,0.54,0.594
"P13","A Horacio Rodriguez Larreta",0.193,0.272,0.127,0.615,0.234,0.239,0.092,0.214,0.239,0.185
"P13","A Patricia Bullrich",0.247,0.417,0.837,0.288,0.548,0.259,0.559,0.574,0.478,0.395
"P13","A Facundo Manes",0.359,0.26,0.019,0.052,0.074,0.388,0.129,0.145,0,0.137
"P13","A Gerardo Morales",0.201,0.051,0.017,0.045,0.144,0.114,0.22,0.067,0.283,0.283
"P14","Lo votaría",0.712,0.778,0.053,0.097,0.045,0.156,0.018,0.017,0.146,0.161
"P14","Puede que lo vote",0.131,0.067,0.055,0.082,0.068,0.108,0.021,0.033,0.265,0.144
"P14","Nunca lo votaría",0.106,0.11,0.858,0.731,0.842,0.629,0.913,0.924,0.453,0.455
"P14","No sabe",0.051,0.045,0.034,0.09,0.045,0.107,0.048,0.026,0.136,0.24
"P15","Lo votaría",0.25,0.189,0.034,0.07,0.034,0.054,0.019,0.008,0.048,0.071
"P15","Puede que lo vote",0.375,0.451,0.07,0.126,0.119,0.186,0.045,0.055,0.151,0.154
"P15","Nunca lo votaría",0.269,0.242,0.861,0.701,0.771,0.56,0.853,0.862,0.671,0.488
"P15","No sabe",0.106,0.118,0.035,0.103,0.076,0.2,0.083,0.075,0.13,0.287
"P16","Lo votaría",0.034,0.037,0.295,0.4,0.255,0.131,0.046,0.055,0.021,0.042
"P16","Puede que lo vote",0.122,0.102,0.388,0.251,0.381,0.265,0.376,0.224,0.041,0.123
"P16","Nunca lo votaría",0.768,0.809,0.256,0.265,0.258,0.41,0.403,0.63,0.836,0.566
"P16","No sabe",0.076,0.052,0.061,0.084,0.106,0.194,0.175,0.091,0.102,0.269
"P17","Lo votaría",0.029,0.031,0.293,0.201,0.311,0.094,0.067,0.04,0.016,0.031
"P17","Puede que lo vote",0.096,0.082,0.363,0.278,0.349,0.238,0.375,0.207,0.039,0.11
"P17","Nunca lo votaría",0.768,0.832,0.261,0.387,0.191,0.45,0.357,0.629,0.84,0.524
"P17","No sabe",0.107,0.055,0.083,0.134,0.149,0.218,0.201,0.124,0.105,0.335
"P18","Lo votaría",0.304,0.184,0.045,0.064,0.075,0.09,0.031,0.042,0.12,0.134
"P18","Puede que lo vote",0.397,0.458,0.058,0.128,0.059,0.17,0.072,0.056,0.155,0.173
"P18","Nunca lo votaría",0.226,0.285,0.863,0.755,0.791,0.611,0.869,0.884,0.641,0.428
"P18","No sabe",0.073,0.073,0.034,0.053,0.075,0.129,0.028,0.018,0.084,0.265
"P19","Lo votaría",0.108,0.049,0.06,0.078,0.112,0.109,0.007,0.113,0.037,0.092
"P19","Puede que lo vote",0.153,0.103,0.129,0.189,0.155,0.126,0.228,0.243,0.047,0.129
"P19","Nunca lo votaría",0.675,0.809,0.766,0.66,0.625,0.62,0.665,0.589,0.852,0.563
"P19","No sabe",0.064,0.039,0.045,0.073,0.108,0.145,0.1,0.055,0.064,0.216
"P20","Lo votaría",0.025,0.022,0.227,0.14,0.155,0.114,0.802,0.433,0.026,0.038
"P20","Puede que lo vote",0.061,0.055,0.376,0.258,0.357,0.22,0.112,0.272,0.112,0.116
"P20","Nunca lo votaría",0.844,0.878,0.333,0.483,0.355,0.467,0.086,0.231,0.802,0.564
"P20","No sabe",0.07,0.045,0.064,0.119,0.133,0.199,0,0.064,0.06,0.282
"P21","Lo votaría",0.011,0.017,0.064,0.041,0.043,0.166,0.09,0.035,0.02,0.007
"P21","Puede que lo vote",0.048,0.053,0.174,0.124,0.166,0.111,0.097,0.091,0.059,0.042
"P21","Nunca lo votaría",0.732,0.759,0.532,0.565,0.524,0.34,0.508,0.596,0.628,0.524
"P21","No sabe",0.209,0.171,0.23,0.27,0.267,0.383,0.305,0.278,0.293,0.427
"P22","Lo votaría",0.219,0.162,0.022,0.031,0.048,0.05,0.007,0.029,0.092,0.025
"P22","Puede que lo vote",0.338,0.431,0.042,0.091,0.074,0.134,0.018,0.022,0.088,0.162
"P22","Nunca lo votaría",0.319,0.32,0.903,0.763,0.788,0.584,0.948,0.877,0.649,0.558
"P22","No sabe",0.124,0.087,0.033,0.115,0.09,0.232,0.027,0.072,0.171,0.255
"P23","Lo votaría",0.054,0.031,0.093,0.046,0.079,0.044,0.014,0.029,0.016,0.015
"P23","Puede que lo vote",0.101,0.142,0.182,0.094,0.219,0.112,0.142,0.071,0.094,0.049
"P23","Nunca lo votaría",0.631,0.62,0.564,0.596,0.497,0.376,0.531,0.684,0.636,0.504
"P23","No sabe",0.214,0.207,0.161,0.264,0.205,0.468,0.313,0.216,0.254,0.432
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.467,0.092,0.017,0.038,0.067,0.043,0.003,0.008,0.065,0.107
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.344,0.699,0.056,0.078,0.074,0.159,0.007,0.008,0.046,0.041
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.038,0.041,0.747,0.083,0.155,0.083,0.064,0.034,0.017,0.047
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.019,0.013,0.05,0.589,0.113,0.034,0.048,0.012,0.004,0.024
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.009,0.02,0.018,0.021,0.456,0.019,0.085,0.007,0.004,0.008
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.005,0.073,0.018,0.035,0.022,0.396,0.004,0.03,0.006,0.019
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.006,0.012,0.01,0.038,0.008,0.584,0.016,0,0.011
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.019,0.061,0.089,0.042,0.145,0.171,0.865,0.013,0.016
"P25","A los candidatos del Frente de Izquierda",0.013,0.014,0.004,0.016,0.025,0.006,0.019,0.003,0.783,0.012
"P25","No sabe",0.094,0.023,0.017,0.041,0.008,0.107,0.015,0.017,0.062,0.715
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.729,0.649,0.069,0.074,0.063,0.127,0.023,0.015,0.061,0.17
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.019,0.063,0.68,0.095,0.098,0.192,0.097,0.05,0.014,0.062
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.06,0.042,0.087,0.426,0.084,0.085,0.021,0.006,0.018,0.045
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.015,0.007,0.044,0.15,0.556,0.044,0.049,0.02,0,0.026
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.025,0.01,0.009,0.086,0.108,0.371,0.016,0.008,0,0.041
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.008,0.009,0.018,0.018,0.039,0.452,0.016,0.004,0.016
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.02,0.055,0.049,0.034,0.021,0.24,0.6,0.006,0.031
"P26","A los candidatos del Frente de Izquierda",0.02,0.058,0.029,0.054,0.024,0.043,0.057,0.263,0.437,0.03
"P26","No sabe",0.118,0.143,0.018,0.048,0.015,0.078,0.045,0.022,0.46,0.579
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.831,0.66,0.088,0.126,0.058,0.13,0,0.016,0.092,0.071
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.031,0.065,0.7,0.111,0.29,0.115,0.127,0.026,0.019,0.1
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.024,0.052,0.079,0.526,0.176,0.082,0.034,0.012,0.012,0.042
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.022,0.031,0.028,0.073,0.1,0.468,0.031,0.007,0.01,0.042
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.023,0.009,0.012,0.021,0.076,0.045,0.408,0.02,0.004,0.013
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.021,0.059,0.061,0.059,0.095,0.184,0.666,0.007,0.025
"P27","A los candidatos del Frente de Izquierda",0.006,0.042,0.011,0.016,0.024,0.023,0.146,0.074,0.722,0.032
"P27","No sabe",0.038,0.12,0.023,0.066,0.217,0.042,0.07,0.179,0.134,0.675
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.722,0.636,0.072,0.124,0.059,0.162,0.004,0.021,0.124,0.138
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.042,0.058,0.716,0.107,0.314,0.156,0.081,0.023,0.008,0.082
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.014,0.025,0.072,0.526,0.239,0.069,0.04,0.01,0.011,0.038
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.026,0.033,0.033,0.072,0.018,0.457,0.023,0.041,0.022,0.015
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.015,0.007,0.016,0.024,0.075,0.015,0.432,0.033,0,0.029
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.031,0.021,0.059,0.064,0.102,0.062,0.29,0.708,0,0.028
"P28","A los candidatos del Frente de Izquierda",0.032,0.052,0.006,0.024,0.026,0.015,0.057,0.018,0.764,0.046
"P28","No sabe",0.118,0.168,0.026,0.059,0.167,0.064,0.073,0.146,0.071,0.624
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.763,0.651,0.11,0.12,0.077,0.214,0.034,0.021,0.101,0.192
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.045,0.062,0.685,0.112,0.352,0.189,0.055,0.062,0.025,0.074
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.028,0.025,0.07,0.505,0.235,0.079,0.019,0.009,0.007,0.04
