"var","categoria","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.545,0.539,0.631,0.612,0.562
"P05","Realizo changas o trabajos de vez en cuando",0.105,0.095,0.175,0.181,0.167
"P05","No tengo trabajo",0.112,0.124,0.133,0.086,0.106
"P05","Soy jubilado o pensionado",0.238,0.242,0.061,0.121,0.165
"P06","1",0.226,0.338,0.38,0.088,0.191
"P06","2",0.049,0.049,0.092,0.035,0.038
"P06","3",0.043,0.072,0.094,0.028,0.018
"P06","4",0.057,0.069,0.059,0.014,0.097
"P06","5",0.194,0.218,0.219,0.136,0.323
"P06","6",0.083,0.03,0.019,0.051,0.064
"P06","7",0.115,0.069,0.021,0.125,0.081
"P06","8",0.057,0.038,0.026,0.099,0.043
"P06","9",0.176,0.117,0.09,0.424,0.145
"P07","1",0.345,0.256,0.123,0.378,0.276
"P07","2",0.068,0.045,0.037,0.029,0.055
"P07","3",0.06,0.05,0.026,0.115,0.044
"P07","4",0.038,0.036,0.036,0.075,0.068
"P07","5",0.177,0.197,0.184,0.203,0.276
"P07","6",0.058,0.052,0.048,0.041,0.04
"P07","7",0.061,0.083,0.067,0.019,0.052
"P07","8",0.043,0.055,0.09,0.029,0.057
"P07","9",0.15,0.226,0.389,0.111,0.132
"P08","1",0.498,0.349,0.192,0.722,0.437
"P08","2",0.042,0.027,0.026,0.024,0.042
"P08","3",0.031,0.032,0.027,0.029,0.02
"P08","4",0.018,0.028,0.032,0.045,0.042
"P08","5",0.088,0.137,0.158,0.048,0.109
"P08","6",0.015,0.025,0.025,0,0.027
"P08","7",0.023,0.046,0.037,0.023,0.037
"P08","8",0.025,0.046,0.058,0,0.016
"P08","9",0.26,0.31,0.445,0.109,0.27
"P10","Del Frente de Todos y el peronismo",0.562,0.278,0.031,0.354,0.331
"P10","De Cambiemos",0.322,0.593,0.117,0.066,0.259
"P10","De los Liberales libertarios",0.049,0.064,0.769,0.019,0.075
"P10","De la Izquierda",0.015,0.011,0.02,0.455,0.02
"P10","No sabe",0.052,0.054,0.063,0.106,0.315
"P11","A Alberto Fernández",0.177,0.144,0.211,0.068,0.033
"P11","A Sergio Massa",0.199,0.207,0.23,0.164,0.177
"P11","A algún candidato del peronismo",0.126,0.156,0.369,0.081,0.149
"P11","A algún candidato del kirchnerismo",0.498,0.493,0.19,0.687,0.641
"P12","A Alberto Fernández",0.09,0.067,0.147,0,0
"P12","A Sergio Massa",0.129,0.13,0.124,0.1,0.119
"P12","A algún candidato del peronismo",0.087,0.099,0.295,0.116,0.118
"P12","A Cristina Fernández de Kirchner",0.694,0.704,0.434,0.784,0.763
"P13","A Horacio Rodriguez Larreta",0.188,0.216,0.21,0.445,0.52
"P13","A Patricia Bullrich",0.68,0.715,0.696,0.331,0.277
"P13","A Facundo Manes",0.1,0.042,0.076,0.184,0.149
"P13","A Gerardo Morales",0.032,0.027,0.018,0.04,0.054
"P14","Lo votaría",0.493,0.247,0.026,0.403,0.269
"P14","Puede que lo vote",0.083,0.061,0.037,0.227,0.104
"P14","Nunca lo votaría",0.372,0.662,0.919,0.209,0.486
