"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.228,0.202,0.254,0.16,0.232,0.254,0.246,0.228,0.206,0.261,0.232,0.221,0.449,0.111,0.066,6
"Buena",0.122,0.129,0.114,0.075,0.146,0.124,0.111,0.141,0.12,0.103,0.132,0.101,0.222,0.047,0.056,6
"Ni buena ni mala",0.093,0.106,0.08,0.119,0.116,0.063,0.062,0.114,0.096,0.064,0.084,0.111,0.095,0.051,0.063,6
"Mala",0.097,0.096,0.098,0.13,0.083,0.087,0.109,0.105,0.099,0.083,0.1,0.09,0.08,0.095,0.24,6
"Muy mala",0.451,0.458,0.444,0.503,0.41,0.466,0.468,0.4,0.473,0.476,0.446,0.461,0.147,0.685,0.575,6
"No sabe",0.009,0.009,0.01,0.013,0.013,0.006,0.004,0.012,0.006,0.013,0.006,0.016,0.007,0.011,0,6
"Positiva",0.35,0.331,0.368,0.235,0.378,0.378,0.357,0.369,0.326,0.364,0.364,0.322,0.671,0.158,0.122,4
"Neutra",0.093,0.106,0.08,0.119,0.116,0.063,0.062,0.114,0.096,0.064,0.084,0.111,0.095,0.051,0.063,4
"Negativa",0.548,0.554,0.542,0.633,0.493,0.553,0.577,0.505,0.572,0.559,0.546,0.551,0.227,0.78,0.815,4
"No sabe",0.009,0.009,0.01,0.013,0.013,0.006,0.004,0.012,0.006,0.013,0.006,0.016,0.007,0.011,0,4
