"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.046,0.031,0.06,0.059,0.041,0.038,0.054,0.066,0.045,0.024,0.045,0.048,0.093,0.02,0,6
"Buena",0.138,0.113,0.163,0.061,0.147,0.17,0.147,0.147,0.125,0.147,0.149,0.116,0.301,0.043,0.018,6
"Ni buena ni mala",0.147,0.145,0.15,0.162,0.162,0.145,0.105,0.124,0.156,0.159,0.148,0.144,0.268,0.063,0.128,6
"Mala",0.119,0.136,0.101,0.088,0.134,0.11,0.127,0.118,0.114,0.128,0.127,0.103,0.149,0.09,0.138,6
"Muy mala",0.536,0.563,0.51,0.626,0.498,0.526,0.549,0.523,0.548,0.534,0.521,0.567,0.18,0.772,0.713,6
"No sabe",0.014,0.012,0.016,0.004,0.018,0.011,0.018,0.022,0.012,0.008,0.01,0.022,0.009,0.012,0.003,6
"Positiva",0.184,0.144,0.223,0.12,0.188,0.208,0.201,0.213,0.17,0.171,0.194,0.164,0.394,0.063,0.018,4
"Neutra",0.147,0.145,0.15,0.162,0.162,0.145,0.105,0.124,0.156,0.159,0.148,0.144,0.268,0.063,0.128,4
"Negativa",0.655,0.699,0.611,0.714,0.632,0.636,0.676,0.641,0.662,0.662,0.648,0.67,0.329,0.862,0.851,4
"No sabe",0.014,0.012,0.016,0.004,0.018,0.011,0.018,0.022,0.012,0.008,0.01,0.022,0.009,0.012,0.003,4
