"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.307,0.277,0.337,0.228,0.344,0.331,0.268,0.305,0.295,0.325,0.325,0.269,0.649,0.11,0.111
"Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.274,0.231,0.318,0.171,0.189,0.337,0.467,0.265,0.265,0.301,0.267,0.29,0.089,0.485,0.249
"Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.266,0.35,0.183,0.445,0.316,0.184,0.107,0.27,0.282,0.239,0.254,0.292,0.105,0.286,0.421
"A los candidatos del Frente de Izquierda",0.026,0.028,0.023,0.031,0.034,0.016,0.015,0.017,0.031,0.028,0.029,0.018,0.033,0.009,0.019
"No sabe",0.127,0.114,0.139,0.125,0.117,0.132,0.143,0.143,0.127,0.107,0.125,0.131,0.124,0.11,0.2
