"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P05","Tengo trabajo estable",0.439,0.57,0.547,0.597
"P05","Realizo changas o trabajos de vez en cuando",0.141,0.144,0.145,0.11
"P05","No tengo trabajo",0.235,0.125,0.171,0.085
"P05","Soy jubilado o pensionado",0.185,0.161,0.137,0.208
"P06","1",0.361,0.226,0.241,0.137
"P06","2",0.082,0.062,0.071,0.04
"P06","3",0.027,0.016,0.038,0.019
"P06","4",0.052,0.013,0.051,0.03
"P06","5",0.124,0.308,0.142,0.148
"P06","6",0.048,0.096,0.089,0.074
"P06","7",0.048,0.1,0.115,0.176
"P06","8",0.03,0.041,0.049,0.098
"P06","9",0.228,0.138,0.204,0.278
"P07","1",0.497,0.382,0.306,0.486
"P07","2",0.082,0.033,0.057,0.083
"P07","3",0.067,0.082,0.058,0.071
"P07","4",0.058,0.059,0.066,0.044
"P07","5",0.084,0.185,0.216,0.147
"P07","6",0.019,0.087,0.048,0.023
"P07","7",0.011,0.035,0.038,0.037
"P07","8",0.025,0.057,0.053,0.032
"P07","9",0.157,0.08,0.158,0.077
"P08","1",0.387,0.555,0.505,0.694
"P08","2",0.007,0.035,0.038,0.03
"P08","3",0.016,0.025,0.042,0.036
"P08","4",0,0.015,0.015,0.019
"P08","5",0.107,0.115,0.083,0.064
"P08","6",0.008,0.006,0.037,0.009
"P08","7",0.008,0.021,0.039,0.012
"P08","8",0.019,0.041,0.033,0.01
"P08","9",0.448,0.187,0.208,0.126
"P11","A Alberto Fernández",0.794,0.107,0.077,0.099
"P11","A Sergio Massa",0.09,0.794,0.122,0.107
"P11","A algún candidato del peronismo",0.067,0.056,0.682,0.105
"P11","A algún candidato del kirchnerismo",0.049,0.043,0.119,0.689
"P14","Lo votaría",0.685,0.625,0.494,0.836
"P14","Puede que lo vote",0.128,0.287,0.141,0.042
"P14","Nunca lo votaría",0.143,0.072,0.312,0.029
"P14","No sabe",0.044,0.016,0.053,0.093
"P15","Lo votaría",0.178,0.233,0.208,0.223
"P15","Puede que lo vote",0.365,0.396,0.299,0.471
"P15","Nunca lo votaría",0.278,0.286,0.404,0.158
"P15","No sabe",0.179,0.085,0.089,0.148
"P16","Lo votaría",0.082,0.053,0.054,0.028
"P16","Puede que lo vote",0.257,0.194,0.153,0.081
"P16","Nunca lo votaría",0.501,0.67,0.708,0.821
"P16","No sabe",0.16,0.083,0.085,0.07
"P17","Lo votaría",0.098,0.016,0.069,0.022
"P17","Puede que lo vote",0.22,0.102,0.084,0.05
"P17","Nunca lo votaría",0.474,0.806,0.71,0.863
"P17","No sabe",0.208,0.076,0.137,0.065
"P18","Lo votaría",0.266,0.57,0.171,0.168
"P18","Puede que lo vote",0.287,0.274,0.366,0.488
"P18","Nunca lo votaría",0.341,0.144,0.373,0.264
"P18","No sabe",0.106,0.012,0.09,0.08
"P19","Lo votaría",0.154,0.075,0.089,0.049
"P19","Puede que lo vote",0.208,0.192,0.126,0.092
"P19","Nunca lo votaría",0.484,0.69,0.727,0.813
"P19","No sabe",0.154,0.043,0.058,0.046
"P20","Lo votaría",0.038,0.005,0.06,0.021
"P20","Puede que lo vote",0.162,0.136,0.088,0.022
"P20","Nunca lo votaría",0.65,0.793,0.755,0.906
"P20","No sabe",0.15,0.066,0.097,0.051
"P21","Lo votaría",0.036,0.005,0.034,0.022
"P21","Puede que lo vote",0.196,0.112,0.067,0.026
"P21","Nunca lo votaría",0.537,0.708,0.698,0.777
"P21","No sabe",0.231,0.175,0.201,0.175
"P22","Lo votaría",0.245,0.164,0.135,0.185
"P22","Puede que lo vote",0.293,0.344,0.273,0.439
"P22","Nunca lo votaría",0.272,0.383,0.517,0.286
"P22","No sabe",0.19,0.109,0.075,0.09
"P23","Lo votaría",0.064,0.022,0.034,0.028
"P23","Puede que lo vote",0.142,0.099,0.101,0.065
"P23","Nunca lo votaría",0.51,0.696,0.663,0.687
"P23","No sabe",0.284,0.183,0.202,0.22
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.354,0.356,0.284,0.216
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.304,0.306,0.317,0.565
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.058,0.039,0.14,0.061
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.077,0.105,0.086,0.049
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.012,0.009,0.009,0.01
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.071,0.041,0.061,0.021
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.001,0,0
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.019,0.01,0.004
"P24","A los candidatos del Frente de Izquierda",0,0.022,0.002,0.005
"P24","No sabe",0.105,0.102,0.091,0.069
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.528,0.341,0.203,0.164
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.233,0.325,0.388,0.686
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.031,0.026,0.139,0.008
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.081,0.04,0.029,0.012
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0,0.007,0.009,0.013
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.052,0.094,0.066,0.03
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0,0.005,0.006,0.001
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.034,0.013,0.017,0.007
