"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.448,0.615,0.497,0.478,0.456,0.682,0.558,0.609,0.618,0.524
"P05","Realizo changas o trabajos de vez en cuando",0.198,0.112,0.116,0.185,0.179,0.137,0.078,0.184,0.147,0.193
"P05","No tengo trabajo",0.177,0.079,0.134,0.093,0.166,0.053,0.214,0.144,0.151,0.142
"P05","Soy jubilado o pensionado",0.177,0.194,0.253,0.244,0.199,0.128,0.15,0.063,0.084,0.141
"P06","1",0.292,0.137,0.404,0.333,0.295,0.248,0.344,0.402,0.109,0.163
"P06","2",0.033,0.043,0.067,0.061,0.062,0.061,0.025,0.074,0.073,0.027
"P06","3",0.029,0.022,0.081,0.064,0.083,0.024,0.101,0.083,0.082,0.014
"P06","4",0.008,0.032,0.094,0.092,0.163,0.062,0.091,0.051,0.023,0.06
"P06","5",0.179,0.17,0.195,0.272,0.214,0.307,0.284,0.204,0.081,0.411
"P06","6",0.065,0.071,0.025,0.046,0.066,0.073,0.027,0.023,0.053,0.074
"P06","7",0.113,0.171,0.04,0.025,0.021,0.067,0.045,0.017,0.126,0.093
"P06","8",0.046,0.092,0.025,0.015,0.011,0.055,0.04,0.026,0.046,0.042
"P06","9",0.235,0.262,0.069,0.092,0.085,0.103,0.043,0.12,0.407,0.116
"P07","1",0.467,0.48,0.169,0.187,0.171,0.234,0.096,0.156,0.348,0.218
"P07","2",0.059,0.079,0.041,0.046,0.05,0.016,0.015,0.031,0.072,0.035
"P07","3",0.047,0.079,0.041,0.023,0.02,0.073,0.051,0.022,0.081,0.049
"P07","4",0.044,0.038,0.048,0.037,0.061,0.078,0.033,0.024,0.076,0.061
"P07","5",0.164,0.15,0.188,0.283,0.281,0.267,0.203,0.174,0.157,0.358
"P07","6",0.028,0.031,0.05,0.071,0.096,0.102,0.046,0.035,0.046,0.046
"P07","7",0.04,0.035,0.095,0.056,0.085,0.052,0.068,0.057,0.02,0.052
"P07","8",0.026,0.033,0.069,0.069,0.066,0.029,0.071,0.111,0.042,0.048
"P07","9",0.125,0.075,0.299,0.228,0.17,0.149,0.417,0.39,0.158,0.133
"P08","1",0.479,0.71,0.199,0.308,0.309,0.387,0.232,0.197,0.729,0.375
"P08","2",0.036,0.028,0.043,0.036,0.027,0.047,0.047,0.025,0.028,0.033
"P08","3",0.02,0.038,0.029,0.024,0.026,0.022,0.015,0.023,0.044,0.014
"P08","4",0.014,0.015,0.034,0.026,0.005,0.024,0.033,0.03,0.046,0.023
"P08","5",0.092,0.07,0.127,0.13,0.145,0.133,0.186,0.148,0.044,0.156
"P08","6",0.004,0.01,0.029,0.027,0.03,0.049,0.008,0.016,0.02,0.027
"P08","7",0.016,0.015,0.05,0.051,0.056,0.04,0.039,0.031,0.012,0.03
"P08","8",0.014,0.013,0.055,0.049,0.04,0.032,0.031,0.08,0,0.03
"P08","9",0.325,0.101,0.434,0.349,0.362,0.266,0.409,0.45,0.077,0.312
"P10","Del Frente de Todos y el peronismo",0.759,0.87,0.036,0.073,0.098,0.275,0.027,0.016,0.114,0.263
"P10","De Cambiemos",0.078,0.039,0.77,0.718,0.564,0.367,0.389,0.045,0.061,0.089
"P10","De los Liberales libertarios",0.031,0.019,0.121,0.068,0.146,0.162,0.486,0.852,0.025,0.044
"P10","De la Izquierda",0.027,0.03,0.003,0.016,0.009,0.047,0.005,0.021,0.656,0.045
"P10","No sabe",0.105,0.042,0.07,0.125,0.183,0.149,0.093,0.066,0.144,0.559
"P11","A Alberto Fernández",0.302,0.093,0.112,0.44,0.114,0.093,0,0.273,0.18,0.082
"P11","A Sergio Massa",0.244,0.146,0.123,0.229,0.182,0.411,0.358,0.284,0.203,0.265
"P11","A algún candidato del peronismo",0.128,0.13,0.634,0.131,0.229,0.085,0.361,0.183,0.23,0.27
"P11","A algún candidato del kirchnerismo",0.326,0.631,0.131,0.2,0.475,0.411,0.281,0.26,0.387,0.383
"P12","A Alberto Fernández",0.19,0.032,0.09,0.277,0,0.093,0,0.252,0,0.039
"P12","A Sergio Massa",0.193,0.071,0.12,0.214,0.085,0.266,0.358,0.147,0.087,0.216
"P12","A algún candidato del peronismo",0.107,0.079,0.591,0.149,0.097,0.175,0.361,0.182,0.215,0.177
"P12","A Cristina Fernández de Kirchner",0.51,0.818,0.199,0.36,0.818,0.466,0.281,0.419,0.698,0.568
"P13","A Horacio Rodriguez Larreta",0.355,0.24,0.124,0.651,0.218,0.049,0.183,0.159,0.564,0.136
"P13","A Patricia Bullrich",0.193,0.175,0.85,0.264,0.546,0.318,0.581,0.593,0.071,0.389
"P13","A Facundo Manes",0.346,0.546,0.008,0.039,0.044,0.49,0.078,0.228,0.072,0.11
"P13","A Gerardo Morales",0.106,0.039,0.018,0.046,0.192,0.143,0.158,0.02,0.293,0.365
"P14","Lo votaría",0.647,0.809,0.021,0.06,0.11,0.212,0.072,0.015,0.109,0.178
"P14","Puede que lo vote",0.144,0.058,0.059,0.072,0.02,0.147,0.046,0.029,0.262,0.162
"P14","Nunca lo votaría",0.132,0.058,0.903,0.804,0.843,0.591,0.825,0.944,0.439,0.423
"P14","No sabe",0.077,0.075,0.017,0.064,0.027,0.05,0.057,0.012,0.19,0.237
"P15","Lo votaría",0.245,0.213,0.013,0.05,0.023,0.098,0.016,0.007,0.042,0.093
"P15","Puede que lo vote",0.305,0.484,0.033,0.154,0.106,0.2,0.025,0.06,0.194,0.156
"P15","Nunca lo votaría",0.304,0.168,0.917,0.704,0.788,0.611,0.886,0.863,0.628,0.499
"P15","No sabe",0.146,0.135,0.037,0.092,0.083,0.091,0.073,0.07,0.136,0.252
"P16","Lo votaría",0.052,0.028,0.313,0.477,0.232,0.162,0.103,0.067,0.037,0.031
"P16","Puede que lo vote",0.12,0.104,0.4,0.301,0.332,0.288,0.355,0.216,0.116,0.132
"P16","Nunca lo votaría",0.678,0.823,0.221,0.149,0.31,0.479,0.424,0.635,0.705,0.574
"P16","No sabe",0.15,0.045,0.066,0.073,0.126,0.071,0.118,0.082,0.142,0.263
"P17","Lo votaría",0.047,0.02,0.337,0.217,0.27,0.096,0.087,0.056,0.012,0.019
"P17","Puede que lo vote",0.074,0.043,0.388,0.362,0.369,0.263,0.401,0.204,0.116,0.115
"P17","Nunca lo votaría",0.716,0.874,0.189,0.251,0.248,0.569,0.367,0.625,0.752,0.563
"P17","No sabe",0.163,0.063,0.086,0.17,0.113,0.072,0.145,0.115,0.12,0.303
"P18","Lo votaría",0.305,0.172,0.054,0.07,0.061,0.096,0.008,0.038,0.056,0.159
"P18","Puede que lo vote",0.317,0.469,0.044,0.117,0.091,0.18,0.105,0.058,0.22,0.193
"P18","Nunca lo votaría",0.266,0.289,0.873,0.758,0.78,0.693,0.83,0.873,0.607,0.412
"P18","No sabe",0.112,0.07,0.029,0.055,0.068,0.031,0.057,0.031,0.117,0.236
"P19","Lo votaría",0.146,0.043,0.057,0.079,0.095,0.084,0.031,0.117,0.067,0.085
"P19","Puede que lo vote",0.167,0.077,0.121,0.222,0.189,0.232,0.158,0.238,0.11,0.104
"P19","Nunca lo votaría",0.595,0.84,0.77,0.627,0.661,0.636,0.74,0.586,0.722,0.59
"P19","No sabe",0.092,0.04,0.052,0.072,0.055,0.048,0.071,0.059,0.101,0.221
"P20","Lo votaría",0.028,0.017,0.24,0.131,0.114,0.106,0.757,0.414,0.044,0.039
"P20","Puede que lo vote",0.068,0.033,0.408,0.318,0.295,0.171,0.161,0.271,0.116,0.13
"P20","Nunca lo votaría",0.768,0.917,0.287,0.43,0.477,0.612,0.058,0.262,0.726,0.559
"P20","No sabe",0.136,0.033,0.065,0.121,0.114,0.111,0.024,0.053,0.114,0.272
"P21","Lo votaría",0.018,0.017,0.063,0.043,0.035,0.151,0.054,0.045,0.015,0.012
"P21","Puede que lo vote",0.061,0.029,0.176,0.16,0.152,0.142,0.088,0.095,0.117,0.043
"P21","Nunca lo votaría",0.71,0.773,0.503,0.531,0.503,0.492,0.55,0.585,0.625,0.534
"P21","No sabe",0.211,0.181,0.258,0.266,0.31,0.215,0.308,0.275,0.243,0.411
"P22","Lo votaría",0.216,0.172,0.015,0.029,0.037,0.062,0.011,0.021,0.039,0.038
"P22","Puede que lo vote",0.265,0.421,0.027,0.079,0.083,0.194,0.042,0.029,0.161,0.18
"P22","Nunca lo votaría",0.363,0.326,0.918,0.806,0.78,0.652,0.911,0.865,0.599,0.536
"P22","No sabe",0.156,0.081,0.04,0.086,0.1,0.092,0.036,0.085,0.201,0.246
"P23","Lo votaría",0.054,0.021,0.11,0.041,0.049,0.069,0.016,0.031,0.029,0.012
"P23","Puede que lo vote",0.101,0.063,0.22,0.129,0.156,0.198,0.162,0.075,0.154,0.055
"P23","Nunca lo votaría",0.588,0.697,0.486,0.565,0.559,0.549,0.53,0.674,0.556,0.513
"P23","No sabe",0.257,0.219,0.184,0.265,0.236,0.184,0.292,0.22,0.261,0.42
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.529,0.174,0.017,0.02,0.028,0.011,0.004,0.006,0.054,0.1
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.186,0.63,0.032,0.024,0.112,0.276,0.048,0.02,0.105,0.043
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.049,0.07,0.819,0.127,0.136,0.094,0.151,0.09,0.037,0.045
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.052,0.048,0.044,0.723,0.079,0.091,0.061,0.063,0.08,0.052
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.028,0.014,0.025,0.042,0.519,0.017,0.069,0.009,0.038,0.003
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.022,0.036,0.017,0.015,0.027,0.378,0.017,0.038,0.011,0.051
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.001,0.005,0.008,0.044,0.001,0.486,0.017,0.013,0.003
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.005,0.022,0.019,0.032,0.094,0.115,0.747,0.017,0.026
"P24","A los candidatos del Frente de Izquierda",0.014,0.004,0.001,0.001,0.002,0.002,0,0.002,0.6,0.012
"P24","No sabe",0.106,0.018,0.018,0.021,0.021,0.036,0.049,0.008,0.045,0.665
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.651,0.653,0.052,0.041,0.048,0.27,0.012,0.013,0.063,0.217
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.031,0.061,0.764,0.075,0.106,0.093,0.083,0.073,0,0.044
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.023,0.082,0.086,0.519,0.024,0.06,0.021,0.008,0.008,0.044
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.064,0.011,0.037,0.211,0.502,0.038,0.054,0.014,0,0.02
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.015,0.004,0.107,0.144,0.377,0.013,0.002,0.01,0.025
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.002,0.008,0.015,0.05,0.061,0.485,0.004,0,0.007
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.035,0.007,0.033,0.022,0.072,0.051,0.209,0.561,0.004,0.025
"P26","A los candidatos del Frente de Izquierda",0.019,0.046,0,0,0.021,0.02,0.086,0.311,0.386,0.023
