"var","categoria","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P16","Lo votaría",0.034,0.375,0.1,0.06,0.102
"P16","Puede que lo vote",0.097,0.394,0.217,0.115,0.217
"P16","Nunca lo votaría",0.814,0.171,0.614,0.695,0.481
"P16","No sabe",0.055,0.06,0.069,0.13,0.2
"P17","Lo votaría",0.016,0.353,0.087,0.036,0.096
"P17","Puede que lo vote",0.051,0.406,0.259,0.051,0.215
"P17","Nunca lo votaría",0.88,0.145,0.551,0.844,0.425
"P17","No sabe",0.053,0.096,0.103,0.069,0.264
"P18","Lo votaría",0.225,0.046,0.041,0.054,0.17
"P18","Puede que lo vote",0.445,0.054,0.1,0.222,0.162
"P18","Nunca lo votaría",0.265,0.864,0.841,0.637,0.5
"P18","No sabe",0.065,0.036,0.018,0.087,0.168
"P19","Lo votaría",0.07,0.035,0.085,0.037,0.076
"P19","Puede que lo vote",0.113,0.115,0.283,0.059,0.152
"P19","Nunca lo votaría",0.769,0.784,0.561,0.83,0.632
"P19","No sabe",0.048,0.066,0.071,0.074,0.14
"P20","Lo votaría",0.016,0.239,0.4,0.034,0.056
"P20","Puede que lo vote",0.052,0.395,0.287,0.039,0.151
"P20","Nunca lo votaría",0.899,0.288,0.251,0.853,0.571
"P20","No sabe",0.033,0.078,0.062,0.074,0.222
"P21","Lo votaría",0.008,0.08,0.062,0.008,0.036
"P21","Puede que lo vote",0.048,0.189,0.139,0.061,0.087
"P21","Nunca lo votaría",0.757,0.475,0.5,0.597,0.548
"P21","No sabe",0.187,0.256,0.299,0.334,0.329
"P22","Lo votaría",0.181,0.014,0.021,0.029,0.061
"P22","Puede que lo vote",0.437,0.037,0.048,0.19,0.125
"P22","Nunca lo votaría",0.288,0.896,0.835,0.64,0.625
"P22","No sabe",0.094,0.053,0.096,0.141,0.189
"P23","Lo votaría",0.03,0.098,0.03,0.022,0.022
"P23","Puede que lo vote",0.093,0.228,0.142,0.143,0.068
"P23","Nunca lo votaría",0.651,0.477,0.595,0.547,0.581
"P23","No sabe",0.226,0.197,0.233,0.288,0.329
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.254,0.016,0.015,0.06,0.134
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.531,0.024,0.056,0.063,0.091
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.077,0.633,0.157,0.011,0.097
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.062,0.161,0.075,0.127,0.164
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.008,0.057,0.023,0.065,0.085
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.03,0.053,0.029,0.092,0.071
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.017,0.031,0.014,0.011
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.001,0.011,0.602,0.023,0.035
"P24","A los candidatos del Frente de Izquierda",0.008,0,0.001,0.464,0.005
