"var","categoria","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.581,0.566,0.622,0.62,0.467
"P05","Realizo changas o trabajos de vez en cuando",0.091,0.089,0.165,0.221,0.162
"P05","No tengo trabajo",0.096,0.108,0.138,0.072,0.168
"P05","Soy jubilado o pensionado",0.232,0.237,0.075,0.087,0.203
"P06","1",0.217,0.313,0.381,0.099,0.241
"P06","2",0.045,0.057,0.089,0.036,0.043
"P06","3",0.031,0.057,0.111,0.035,0.049
"P06","4",0.062,0.07,0.055,0.012,0.081
"P06","5",0.203,0.217,0.229,0.09,0.301
"P06","6",0.075,0.037,0.02,0.052,0.052
"P06","7",0.114,0.082,0.022,0.131,0.074
"P06","8",0.055,0.044,0.023,0.088,0.051
"P06","9",0.198,0.123,0.07,0.457,0.108
"P07","1",0.353,0.29,0.126,0.358,0.232
"P07","2",0.061,0.054,0.042,0.055,0.045
"P07","3",0.062,0.058,0.027,0.095,0.039
"P07","4",0.045,0.038,0.029,0.06,0.049
"P07","5",0.177,0.187,0.198,0.166,0.287
"P07","6",0.058,0.053,0.045,0.051,0.038
"P07","7",0.061,0.075,0.066,0.022,0.078
"P07","8",0.046,0.053,0.087,0.052,0.043
"P07","9",0.137,0.192,0.38,0.141,0.189
"P08","1",0.51,0.401,0.168,0.72,0.358
"P08","2",0.036,0.032,0.03,0.02,0.045
"P08","3",0.027,0.028,0.033,0.02,0.024
"P08","4",0.022,0.031,0.03,0.047,0.035
"P08","5",0.082,0.126,0.16,0.049,0.151
"P08","6",0.017,0.023,0.027,0,0.025
"P08","7",0.024,0.041,0.048,0.033,0.022
"P08","8",0.019,0.042,0.066,0.002,0.028
"P08","9",0.263,0.276,0.438,0.109,0.312
"P10","Del Frente de Todos y el peronismo",0.597,0.321,0.022,0.301,0.272
"P10","De Cambiemos",0.289,0.577,0.162,0.038,0.366
"P10","De los Liberales libertarios",0.044,0.039,0.74,0.068,0.075
"P10","De la Izquierda",0.015,0.01,0.011,0.496,0.014
"P10","No sabe",0.055,0.053,0.065,0.097,0.273
"P11","A Alberto Fernández",0.162,0.124,0.295,0.153,0.093
"P11","A Sergio Massa",0.221,0.224,0.016,0.113,0.079
"P11","A algún candidato del peronismo",0.123,0.143,0.516,0.078,0.162
"P11","A algún candidato del kirchnerismo",0.494,0.509,0.173,0.656,0.666
