"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.169,0.14,0.198,0.227,0.161,0.143,0.167,0.274,0.152,0.067,0.159,0.191,0.139,0.305,0.092
"A Sergio Massa",0.19,0.221,0.16,0.152,0.209,0.184,0.194,0.225,0.186,0.155,0.187,0.197,0.179,0.225,0.27
"A algún candidato del peronismo",0.17,0.19,0.149,0.166,0.171,0.171,0.167,0.175,0.16,0.179,0.176,0.156,0.16,0.248,0.371
"A algún candidato del kirchnerismo",0.471,0.449,0.493,0.455,0.459,0.502,0.472,0.326,0.502,0.599,0.478,0.456,0.522,0.222,0.267
