"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Totalmente seguro",0.562,0.588,0.536,0.545,0.524,0.603,0.638,0.479,0.586,0.625,0.555,0.649,0.486,0.554,0.651,0.523,0.658
"Bastante seguro",0.194,0.204,0.185,0.194,0.195,0.189,0.197,0.219,0.202,0.147,0.192,0.196,0.324,0.181,0.172,0.261,0.164
"Algo seguro",0.094,0.077,0.111,0.111,0.107,0.069,0.068,0.126,0.073,0.092,0.107,0.046,0.142,0.115,0.081,0.084,0.101
"Para nada seguro",0.15,0.131,0.168,0.15,0.174,0.139,0.097,0.176,0.139,0.136,0.146,0.109,0.048,0.15,0.096,0.132,0.077
