"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.479,0.413,0.465,0.342,0.349,0.438,0.226,0.216
"P05","Bastante",0.266,0.369,0.226,0.289,0.302,0.274,0.372,0.129
"P05","Poco",0.145,0.125,0.185,0.21,0.167,0.175,0.181,0.305
"P05","Nada",0.084,0.088,0.124,0.112,0.03,0.105,0.221,0.329
"P05","No sabe",0.026,0.005,0,0.047,0.152,0.008,0,0.021
"P06","Siempre",0.221,0.237,0.326,0.116,0.035,0.223,0.161,0.122
"P06","Casi siempre",0.331,0.397,0.359,0.237,0.432,0.24,0.361,0.227
"P06","Casi nunca",0.277,0.274,0.166,0.366,0.285,0.331,0.239,0.4
"P06","Nunca, pero esta es una excepción",0.171,0.092,0.149,0.281,0.248,0.206,0.239,0.251
"P09","Unión por la Patria",0.767,0.035,0.196,0.048,0.16,0.243,0,0.057
"P09","Juntos por el Cambio",0.023,0.688,0.156,0.178,0.039,0.268,0.095,0.082
"P09","Juntos Somos Río Negro",0.05,0.097,0.531,0.086,0.041,0.125,0.105,0.133
"P09","Liberales",0.025,0.056,0.049,0.511,0,0.044,0.03,0.012
"P09","Izquierda",0.018,0.027,0.03,0.03,0.627,0.102,0.017,0.025
"P09","Otro",0.031,0.024,0.007,0.029,0.08,0.108,0.132,0.046
"P09","No sabe",0.086,0.073,0.031,0.118,0.053,0.11,0.621,0.645
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.72,0.027,0.147,0.022,0.035,0.02,0.024,0.004
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.171,0.036,0.062,0.014,0.397,0.313,0.03,0.02
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.026,0.742,0.065,0.044,0.031,0.042,0.03,0.01
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.002,0.09,0.131,0.033,0.034,0.275,0.037,0.112
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.042,0.02,0.48,0.046,0,0.079,0.014,0
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.012,0.062,0.06,0.79,0,0.014,0,0.084
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.002,0.006,0.003,0.48,0,0.017,0.027
"P10","En blanco",0.009,0.001,0.032,0.001,0,0.093,0.7,0.021
"P10","No sabe",0.014,0.02,0.017,0.047,0.023,0.164,0.148,0.722
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.135,0.159,0.248,0.045,0,0.222,0,0
