"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Unión por la Patria",0.231,0.236,0.226,0.199,0.217,0.254,0.297,0.175,0.234,0.303,0.415,0.096,0.157,0.282,0.078,0.601,0.142
"Juntos por el Cambio",0.223,0.216,0.23,0.174,0.185,0.28,0.339,0.128,0.248,0.308,0.103,0.459,0.331,0.15,0.565,0.063,0.081
"Juntos Somos Río Negro",0.125,0.126,0.125,0.108,0.148,0.127,0.088,0.153,0.116,0.103,0.182,0.088,0.067,0.269,0.032,0.069,0.028
"Liberales",0.116,0.152,0.081,0.148,0.133,0.101,0.028,0.111,0.127,0.103,0.05,0.179,0.103,0.095,0.169,0.015,0.338
"Izquierda",0.066,0.083,0.049,0.129,0.056,0.019,0.049,0.095,0.058,0.039,0.054,0.008,0.179,0.024,0.004,0.137,0.269
"Otro",0.05,0.057,0.044,0.059,0.051,0.05,0.033,0.068,0.043,0.04,0.036,0.041,0.085,0.043,0.019,0.041,0.077
"No sabe",0.189,0.13,0.245,0.183,0.21,0.169,0.166,0.27,0.174,0.104,0.16,0.129,0.078,0.137,0.133,0.074,0.065
