"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Sí",0.41,0.44,0.378,0.214,0.416,0.556,0.394,0.431,0.385,0.427,0.454,0.498,0.254,0.491,0.399,0.521,0.303
"No",0.59,0.56,0.622,0.786,0.584,0.444,0.606,0.569,0.615,0.573,0.546,0.502,0.746,0.509,0.601,0.479,0.697
