"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.25,0.242,0.258,0.217,0.219,0.321,0.288,0.248,0.234,0.282,0.399,0.167,0.225,0.249,0.209,0.419,0.078
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.172,0.167,0.176,0.118,0.161,0.201,0.254,0.123,0.192,0.198,0.11,0.275,0.134,0.133,0.279,0.071,0.186
"Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.086,0.078,0.094,0.072,0.08,0.091,0.121,0.046,0.099,0.114,0.044,0.134,0.082,0.067,0.139,0.055,0.128
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.211,0.184,0.238,0.227,0.249,0.163,0.15,0.278,0.188,0.167,0.257,0.159,0.258,0.348,0.126,0.097,0.054
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.175,0.226,0.126,0.248,0.174,0.144,0.097,0.189,0.175,0.158,0.104,0.221,0.256,0.135,0.204,0.227,0.373
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.042,0.053,0.03,0.096,0.027,0.012,0.035,0.047,0.043,0.033,0.035,0.001,0.008,0.016,0,0.049,0.153
"En blanco",0.038,0.029,0.047,0.006,0.051,0.053,0.032,0.05,0.037,0.023,0.029,0.025,0.016,0.04,0.016,0.033,0
"No sabe",0.026,0.021,0.031,0.016,0.039,0.015,0.023,0.019,0.032,0.025,0.022,0.018,0.021,0.012,0.027,0.049,0.028
